;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;535,052;7439,599;0,000;1694,704;-9,887;-228,217;-309,523;7472,681;73,243;-214,740;1643,088;14050,434;34,629;-122,565;0,000;-63,522;3543,041;-72,948;-210,445;-116,355;70,572;-95,947;-43,733;571,749;1,998;2,326;-128,257;-260,476;-153,319;-96,226;-154,759;416,346;192,621;4266,079;3488,195;220,468;-102,776;11774,676;0,000;21320,449;4442,215;3843,122;2240,790;632,700;-47,949;3989,180;468,905;-115,731;1723,616;10,436;-131,108;851,913;-93,004;564,071;237,128;180,673;87,445;-54,178;1754,723;-299,145;-78,139;394,275;8,300;608,781;1261,455;1508,535;469,607;344,881;484,766;524,280;-36,150;777,378;-83,529;828,640;98,456;171,690;53,413;2853,636;-180,850;2374,080;-165,976;-31,630;959,014;-311,665;-113,865;-14,912;-15,405;391,028;0,000;381,837;359,670;-63,365;256,722;350,650;636,421;3312,560;335,892;1422,269;3843,873;117,087;1016,242;3345,768;35,334;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;123,131;0,000;-56,715;-42,252;-27,227;2,808;64,826;84,346;-47,711;-12,691;-161,797;26,708;-8,790;0,000;-6,908;-143,925;-1,679;-0,105;-2,157;12,788;2,635;-19,518;270,039;-37,251;-15,924;-18,152;17,701;14,885;-53,031;-42,229;-115,162;32,288;-34,404;-39,253;139,773;-13,926;-146,639;0,000;749,443;262,133;192,081;50,706;89,038;-1,473;-105,659;-22,645;-4,728;-66,321;22,059;-37,333;28,965;3,241;-53,270;0,609;-24,406;-28,743;98,697;86,026;26,447;3,035;-29,656;-39,956;19,539;92,664;-10,038;-14,059;-23,924;-0,185;20,846;-23,271;-21,635;-8,143;8,745;8,440;-33,478;5,856;-48,814;33,474;-62,893;-18,771;4,956;698,096;-7,741;61,294;-21,040;-5,826;125,856;0,000;7,632;-8,849;21,650;16,927;13,160;30,706;-10,826;2,023;1,309;40,683;-15,453;-41,098;-135,060;-35,102;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2153,866;784,858;1969,741;839,102;8368,309;13667,956;455,440;4460,871;1649,767;335,642;73,579;0,000;1231,225;17234,367;-175,941;102,817;55,000;-49,367;21,855;-174,702;271,696;116,053;-229,367;-35,553;-81,002;-31,321;3128,615;1663,044;3875,781;3473,949;1171,449;1031,009;171,421;-178,770;2889,134;0,000;13535,849;961,276;1695,152;273,398;-217,866;-97,051;581,105;183,794;56,203;7482,435;-233,217;9,169;3119,078;-213,819;1558,703;-388,137;-16,143;-278,977;37,263;246,375;-91,573;-196,602;-131,242;836,777;1558,009;1587,096;1355,268;3457,698;412,032;-73,957;233,601;-162,917;857,246;-0,826;-30,503;-58,107;139,536;-70,774;6454,121;-185,924;7684,033;-185,972;5,767;4933,061;-24,832;-59,440;128,039;-50,798;796,421;0,000;211,618;303,299;-162,406;-16,294;1526,280;16,774;2057,418;296,017;-19,221;4515,974;-10,235;1179,420;151,891;101,386;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;235,517;2387,276;779,825;797,906;1299,677;235,870;1021,728;299,331;89,439;132,934;0,000;314,095;3496,510;-115,319;4,597;-22,826;29,371;-4,854;11,290;4,354;38,117;46,778;-69,048;-95,433;4,753;52,091;10,868;259,454;605,028;341,874;360,777;107,616;-103,340;55,443;0,000;53,975;353,760;146,285;-77,272;14,651;-27,334;9,175;-150,904;-59,602;-68,268;-114,986;286,670;329,405;-26,004;82,461;-23,716;115,015;100,027;-118,934;-109,522;-8,475;0,376;-9,276;33,478;-171,287;-29,422;-38,388;-73,953;-56,436;43,125;7,856;254,194;-83,146;112,852;1,999;-95,135;-76,476;-23,557;-61,846;34,126;19,965;-70,602;-13,882;47,154;-32,654;118,946;-35,252;-59,291;28,338;0,000;69,519;1307,090;-102,792;11,342;18,389;-86,703;-34,789;856,649;-13,026;-151,444;-28,233;5825,270;39,635;-116,271;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2328,140;81,530;687,507;76,789;-109,469;158,305;-4,933;-10,200;22,140;0,000;-21,097;-148,696;-16,078;26,723;-17,000;0,453;15,577;19,876;-18,124;-23,176;24,279;-14,099;-36,513;-13,980;-49,607;-28,992;-22,750;-3,460;74,676;91,287;38,396;-32,867;291,909;0,000;395,196;-100,517;-64,537;21,497;12,115;-3,817;316,003;-39,497;-32,419;34,010;9,170;9,845;5,839;-64,761;54,306;17,470;13,640;50,415;-45,326;94,985;42,815;19,244;-27,238;-35,231;-36,618;-14,295;32,025;-5,619;68,500;65,803;48,423;49,257;-44,544;33,185;-32,692;-31,637;-2,172;22,588;99,993;-49,233;688,594;7,136;3,524;64,092;-29,007;15,776;13,631;-1,668;-47,577;0,000;8,274;10,649;22,735;-4,495;56,950;11,806;323,958;-53,926;23,167;334,295;41,945;201,196;234,981;33,595;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;1093,535;2621,320;-103,919;1,551;522,312;17,602;28,452;1199,768;0,000;-7,332;-104,802;-114,086;14,642;-16,943;-53,949;10,873;-6,260;88,244;23,496;-40,172;-37,014;-58,005;-23,607;-3,331;33,100;-55,708;56,756;16,435;34,999;-65,910;-98,581;628,791;0,000;2083,309;-103,605;2,638;-42,891;9,533;12,396;311,037;41,158;-75,932;601,859;-40,692;24,679;346,690;65,967;104,102;-59,215;-52,070;28,138;-61,936;107,637;53,961;3,342;111,334;7,168;-36,867;174,967;252,291;666,922;109,817;64,391;77,480;143,592;-95,648;15,239;-95,170;-25,170;147,556;-19,578;204,880;15,364;856,977;-0,824;16,729;383,864;-36,403;21,300;-65,473;-30,540;-32,955;0,000;50,651;76,950;-25,666;139,128;219,855;23,030;717,127;118,859;15,438;633,890;31,249;2083,006;295,865;-22,671;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
