;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;694,239;6716,954;0,000;1834,624;39,113;25,276;-111,031;7054,467;14,552;3,778;1613,875;13375,050;-14,579;18,727;0,000;-14,292;3784,752;35,720;5,170;6,710;-4,109;-0,350;1,516;649,011;17,201;-8,008;-0,613;-6,104;37,322;269,983;39,170;809,081;402,543;4416,503;3527,018;456,047;183,307;11463,693;0,000;20307,993;4086,989;3150,491;2077,203;434,156;0,825;3917,383;477,857;4,475;2186,346;229,861;-32,402;1127,396;-2,157;668,494;29,097;385,149;251,388;-6,283;1584,937;-18,584;58,532;402,311;266,031;654,270;1195,300;1625,105;582,919;379,559;332,150;391,881;100,518;622,758;131,931;818,469;264,810;228,037;82,436;2164,215;-0,220;1996,763;0,631;0,156;1203,836;-3,996;-0,378;-1,526;1,500;375,137;0,000;314,263;307,302;36,095;316,698;361,019;612,743;3162,397;186,518;1389,780;3824,832;121,415;1283,805;3456,748;124,924;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;104,229;0,000;-4,716;28,517;59,510;-16,885;56,107;-4,702;-9,774;-0,940;8,764;0,266;6,123;0,000;-4,627;-19,269;0,559;-0,221;2,579;-1,088;-0,085;0,610;279,362;1,340;-0,221;2,528;0,593;-3,034;15,729;-3,495;-1,725;-10,063;-7,776;-2,366;174,996;0,848;-9,739;0,000;877,230;220,760;118,530;55,946;117,457;-0,051;-1,487;12,337;-0,170;3,418;33,751;1,607;78,883;2,816;5,150;0,406;-2,862;-2,511;65,873;8,668;52,933;-0,255;-0,043;0,486;-8,758;4,752;6,028;2,626;0,728;-5,037;24,822;1,716;0,435;-6,852;0,316;6,408;1,669;1,289;17,260;0,678;-8,608;-0,170;-0,034;684,792;-0,305;0,101;-0,119;0,915;144,621;0,000;-4,001;-1,052;23,710;-1,505;-0,429;2,462;4,269;-7,965;-6,780;57,963;-0,642;1,605;6,334;-2,536;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2117,771;865,150;1857,009;827,052;7908,075;12284,934;839,808;4339,369;1670,926;648,354;203,758;0,000;1376,361;16195,251;41,946;52,955;69,443;104,415;3,102;70,804;333,411;46,085;15,274;84,131;137,035;252,143;3074,882;1234,997;3876,006;3276,718;1326,038;1194,531;309,318;4,698;2885,197;0,000;12458,251;1085,628;1241,061;91,986;59,931;0,370;512,759;222,541;-2,290;7381,152;32,335;648,731;3037,634;21,744;1335,264;38,283;336,893;103,650;28,567;427,620;62,370;-5,433;97,360;867,336;1866,787;1533,927;1647,328;3097,023;443,318;56,601;181,416;79,909;1153,571;250,510;58,173;56,686;118,735;153,587;5572,067;17,761;7239,657;9,397;3,768;4486,853;19,685;53,781;6,376;4,495;761,018;0,000;286,844;379,928;8,042;46,708;1650,050;21,067;1846,504;448,723;337,326;4122,492;275,735;1216,264;205,505;11,493;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;342,618;2069,234;618,848;770,712;1016,057;243,607;901,497;314,402;37,920;97,557;0,000;385,623;3334,068;13,169;8,113;9,690;11,011;5,000;5,684;15,627;17,107;49,540;5,972;4,028;28,469;167,391;-4,667;380,178;495,552;387,436;383,217;156,643;-0,213;-76,374;0,000;420,456;383,999;157,683;42,955;-7,419;1,881;-13,692;46,031;-0,070;-83,427;4,990;162,867;329,807;33,749;55,139;-1,346;68,984;14,491;51,516;-12,690;78,275;-2,206;-6,473;-18,475;-2,355;-15,085;-24,839;-4,945;12,480;4,393;6,229;259,513;4,840;8,014;-13,616;0,079;8,216;-6,088;12,181;-1,259;45,135;1,049;0,881;-9,037;-1,022;3,653;-0,832;-0,713;8,443;0,000;1,839;1272,270;-2,180;7,620;-33,540;-8,736;3,120;889,003;-19,109;-42,527;-5,728;4951,424;-19,678;-4,724;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2314,389;0,236;795,107;-18,315;33,169;272,649;1,370;-1,408;6,727;0,000;21,835;17,300;-3,132;1,521;-0,055;-3,428;-0,180;1,126;49,658;-0,523;-0,553;2,949;4,120;-3,476;5,596;-11,842;-10,769;13,314;14,377;-1,110;8,612;2,501;207,622;0,000;357,867;2,310;14,831;-7,299;-6,138;-0,108;166,390;-1,787;0,677;21,040;25,694;-1,216;17,434;0,448;10,062;0,694;-6,031;-2,531;-5,711;-6,320;-1,109;3,524;6,230;0,216;5,301;55,114;-5,644;18,457;-1,472;1,668;11,077;4,174;4,498;-0,017;-1,736;-1,061;-2,613;-1,756;43,499;0,317;674,101;-0,360;-0,072;127,565;-0,647;3,241;-0,252;-0,216;1,866;0,000;-0,467;48,865;13,929;3,686;20,629;14,355;500,104;21,378;19,586;303,298;5,042;267,061;166,777;-1,301;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;652,302;2484,504;23,422;31,848;518,631;-25,508;-6,227;1093,065;0,000;27,341;-83,698;-1,254;-0,731;-5,846;-5,597;0,532;2,453;98,203;-5,135;-1,849;3,870;7,610;-3,640;-3,492;-33,570;5,430;-15,167;8,052;8,709;-0,232;-3,272;647,653;0,000;2072,043;15,916;12,901;-29,909;-7,847;-0,351;231,533;146,573;8,884;565,571;25,650;47,311;365,567;30,460;149,756;9,995;25,032;-11,884;48,595;14,566;69,195;5,745;165,051;-11,798;125,326;174,203;238,050;525,015;37,422;9,544;45,471;49,157;9,002;13,616;-4,145;46,793;100,295;-1,338;254,152;-0,108;876,178;1,063;0,883;223,557;0,126;12,676;-0,820;-0,703;24,543;0,000;-0,783;127,330;22,599;16,091;105,224;27,650;843,227;176,892;142,179;756,074;21,365;1725,251;206,913;16,907;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
