;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;672,485;7115,097;0,000;1640,970;-210,417;-488,737;-349,529;7306,072;173,597;-246,171;1643,567;13895,454;48,738;-326,801;0,000;-101,944;3422,721;-203,893;-653,995;-143,437;-142,551;-97,122;-197,978;608,234;-200,840;-275,085;-71,607;-277,488;-176,022;-165,881;-431,134;60,629;70,345;4430,198;3387,319;361,736;-79,552;11713,630;0,000;21300,483;4555,401;4060,410;1915,471;186,742;-62,121;3696,418;153,374;-101,962;1436,614;-72,162;-362,565;691,290;-244,299;619,143;-89,415;-140,318;102,167;-256,408;1549,574;-340,734;-296,445;103,546;211,883;583,627;1070,464;1255,156;650,728;599,159;337,283;516,095;-270,921;964,536;-376,248;676,868;147,852;-91,034;53,998;2449,151;-128,695;2129,716;-199,853;-34,052;714,643;-307,449;126,374;28,344;-22,818;70,182;0,000;377,006;313,275;-450,453;326,272;236,959;460,748;3397,636;307,000;1465,510;3608,924;-67,027;969,345;3221,248;-187,653;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-131,088;0,000;-81,306;-24,533;-70,326;30,915;15,035;8,088;-84,245;-66,774;-119,237;53,346;43,782;0,000;-29,934;-202,689;0,850;-60,722;54,001;-15,847;0,338;-25,842;343,600;-17,124;6,492;49,912;23,292;-13,737;-72,993;-63,922;-213,162;41,098;-85,645;-35,658;65,731;-41,105;-55,717;0,000;740,473;202,403;247,932;12,959;97,769;0,074;-101,182;-72,694;-8,636;-195,180;0,910;-7,436;70,476;-12,450;-14,490;-14,275;32,817;-45,620;78,704;6,467;-28,531;-6,461;23,089;-9,543;-138,257;-27,094;-11,493;-13,337;-90,779;-11,670;81,895;-38,840;9,903;-26,399;-1,966;15,385;-65,677;59,954;36,528;24,567;-165,537;-20,821;-2,603;710,087;-18,902;75,242;-22,215;-7,225;115,708;0,000;36,324;-31,039;-35,671;-21,319;2,951;24,377;173,368;2,978;27,119;-114,325;-17,371;-1,177;-160,230;-38,600;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2163,650;555,798;1710,569;754,750;8221,179;13371,993;271,820;4101,049;1389,847;94,612;-217,409;0,000;1067,013;16943,451;-47,281;-207,695;-104,941;-302,791;0,522;-210,493;32,725;-98,371;-306,487;-141,600;-497,629;51,311;3017,147;1213,593;3797,031;3338,673;989,776;779,998;243,222;-141,990;2528,982;0,000;13460,972;765,040;1171,353;28,885;-508,404;-85,061;225,702;192,957;98,294;7312,733;-177,197;-101,549;2900,873;-177,037;921,410;-266,614;-521,323;-639,025;198,795;-184,094;-400,576;-460,423;-228,203;499,584;1290,402;1199,608;1601,346;3315,917;401,678;-218,257;139,521;-264,185;911,464;-255,481;-440,703;-67,690;-19,039;-364,360;6320,424;-240,515;7510,142;-225,166;27,494;4847,389;-39,750;-408,299;117,512;-15,940;470,874;0,000;89,866;-9,300;-485,072;-705,812;1287,461;-250,095;1926,883;-74,293;-386,498;4294,955;73,194;1277,314;70,882;-368,872;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;235,943;2426,785;669,223;807,682;1224,415;214,833;973,752;188,087;4,122;48,353;0,000;397,010;3316,566;-0,476;-199,971;-46,302;-94,987;-1,066;10,872;0,882;48,910;-1,463;-92,623;-245,734;-5,131;-73,396;-11,827;154,785;572,931;407,087;261,835;36,653;-103,826;67,370;0,000;10,521;280,253;113,524;-87,919;28,023;-28,291;-39,055;-188,209;-72,684;-69,820;-111,252;328,520;75,836;-36,577;4,385;-4,953;-2,759;70,455;-132,756;-182,618;59,124;19,542;-58,214;92,708;-91,704;-2,839;-4,387;-80,659;28,817;39,678;33,946;176,377;-93,194;81,542;-78,123;-118,098;-119,343;-57,742;-195,957;31,473;15,882;-22,274;-26,713;37,524;-14,079;79,915;-40,842;-51,393;31,583;0,000;71,878;1289,970;-159,031;-20,929;-55,764;-138,588;17,621;782,631;-12,706;-345,773;2,516;5748,187;-120,675;-105,129;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2279,305;-53,624;513,982;-91,225;-179,627;108,399;3,996;2,375;-49,345;0,000;1,911;-255,430;1,972;1,293;-58,825;-34,825;14,446;24,868;-32,224;-39,665;35,214;-4,761;-53,515;-36,082;-33,770;-43,750;19,689;-110,619;79,427;70,237;35,427;-39,345;192,092;0,000;150,781;-131,160;-111,371;-12,648;-22,945;-4,838;214,964;-11,194;-20,272;51,448;50,502;-99,913;-79,205;-30,439;-28,755;0,528;48,543;-11,887;-22,289;136,403;107,742;15,000;-70,591;56,264;-65,159;-126,915;42,292;-78,632;-18,111;56,185;38,272;7,287;44,372;-16,556;-78,059;-40,505;-33,488;19,492;-26,880;-29,590;581,118;26,891;8,255;149,106;-37,943;35,654;16,982;-11,211;-70,914;0,000;36,952;-128,276;-47,308;14,911;27,986;42,573;375,771;-0,645;-42,283;118,894;-13,034;141,544;243,077;-7,302;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;1062,519;2139,731;-266,115;14,720;571,202;81,982;-16,175;1214,365;0,000;23,465;-261,294;53,161;32,386;-106,646;-107,824;2,673;-40,991;-9,431;8,341;-57,646;-41,108;-102,723;-4,115;-136,718;-143,010;-388,738;-33,022;-26,434;-5,448;-126,519;-105,764;599,942;0,000;1822,541;-288,196;-75,995;-5,622;-77,538;2,542;381,376;45,521;-63,618;822,234;85,219;65,704;316,815;-36,001;65,327;-56,542;-29,296;-55,285;-17,608;48,043;40,059;51,053;182,724;54,631;21,149;148,463;362,553;687,334;152,393;19,549;113,614;222,954;-227,472;15,119;-168,218;-121,855;86,777;4,380;141,004;13,384;804,561;10,109;21,520;363,663;-22,325;100,517;-78,512;-28,276;-5,441;0,000;117,294;-12,281;-91,889;52,645;58,492;-5,840;636,927;16,866;32,398;417,351;-185,670;2154,022;312,332;-76,488;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
