;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;693,766;7248,469;0,000;1926,803;34,075;-18,203;-95,987;7371,194;29,867;9,922;1632,581;13623,547;-6,119;14,496;0,000;0,537;3773,660;32,073;4,525;4,122;-2,883;-0,638;-0,279;646,127;18,888;-8,655;-1,080;-5,334;35,415;274,284;32,223;807,366;410,042;4422,314;3546,200;455,052;185,174;11530,651;0,000;21106,637;4285,695;3577,931;2082,515;430,559;0,546;3926,558;465,090;4,335;2066,103;230,105;-32,265;1143,046;-0,160;699,829;30,129;400,811;249,709;-5,119;1592,442;-20,125;60,924;411,104;266,456;635,191;1235,394;1605,526;584,832;396,170;339,464;399,172;112,144;613,110;150,554;805,710;267,055;219,712;86,205;2399,197;-0,144;2263,332;-0,013;0,202;1202,254;-4,486;-3,433;-1,662;2,316;370,971;0,000;322,958;290,059;27,833;311,365;369,615;617,621;3387,858;191,854;1392,388;3953,540;132,257;1309,189;3459,458;113,676;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;105,124;0,000;-8,539;28,517;55,310;-16,885;38,141;-2,194;-9,774;-5,255;1,978;0,266;6,123;0,000;-4,627;-13,872;0,559;-0,221;2,579;-1,088;-0,085;0,610;279,362;1,340;-0,221;2,528;0,593;-3,034;15,729;-3,495;-1,725;-10,063;-7,776;-2,366;174,996;0,848;-12,095;0,000;889,560;220,760;118,530;55,946;117,457;-0,051;-1,487;12,337;-0,170;0,969;33,751;1,607;79,317;2,816;5,150;0,406;-2,862;-2,511;65,873;8,668;52,933;-0,255;-0,043;0,486;-8,758;4,752;6,028;2,626;0,728;-5,037;24,822;1,716;0,435;-6,852;0,316;6,408;1,669;1,289;17,260;0,678;-8,967;-0,170;-0,034;684,792;-0,305;0,101;-0,119;0,915;144,621;0,000;-4,001;-1,052;23,710;-1,505;-0,429;2,462;3,332;-7,965;-6,780;46,905;-0,642;1,605;6,334;-2,536;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2219,835;838,727;1929,033;846,181;8380,842;13153,221;847,724;4234,142;1576,698;631,923;209,270;0,000;1375,008;16964,380;36,332;51,806;68,259;106,914;3,411;65,665;320,553;44,591;16,713;87,968;134,523;263,775;3226,592;1480,335;3978,718;3325,388;1302,946;1217,158;299,248;10,749;2763,991;0,000;13133,416;1077,870;1561,874;88,984;48,746;0,038;559,642;212,532;-1,811;7424,678;32,815;651,068;3133,737;22,277;1398,565;39,722;336,427;97,095;26,086;452,792;62,219;-6,812;106,939;920,171;1869,139;1611,525;1664,131;3195,153;442,030;56,766;173,815;82,842;1146,871;272,018;66,560;49,344;110,971;161,721;5974,869;19,666;7592,070;7,089;6,465;4618,507;16,717;55,607;8,152;4,083;774,827;0,000;329,841;403,848;9,081;48,628;1660,488;29,939;1875,857;451,089;317,953;4511,995;284,223;1286,948;212,789;12,783;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;340,851;2228,822;688,183;941,440;1154,311;238,073;916,971;337,978;37,056;97,444;0,000;390,084;3420,796;14,384;8,525;8,789;11,336;4,804;5,159;12,743;15,727;49,709;5,282;4,241;27,043;168,368;-7,339;388,561;495,927;387,843;381,054;164,277;-0,249;-29,906;0,000;458,357;383,964;160,886;47,866;-9,414;1,829;-17,086;42,507;-0,100;-36,890;5,739;160,755;351,562;34,473;54,089;-1,614;68,957;16,536;49,401;-14,235;77,766;-2,526;-7,413;-15,580;-2,528;-12,138;-19,163;-4,248;12,162;2,381;4,321;267,949;7,851;5,012;-16,335;-0,495;4,900;-5,569;20,566;-1,293;42,055;0,994;0,855;-7,641;-1,122;3,198;-0,835;-0,716;6,419;0,000;1,354;1283,205;-2,655;8,784;-28,529;-8,814;40,008;892,142;-20,063;-9,258;-7,918;5095,786;-23,502;-5,473;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2312,393;0,236;812,390;-28,208;33,169;274,115;6,701;-1,408;6,727;0,000;21,835;6,021;-3,132;1,521;-0,055;-3,428;-0,180;1,126;49,658;-0,523;-0,553;2,949;4,120;-3,476;5,596;-11,842;-10,769;13,314;14,377;-1,110;8,612;2,501;192,715;0,000;367,213;2,310;14,831;-7,299;-6,138;-0,108;166,390;-1,787;0,677;14,161;25,694;-1,216;11,248;0,448;10,062;0,694;-6,031;-2,531;-5,711;-6,320;-1,109;3,524;6,230;0,216;5,301;55,114;-5,644;18,457;-1,472;1,668;11,077;4,174;4,498;-0,017;-1,736;-1,061;-2,613;-1,756;43,499;0,317;673,937;-0,360;-0,072;127,565;-0,647;3,241;-0,252;-0,216;1,866;0,000;-0,467;48,865;13,929;3,686;20,629;14,355;502,400;21,378;19,586;293,024;5,042;267,061;166,777;-1,301;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;709,436;2656,157;27,530;32,879;499,094;-42,631;-6,017;1109,642;0,000;28,436;-66,010;-1,489;-0,945;-6,067;-5,751;0,511;1,931;96,340;-5,397;-1,019;5,499;6,932;-3,622;-0,087;-35,076;8,292;-15,203;8,599;10,286;1,000;-3,908;698,612;0,000;2136,131;20,427;16,291;-25,119;-9,055;-0,351;243,069;147,804;8,690;643,046;25,758;41,070;387,163;29,490;152,678;10,620;23,442;-10,571;48,113;18,182;67,854;5,326;170,547;-11,697;120,492;180,508;262,075;524,433;40,930;11,038;44,425;50,794;9,690;10,470;-6,025;46,263;101,411;0,166;260,404;-0,222;878,224;0,947;0,861;224,155;0,085;11,946;-0,819;-0,702;24,841;0,000;2,696;131,652;22,669;14,284;106,966;25,200;850,819;175,566;143,099;765,630;20,403;1803,613;212,723;19,789;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
