;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;692,688;7570,774;0,000;1839,148;-103,032;-197,192;-231,665;7365,868;-110,954;-106,840;1737,381;13614,956;-50,925;-26,083;0,000;-59,357;3762,144;36,693;18,731;26,668;-5,210;-1,807;-9,400;604,715;13,549;-13,498;-22,421;5,493;30,720;348,111;18,223;771,335;450,810;4347,224;3638,419;516,958;206,620;11467,916;0,000;21331,819;4320,029;3612,434;2071,886;426,645;1,996;4087,352;444,644;-6,450;2108,195;218,583;64,210;1019,708;1,182;540,757;61,894;393,648;287,679;-21,735;1552,521;-35,806;51,623;371,726;285,003;622,877;1285,331;1594,423;512,843;452,587;362,612;398,764;122,719;667,642;256,835;771,563;250,360;208,616;82,210;2678,054;-4,320;2487,494;8,443;-1,546;1072,049;-3,661;8,761;1,316;2,086;285,792;0,000;289,159;259,167;15,978;266,098;288,120;582,177;3405,298;243,780;1309,882;3933,535;149,925;1207,838;3509,967;109,859;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;31,537;0,000;-20,817;25,895;63,597;-3,817;54,375;-56,516;-11,119;3,573;-30,118;-0,351;9,183;0,000;0,973;-3,192;1,510;2,418;0,295;2,082;-0,348;4,875;274,944;3,690;-1,880;2,236;2,769;-2,532;10,052;3,573;15,680;-24,812;-12,801;-1,400;171,725;0,761;-21,989;0,000;849,563;232,225;129,540;36,657;115,401;-0,209;-20,594;2,191;-0,696;6,924;35,625;-2,886;71,693;1,273;6,261;1,887;-8,445;3,303;67,026;22,717;42,278;-0,945;4,937;-4,007;-7,602;-3,434;4,382;-9,976;3,669;-7,541;17,882;-0,572;-12,924;-9,345;8,822;2,307;2,164;-0,724;-8,370;2,890;5,161;-0,696;-0,139;666,691;-0,183;0,522;-0,487;0,652;140,454;0,000;-7,391;-7,124;21,834;-5,603;-5,492;16,442;11,394;-13,872;-10,440;36,883;1,235;10,111;-8,495;-1,661;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2336,184;932,212;2067,415;685,163;8522,942;13261,205;949,129;4455,014;1597,793;705,230;325,746;0,000;1361,470;17075,017;10,281;58,095;64,958;106,364;2,978;78,429;307,455;49,337;6,133;67,838;116,419;295,119;3341,918;1606,249;3973,781;3402,001;1373,894;1350,692;328,151;43,401;2894,954;0,000;13229,283;933,006;1585,271;14,920;24,150;0,924;539,516;182,855;5,772;7346,683;1,908;778,540;3265,741;21,793;1626,243;41,090;321,886;106,278;28,336;403,748;98,483;-23,891;33,454;996,951;1929,000;1379,291;1746,311;3106,082;472,344;29,813;184,164;103,905;1186,889;305,003;19,602;10,300;113,121;211,974;6133,146;10,511;7604,584;6,528;2,948;4912,173;21,923;60,270;0,140;2,092;688,289;0,000;344,195;529,784;8,292;-18,015;1554,684;-28,895;1957,338;377,761;228,561;4693,370;315,073;1389,847;280,237;22,506;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;317,609;2341,528;679,214;991,811;1164,340;249,204;918,647;343,057;29,965;79,721;0,000;402,043;3336,643;9,464;3,523;19,198;7,948;5,058;10,624;44,049;9,173;45,817;10,582;-5,023;26,668;134,443;18,352;377,761;518,233;392,346;415,428;152,392;-21,505;-173,510;0,000;620,466;419,742;145,519;46,195;-33,093;2,160;-109,321;40,985;3,537;-2,246;-4,729;182,674;331,315;32,226;15,510;5,622;60,947;8,292;36,471;9,286;67,860;-5,248;3,454;42,921;39,501;38,260;-125,441;-56,920;16,416;-6,066;20,425;256,476;21,800;34,011;-4,800;5,680;-8,294;-15,104;25,218;-5,454;31,270;1,330;1,475;-8,747;-5,720;3,069;0,060;2,008;-17,449;0,000;0,814;1275,596;-3,368;33,710;-13,830;-17,716;31,653;893,693;32,643;3,147;-45,227;5235,112;-148,552;4,942;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2324,631;21,518;798,641;-87,282;27,292;246,643;-3,421;-8,825;8,411;0,000;23,948;86,620;-6,123;0,481;-1,798;-6,125;-0,756;3,438;52,698;-0,301;0,481;1,219;2,280;-2,336;28,024;18,466;21,890;24,736;4,869;-58,302;22,181;-3,276;176,585;0,000;261,019;-6,481;32,384;-33,004;-19,549;-0,453;117,253;-21,578;1,943;14,242;28,274;-19,043;11,790;-0,827;-5,638;-3,015;-13,324;10,118;-3,906;-19,038;17,734;3,646;4,813;15,733;-12,119;31,273;4,795;41,752;-21,523;-3,805;3,092;8,946;18,799;-0,740;-4,231;-8,558;-12,792;-2,943;28,118;1,584;651,015;-0,360;-0,302;125,135;1,886;3,361;0,093;-0,907;-14,334;0,000;-3,517;47,548;13,290;21,587;48,183;26,992;497,261;2,961;12,479;274,565;13,709;259,480;149,516;-6,189;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;755,660;2543,964;34,870;55,195;473,752;-187,427;11,832;1101,040;0,000;-9,432;-6,114;-6,114;-6,957;-7,826;-18,137;0,069;4,906;104,575;-11,108;-1,772;5,942;-4,375;-4,941;-38,780;-1,555;19,893;21,329;8,893;-71,304;15,809;-22,517;677,946;0,000;2016,268;58,584;59,086;-34,057;-12,149;-0,354;217,221;114,476;12,850;768,087;26,994;30,737;454,680;26,171;200,525;17,443;-1,614;-30,583;31,437;19,322;101,792;5,971;184,285;13,494;170,615;128,432;277,332;559,173;20,224;-5,762;31,711;57,715;46,523;-12,413;-20,605;25,897;83,520;-17,613;276,529;-2,768;798,777;2,523;0,292;219,213;3,432;14,574;0,099;-1,902;5,453;0,000;8,695;102,064;27,670;36,001;130,983;11,693;843,516;165,791;152,755;730,760;46,215;1978,492;194,034;9,648;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
