;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;684,760;7439,487;0,000;1975,907;-97,235;-111,702;-92,371;7387,229;-48,310;-41,006;1665,456;13729,718;-51,501;-7,668;0,000;-50,239;3822,681;27,074;22,072;26,987;-6,878;-1,148;-6,110;583,979;24,120;-13,380;-17,615;6,681;33,184;286,654;52,823;812,645;424,997;4513,777;3577,018;485,485;191,822;11713,999;0,000;21192,716;4487,731;3958,033;2154,347;435,864;0,969;3996,998;471,882;-6,199;2043,322;209,592;57,490;1182,046;0,907;676,856;57,605;397,787;310,453;-21,099;1587,658;-42,501;49,569;392,566;253,884;628,995;1282,393;1593,246;570,004;410,220;367,735;393,764;118,127;665,510;214,612;737,163;262,095;221,079;98,144;2701,546;-5,373;2404,256;8,342;-1,471;1215,170;-2,326;15,254;1,873;2,011;278,526;0,000;291,910;297,035;11,769;279,733;259,752;599,355;3462,938;249,753;1317,859;3971,393;170,544;1365,685;3465,500;106,494;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;48,655;0,000;-18,087;25,234;55,885;-20,763;60,220;-59,687;-13,781;5,273;-21,045;-0,351;9,183;0,000;2,794;-13,752;1,510;2,418;0,295;2,082;-0,348;4,875;274,944;3,690;-1,880;2,236;2,769;-2,532;1,715;5,645;11,155;-31,870;-8,822;1,243;178,516;0,761;-13,312;0,000;841,468;224,256;118,657;36,889;115,401;-0,209;-22,827;2,191;-0,696;-17,881;35,625;4,047;61,496;1,273;12,954;1,887;-8,445;3,303;67,026;20,120;42,278;-0,945;4,937;-4,007;-9,086;2,165;7,243;-10,256;3,669;-7,541;17,882;-0,572;-12,924;-9,345;8,822;2,307;2,164;-0,724;-22,913;2,890;1,153;-0,696;-0,139;699,442;-0,183;0,522;-0,487;0,652;140,454;0,000;-7,391;-7,124;21,834;-5,603;-4,940;16,442;10,409;-13,872;-9,536;41,912;1,235;4,221;-9,786;-1,661;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2288,811;995,538;1904,096;766,208;8514,757;13329,896;792,010;4326,571;1695,890;688,014;322,908;0,000;1383,808;17088,363;18,560;62,553;60,224;110,956;5,096;74,199;308,116;47,115;7,169;66,753;124,058;268,897;3339,143;1814,540;3991,151;3276,668;1443,735;1206,597;340,073;33,056;2931,799;0,000;13210,728;1071,546;1834,130;86,527;19,372;3,264;592,529;165,558;7,636;7414,959;2,307;691,681;3320,275;27,405;1419,153;48,723;300,682;105,735;21,493;482,272;86,206;-30,803;36,204;1067,541;1932,653;1498,454;1695,087;3248,740;539,400;23,951;170,613;80,136;1181,885;305,834;21,074;3,514;94,345;196,701;6248,823;7,122;7728,214;5,659;5,256;4903,800;19,277;55,721;3,227;1,841;699,699;0,000;357,344;495,205;0,155;25,194;1600,571;-57,369;1938,135;384,335;255,897;4785,426;315,034;1354,659;236,913;31,297;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;308,304;2463,176;918,480;1066,289;1294,028;246,512;930,324;350,959;26,044;89,059;0,000;432,753;3413,391;11,559;3,771;21,690;11,104;3,973;9,157;33,747;12,801;48,032;9,029;-9,490;30,829;158,349;10,155;383,904;477,254;393,417;344,531;168,666;-21,051;-12,666;0,000;573,261;429,316;207,080;60,677;-36,260;1,781;-61,706;32,162;3,755;40,399;-5,413;175,575;455,883;29,835;100,271;7,484;61,696;8,478;31,978;34,287;62,944;-7,178;9,219;43,410;5,118;-16,770;-66,261;-44,017;21,169;-2,002;18,980;268,516;19,825;30,846;-8,197;-1,941;-7,224;-12,604;53,600;-5,700;33,207;1,553;1,388;1,674;-5,791;2,255;-0,234;-0,738;-13,617;0,000;6,943;1273,649;-6,934;25,350;6,752;-14,655;45,000;884,896;35,187;33,635;-42,180;5671,449;-76,581;1,723;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2328,248;12,899;823,487;-37,459;22,636;270,971;3,236;-11,334;5,514;0,000;17,958;45,204;-5,176;0,086;-2,078;-6,325;-0,738;2,895;56,472;-0,676;0,086;1,733;1,374;-1,529;9,971;16,460;20,846;9,354;5,253;-49,946;21,165;-4,140;176,513;0,000;264,149;-10,817;24,077;-35,476;-20,514;-0,443;126,610;-21,421;1,715;11,804;30,416;-8,747;24,642;-1,110;-3,095;-3,205;-11,673;7,870;-2,311;-14,317;13,650;3,979;3,820;15,752;-8,550;33,061;3,286;32,455;-24,420;-4,060;4,642;9,472;18,011;2,061;-6,701;-9,278;-11,349;-3,628;33,060;1,344;697,441;-0,372;-0,295;161,007;1,764;2,900;0,009;-0,886;-14,647;0,000;-3,759;43,451;13,288;20,382;45,499;26,216;500,775;2,992;11,030;307,694;11,859;279,152;158,005;-5,867;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;892,051;2624,224;-13,009;24,734;452,777;-115,963;9,146;1115,205;0,000;6,126;-83,730;-4,777;-8,260;-9,056;-18,018;-1,415;3,945;115,640;-9,931;-2,808;4,864;-4,017;-0,484;-34,217;-14,125;9,389;-19,094;-2,406;-82,422;20,574;-20,254;649,561;0,000;2056,531;26,220;36,068;-38,093;-15,267;-0,381;233,700;104,898;12,716;699,397;31,170;49,084;427,014;29,791;162,757;17,996;13,011;-28,249;31,266;-12,920;103,142;5,022;188,480;12,809;124,430;128,559;262,864;575,856;28,324;-5,694;42,863;62,269;37,135;-1,748;-19,292;19,849;78,336;-17,889;276,712;-3,207;812,546;2,798;0,117;292,590;4,392;13,077;0,944;-0,599;3,060;0,000;3,998;101,796;27,807;33,744;141,147;19,747;847,973;151,438;115,321;772,525;40,722;2154,610;212,254;10,305;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
