;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;751,159;7371,595;0,000;1935,234;86,122;91,121;-176,251;7523,960;119,379;96,216;1845,579;13691,722;-150,186;-48,323;0,000;-17,677;3984,824;-0,431;-134,839;88,064;35,264;-9,695;-96,144;871,268;-106,414;-58,719;69,568;6,269;146,188;28,712;-2,883;904,736;490,000;4445,845;3778,723;444,180;124,316;11767,743;0,000;21091,420;4451,304;3913,679;2125,678;419,531;3,122;4175,634;396,388;-3,137;1934,085;422,885;-123,164;952,164;-115,531;725,656;13,055;449,836;403,101;52,476;1587,102;-78,755;215,949;480,895;129,183;566,902;1156,599;1584,396;772,962;507,044;82,165;549,019;-89,656;404,929;89,618;664,766;155,281;258,738;-8,777;2930,990;10,795;2203,784;-1,597;-8,296;1091,729;-44,389;-78,663;-22,489;-27,778;512,869;0,000;279,014;138,359;-132,130;149,164;497,405;489,295;3388,575;-83,048;1183,342;4198,081;20,668;1356,693;3659,549;88,154;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-122,318;0,000;44,986;86,049;62,025;-34,822;97,078;-10,245;-38,518;-163,226;12,167;-1,038;0,207;0,000;-20,162;-8,052;-26,247;2,569;-0,182;28,988;2,169;22,527;300,972;4,963;19,368;-12,035;31,191;-27,534;67,977;-21,410;-33,828;20,929;12,007;89,032;237,846;-9,994;91,967;0,000;753,643;218,888;111,238;53,114;115,853;-2,329;74,246;-8,895;-1,432;25,228;53,696;-66,842;74,077;1,990;-143,336;-1,034;-5,367;42,265;73,874;-32,816;-1,699;32,840;-10,765;8,896;46,984;-60,397;73,903;52,859;-24,375;8,861;4,196;-13,375;-20,634;-9,644;2,692;16,525;13,351;1,028;-32,562;6,225;17,769;-11,222;-0,413;648,819;-6,234;0,307;-3,294;1,540;113,380;0,000;-21,783;-71,549;32,161;-38,825;-4,925;62,231;-75,241;32,249;-48,721;200,687;-36,664;23,030;25,164;-3,025;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2155,866;893,973;1889,945;564,843;8255,707;13436,675;799,321;4322,887;1266,053;658,162;306,064;0,000;1219,765;17074,402;-0,776;-16,119;103,602;35,479;-2,134;119,800;234,189;-25,345;-104,789;-79,641;-60,263;282,504;3151,970;1847,713;4134,164;3221,012;1423,262;1182,925;543,070;-121,152;2844,916;0,000;13379,032;1076,281;1893,204;54,705;29,238;36,515;794,888;221,381;62,310;7059,039;19,612;868,050;3036,606;-9,374;1484,696;-21,963;366,017;-11,348;-169,052;306,865;76,013;-162,838;-13,203;1262,291;2068,704;1714,446;1482,749;3194,613;426,873;233,231;16,090;48,149;1180,926;275,599;-52,151;128,275;-49,875;14,551;6284,427;35,217;7586,987;14,743;1,469;5033,466;56,061;-57,911;-1,842;-9,323;689,975;0,000;163,979;391,352;152,186;10,964;1595,409;21,702;1897,686;467,408;278,588;4734,114;181,259;1372,181;296,693;51,473;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;352,202;2444,839;974,052;919,418;1280,782;165,756;732,162;383,077;48,958;-19,179;0,000;371,791;3577,878;-20,410;-24,542;3,409;120,470;-0,403;-25,934;-61,358;-47,013;10,474;-81,406;19,229;-23,853;221,810;77,231;346,537;504,960;494,069;363,690;131,493;-3,624;98,306;0,000;355,742;481,105;121,246;81,974;-8,104;0,625;103,975;-88,653;-32,018;-46,337;-79,453;137,377;319,278;83,907;-57,086;34,128;39,779;48,402;102,028;-75,221;6,022;24,010;9,138;-5,615;-102,933;-158,684;-54,943;-34,028;4,087;-73,690;-88,961;242,601;37,698;-1,449;-56,409;-24,701;-83,490;-104,485;56,435;-22,971;-8,696;-12,052;10,906;29,411;33,188;19,569;-2,222;-6,917;-49,168;0,000;63,070;1387,655;-72,219;12,821;-115,795;-25,662;7,199;911,057;-19,269;88,986;-39,666;5765,026;-20,226;-57,016;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2320,265;-24,852;565,870;57,905;-10,011;134,234;-4,396;5,191;6,705;0,000;-61,694;-50,453;-6,642;15,794;-7,290;-26,019;-2,022;4,768;60,870;5,018;17,305;-14,103;12,604;-13,317;-74,603;37,939;10,205;-17,984;12,478;87,924;34,419;-1,501;245,134;0,000;489,179;28,103;56,248;-117,505;-36,198;-5,046;155,194;-0,895;-2,900;80,268;51,073;21,917;20,529;-13,838;-24,137;35,029;-12,554;14,247;1,679;-30,145;26,680;9,789;55,122;32,816;88,702;52,572;-17,850;61,961;36,492;-32,887;-23,642;13,527;-39,259;-4,748;-1,365;-20,232;-23,800;29,064;-31,209;5,159;652,828;-4,541;-0,314;196,276;1,593;25,427;-4,605;6,446;-5,760;0,000;-9,790;73,015;-4,815;-11,124;58,243;43,010;416,449;-44,096;-74,438;297,712;0,299;293,473;193,924;-45,442;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;873,474;2551,478;4,205;-72,234;421,299;-5,687;110,510;1117,562;0,000;-40,861;-17,209;-50,869;49,321;-8,159;46,896;-3,995;-23,360;94,883;-60,718;13,661;-35,764;-59,920;-43,099;-50,872;-66,943;58,145;-75,661;-30,980;148,763;-87,927;-19,836;731,436;0,000;2366,925;105,224;-4,824;-90,134;0,677;-4,424;302,476;116,862;-4,743;549,774;5,994;118,047;456,473;-7,685;79,445;-6,632;-18,779;8,244;-5,554;124,759;110,652;-22,427;184,799;138,823;42,955;165,991;274,087;551,184;151,368;2,763;-14,997;28,316;26,983;-70,696;-52,027;58,258;165,291;55,487;249,433;-5,339;754,933;13,010;-0,391;137,054;18,482;37,076;-20,399;-5,635;-55,146;0,000;-9,191;140,577;8,786;15,365;140,673;46,137;739,254;123,965;0,002;678,170;-3,998;2098,729;235,878;-114,772;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
