;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;710,629;7567,474;0,000;1978,207;65,245;2,288;-23,828;7464,574;9,079;80,191;1738,700;13799,312;-55,306;39,888;0,000;34,097;3874,859;35,498;-91,691;74,023;-7,050;-10,165;-48,373;677,875;-132,894;-31,282;39,468;28,979;-49,608;187,101;90,709;775,386;484,666;4478,525;3600,951;408,161;231,525;11726,173;0,000;21441,760;4420,951;4135,486;2159,089;420,035;5,536;4046,159;580,473;-12,457;2047,355;211,547;-32,943;1057,973;-55,785;677,437;34,653;409,935;232,097;69,582;1757,657;-13,457;86,586;489,484;220,431;682,080;1179,395;1702,758;677,293;517,325;298,303;377,155;-49,641;595,583;124,762;830,648;301,386;195,223;-12,111;2727,710;-14,843;2279,482;-6,083;-7,050;1101,827;-30,189;-40,218;-17,953;-21,958;465,486;0,000;317,889;176,461;-10,388;286,537;430,768;601,730;3484,388;188,715;1333,290;4062,116;98,818;1340,589;3524,609;174,633;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;30,399;0,000;42,964;62,511;97,195;-21,959;72,005;24,764;-40,406;-51,198;18,631;-4,276;-11,219;0,000;-9,488;-43,021;-3,340;-0,937;-7,135;3,663;2,443;20,630;284,586;-7,177;2,581;-6,642;9,535;-11,221;49,666;-12,732;-14,284;2,970;-9,878;43,487;186,915;0,319;16,070;0,000;874,157;232,244;128,369;78,306;111,977;-2,639;6,092;10,991;1,862;35,573;22,826;-34,489;90,738;5,147;-60,047;1,373;-19,099;1,644;63,646;9,552;35,214;26,289;-12,545;7,815;15,284;-13,889;25,738;33,788;-4,443;31,268;29,059;1,428;19,239;-5,064;5,099;7,269;2,538;-10,160;-3,447;3,955;-61,198;-10,470;1,659;675,559;-7,236;2,595;-2,144;1,593;152,539;0,000;-1,943;-26,437;35,112;-1,699;12,864;32,969;-39,406;-14,171;-24,615;84,083;-11,735;64,312;-22,727;5,970;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2319,141;742,727;2085,043;752,073;8524,764;13510,265;768,328;4308,958;1686,689;540,462;207,544;0,000;1475,547;17289,958;-52,734;61,791;111,881;84,239;5,716;39,476;345,175;-1,915;8,599;-67,804;83,466;123,436;3310,954;1951,643;4175,619;3335,459;1486,067;1193,492;340,566;107,151;3048,579;0,000;13707,010;996,502;1923,628;310,329;46,692;31,628;668,736;294,893;51,624;7512,306;-32,378;603,397;3027,965;30,242;1298,358;111,172;416,157;-19,307;-4,378;463,074;51,475;4,167;46,831;1101,058;1858,609;1740,206;1552,509;3334,143;474,118;69,560;136,718;108,919;1250,216;233,574;37,852;122,258;87,020;80,850;6405,403;15,694;7660,449;3,047;14,426;4844,185;44,100;-30,452;9,907;-13,737;778,008;0,000;254,322;271,316;126,531;-26,286;1652,708;221,226;2076,001;423,695;219,017;4796,165;237,336;1390,684;376,127;85,150;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;328,125;2504,715;983,689;1087,723;1352,737;287,573;916,020;418,872;37,068;99,933;0,000;325,618;3637,837;-13,107;23,772;-2,879;53,028;-1,906;-23,509;-82,089;-0,667;38,716;-44,137;4,370;-44,688;183,562;44,273;434,099;529,991;395,681;376,506;118,233;-17,878;63,223;0,000;503,237;395,793;149,819;59,818;-30,331;4,074;47,873;27,685;-34,615;19,742;-22,924;184,241;284,080;29,969;47,970;21,665;110,411;35,369;53,695;-24,865;18,866;-12,085;-29,258;-12,503;-15,831;-36,380;-9,406;-3,225;6,396;41,241;-40,276;238,224;23,564;-3,325;-32,590;16,031;-18,754;-74,060;-25,078;-9,745;-27,847;-12,102;10,212;22,647;16,967;5,960;-8,735;-5,456;-52,519;0,000;18,608;1355,213;-73,871;27,732;-19,119;-20,314;-28,762;871,245;-31,762;31,301;4,876;5788,295;-25,413;-23,588;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2308,903;-11,682;696,206;7,506;-10,624;236,515;20,779;0,387;-2,906;0,000;-12,305;-11,082;-29,936;10,688;-34,485;-7,135;-2,224;0,986;39,427;-9,713;-15,635;-0,946;8,880;-24,318;-19,864;-30,932;29,832;-12,371;14,887;0,743;19,651;6,210;311,209;0,000;388,212;47,056;12,613;-52,017;-13,067;-4,875;250,369;15,644;-3,809;24,346;42,288;-14,826;-10,996;-16,155;-2,313;6,733;-16,477;-0,682;27,059;42,745;6,271;23,544;8,181;11,393;27,163;33,071;-0,118;-3,492;23,185;4,487;4,199;17,063;15,071;-6,984;-11,018;1,271;-24,230;18,302;7,990;8,732;659,651;-1,428;0,104;145,274;-0,654;24,479;-3,219;4,524;6,850;0,000;11,209;60,746;-16,028;22,747;28,681;28,028;434,502;-0,471;-10,568;261,863;-2,311;239,420;222,724;-11,980;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;944,131;2719,095;2,315;-9,650;424,447;-27,757;-13,327;1157,617;0,000;-16,650;18,338;-46,877;30,592;-54,859;18,578;-7,593;-28,482;28,032;-44,115;0,088;-19,010;0,259;-20,808;-62,183;-6,637;39,412;-22,217;18,050;-9,406;-3,705;13,049;727,663;0,000;2334,104;-21,704;30,482;-49,329;-9,770;-5,125;302,378;149,381;-0,913;665,120;56,300;72,607;372,274;18,499;134,746;4,286;18,949;5,832;71,186;68,468;89,270;14,363;176,270;28,782;77,739;158,501;246,409;601,056;22,954;40,494;40,651;99,104;59,917;-18,899;-60,877;43,455;133,427;29,549;276,750;5,034;850,323;12,447;1,395;252,281;18,171;20,979;-20,521;-5,157;7,083;0,000;33,117;137,394;-44,104;52,636;120,130;59,018;871,686;148,113;89,750;777,519;-13,257;2126,966;286,820;-23,267;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
