;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;553,297;6983,105;0,000;1372,187;-3,729;-607,603;-384,989;6964,264;-505,451;-755,687;1411,587;14167,672;-377,874;-438,779;0,000;-161,130;2912,947;-446,532;-814,252;-207,674;64,353;-74,069;-314,730;533,720;-272,940;-250,482;-415,882;-473,655;-339,554;-164,796;-681,554;169,645;146,433;4172,507;3114,681;225,118;-542,319;11749,302;0,000;20967,156;4345,252;3626,649;1723,799;124,714;-71,680;3708,433;433,478;-151,511;1163,007;-612,761;-410,667;691,664;-391,197;390,210;-194,611;-113,978;194,470;-512,685;1458,049;-311,489;-493,501;484,970;-353,535;259,558;1041,918;1450,406;359,265;413,326;382,399;238,717;-265,083;502,122;-511,769;565,555;-356,485;319,863;-167,752;2463,217;-139,351;1879,424;-181,873;-46,086;749,545;-302,963;-145,519;48,621;-23,250;-229,879;0,000;106,741;27,003;-592,900;292,446;169,341;108,338;3040,042;182,192;1006,918;3600,383;-138,168;734,887;2931,222;-285,039;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-320,067;0,000;53,198;-29,024;-48,165;-112,657;-176,019;-31,124;-204,029;118,130;-270,381;48,762;68,006;0,000;-6,243;-222,917;-4,536;29,330;41,531;13,184;5,724;-47,380;303,743;24,748;30,605;35,083;17,949;-43,653;-28,700;-5,158;-192,272;45,878;-142,647;-93,922;102,272;-60,339;-150,033;0,000;352,603;276,455;292,494;-74,517;94,144;-5,799;-30,421;67,999;-4,890;-198,725;-35,270;-147,134;-28,149;-6,294;-64,219;-20,514;-68,044;-38,810;38,286;0,126;-20,842;-5,992;-4,603;-6,804;-223,018;4,294;-112,215;40,156;-68,843;15,736;34,666;28,314;-59,129;-62,632;8,280;-29,663;-14,629;37,469;-16,894;29,647;-89,992;-11,179;1,757;655,232;-6,419;49,797;-24,543;-5,200;119,630;0,000;89,303;-97,188;33,543;-17,908;109,627;91,536;16,004;-4,819;28,984;-117,857;-76,245;133,590;-63,692;-23,623;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;1938,191;394,333;1173,328;441,410;7996,738;12862,526;-27,745;4430,727;757,323;-4,182;-785,807;0,000;1109,741;16736,554;-162,268;-449,726;-307,335;-347,806;14,802;-361,275;-130,063;-62,619;-635,142;-486,558;-724,695;-341,396;2771,534;1313,159;3537,210;2886,343;783,434;715,946;-701,473;-493,666;2330,071;0,000;13406,661;600,947;1429,104;33,331;-1012,296;-94,023;-469,100;-43,399;57,105;6854,566;-641,263;-425,529;2593,974;-711,394;763,668;-626,534;-537,132;-785,838;-49,171;-201,593;-436,818;-573,253;-173,399;440,557;1274,248;822,311;914,463;2831,015;353,081;-764,137;-227,900;-292,578;418,185;-1092,712;-678,996;-264,595;-174,989;-785,866;6248,985;-258,302;7447,253;-246,042;6,214;4718,881;-39,635;-461,243;90,576;-34,994;277,895;0,000;-217,094;-225,805;-540,826;-708,661;1257,612;-498,168;1836,178;-38,657;-265,225;3997,861;-227,254;909,339;-528,792;-271,383;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;125,678;2557,774;631,803;794,184;1013,803;147,025;917,767;107,839;-35,429;-92,873;0,000;327,834;3347,227;-12,902;-331,163;-107,354;-79,502;5,795;-100,142;-83,372;73,746;-108,215;-59,420;-348,336;-170,671;-71,587;-6,376;275,523;513,034;296,502;70,378;178,652;5,353;-201,909;0,000;-207,867;21,375;151,951;-161,430;-17,000;-34,547;-120,152;-280,905;-58,942;-9,491;-137,894;347,383;175,135;-82,573;-69,181;-61,202;-69,135;0,498;-220,208;-182,836;28,318;10,865;-34,415;73,742;-182,472;-117,072;-70,302;-219,148;-267,478;189,659;-86,315;224,878;-169,793;-70,135;-138,816;-372,878;-143,290;-2,806;-180,609;14,661;-141,661;-28,324;-21,443;180,902;-44,692;284,603;-46,064;-30,806;-43,702;0,000;22,950;1298,033;-219,883;-160,029;-8,173;-105,259;-50,892;787,929;-218,601;-147,712;-5,131;5670,271;-278,000;41,411;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2304,916;-28,882;573,066;-180,756;-182,764;51,445;-376,781;-83,982;6,128;0,000;-147,830;-387,370;3,451;-63,816;-45,585;-63,613;8,525;-19,046;-8,178;13,326;-31,289;-91,228;-65,269;-72,382;-189,086;-172,329;-111,001;-49,855;68,688;166,009;147,568;-60,528;528,136;0,000;270,495;6,374;-159,643;-91,090;-124,283;-4,871;202,488;-1,046;-33,573;159,092;48,453;-97,378;-237,800;-68,647;91,639;-0,206;68,097;-80,373;4,444;123,978;29,031;11,272;13,650;42,727;-190,231;-130,535;10,261;-98,819;-41,301;-27,963;104,488;42,211;-13,220;-2,468;45,132;17,637;-61,409;115,533;7,102;-10,977;720,251;13,427;6,302;172,554;-53,406;58,322;5,299;-7,465;-117,900;0,000;53,176;-140,519;-64,525;34,181;-32,422;-32,010;376,541;-10,237;-47,258;191,039;-99,439;17,114;157,621;22,105;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;1144,585;2190,026;-256,037;-133,886;610,649;-69,789;-116,930;1143,641;0,000;7,878;-443,751;-33,059;-155,924;-259,056;-0,928;8,528;-175,826;-26,218;77,894;-131,624;-168,259;-261,366;-220,928;-474,152;-211,933;-387,078;14,212;-43,752;-12,910;99,887;-114,807;742,929;0,000;1477,805;-293,331;-88,432;-8,760;-127,457;14,662;342,964;-82,497;-83,737;502,347;-4,659;-36,736;183,094;131,046;20,556;-67,792;-28,832;-181,012;-52,936;14,710;0,747;-64,634;183,861;1,940;2,396;34,605;300,512;706,352;-117,917;-153,357;86,637;121,744;-72,290;-173,065;-231,712;-175,935;-53,637;62,527;-26,901;70,894;871,127;-23,943;15,968;309,840;-57,872;94,011;-73,944;-56,489;-86,457;0,000;75,449;-109,284;-87,984;-26,874;64,667;-40,012;712,847;92,741;-10,598;171,390;-130,646;2247,654;294,559;-223,430;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
