;Instancia 1;Instancia 2;Instancia 3;Instancia 4
Tipo;BITMAP;BITMAP;BITMAP;COUNTER
Size(KB);  0,01;  0,01;  0,01;  0,01;  0,06;  0,06;  0,06;  0,06;  2,00;  2,00;  2,00;  2,00;  8,00;  8,00;  8,00;  8,00;  0,00;  0,00;
Treshold;0,1;0,3;0,5;-
RMSE;46,39047593;71,46203572;109,58726637;162,25673835;45,33647832;60,95153251;73,38583108;90,81424262;40,09746626;51,32220403;60,84690507;65,84129260;48,94298330;69,82075023;81,42366408;90,71740412;0,00000000;0,00000000;
RMSRE;2,98018392;7,14260100;8,05195170;10,66875405;2,70731066;873,17522052;6,61401040;3,41132578;3,10919415;2,68177203;5,21055645;2,16429998;7,48949688;7,36923720;7,35549228;7,63283752;0,00000000;0,00000000;
Observers;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;115;21;
RelNbSw;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;18,26;
