;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;696,763;7225,359;0,000;1790,060;-87,205;-293,204;-271,577;7054,382;-74,609;-86,442;1526,335;13432,361;-56,591;2,298;0,000;-44,276;3924,628;33,926;19,487;24,870;-24,264;-2,248;0,741;575,651;18,598;-19,811;-17,856;-4,021;22,911;346,863;39,886;834,523;505,915;4354,004;3675,264;495,383;204,112;11443,559;0,000;20984,957;4184,909;3394,876;2134,432;407,817;3,332;3941,281;430,630;-2,798;2214,797;210,541;14,039;1036,684;-1,092;538,578;58,214;415,553;310,274;-21,238;1481,772;-18,707;53,823;392,814;277,537;623,338;1295,202;1595,509;513,970;417,966;357,531;375,720;119,970;631,968;251,943;769,095;244,876;205,164;74,360;2369,901;-5,217;2374,111;6,087;1,150;1161,414;-5,936;13,587;2,744;2,297;298,365;0,000;276,929;271,767;27,501;289,711;280,874;595,399;3353,009;224,538;1341,245;3719,592;139,139;1122,870;3515,683;115,227;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;22,863;0,000;-28,100;25,895;84,692;-3,674;80,184;-59,073;-11,119;-7,358;-42,036;-0,351;9,183;0,000;0,973;-3,291;1,510;2,418;0,295;2,082;-0,348;4,875;274,944;3,690;-1,880;2,236;2,769;-2,532;10,052;3,573;16,607;-24,812;-12,801;-1,400;171,725;0,761;-39,435;0,000;828,841;232,225;129,540;36,657;115,401;-0,209;-16,187;2,191;-0,696;-19,496;35,625;-2,886;54,584;1,273;0,765;1,887;-8,445;3,303;67,026;22,717;42,278;-0,945;4,937;-4,007;-7,602;-3,434;4,382;-9,976;3,669;-7,541;17,882;-0,572;-12,924;-9,345;8,822;2,307;2,164;-0,724;5,314;2,890;8,743;-0,696;-0,139;666,064;-0,183;0,522;-0,487;0,652;140,454;0,000;-7,391;-7,124;21,834;-5,603;-5,492;16,442;8,645;-13,872;-10,440;62,184;1,235;3,715;-6,176;-1,661;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2408,707;901,629;1920,023;692,378;8293,604;13021,740;958,732;4356,155;1452,311;694,143;317,304;0,000;1332,562;16705,230;24,469;62,657;61,517;103,520;6,129;67,812;300,034;51,121;13,944;66,262;110,528;269,623;3218,618;1465,730;3828,604;3348,060;1390,174;1318,389;262,392;44,336;2683,890;0,000;13039,955;908,948;1400,180;42,148;9,294;0,698;707,575;194,141;5,063;7479,167;14,327;779,042;3321,565;13,443;1545,908;28,611;323,978;96,169;22,275;402,536;118,738;-30,150;20,527;1043,325;1918,034;1282,071;1756,076;2991,300;501,724;33,312;177,002;89,956;1200,808;292,809;37,409;3,776;130,792;184,147;5887,292;13,188;7231,775;0,359;2,331;4769,862;10,473;56,558;-1,853;1,889;687,157;0,000;359,683;511,483;11,099;10,127;1573,114;-31,704;1993,759;390,737;257,226;4422,292;299,704;1299,459;332,439;14,082;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;318,702;2065,133;554,713;903,509;1126,420;235,864;867,118;376,381;29,996;74,316;0,000;402,826;3480,616;9,989;3,281;18,821;13,438;4,970;13,709;45,616;13,994;47,701;14,985;0,407;41,722;136,028;16,362;370,962;507,112;390,575;415,457;137,837;-21,281;-316,000;0,000;658,730;410,066;149,816;32,286;-28,657;2,982;-125,665;50,028;3,692;-137,284;-4,240;197,849;253,374;36,180;23,921;2,152;59,510;14,803;43,955;-5,658;67,594;-0,998;2,919;48,462;49,191;26,085;-115,976;-32,321;18,884;-6,875;24,661;254,768;27,660;33,602;-7,902;11,006;-3,014;-15,799;25,598;-6,687;28,862;2,130;1,988;34,074;-5,548;4,147;0,709;1,278;-9,506;0,000;4,654;1281,581;-3,874;27,455;-16,413;-27,738;52,480;889,174;19,157;-41,806;-41,353;4942,377;-143,661;6,870;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2305,918;21,503;802,797;-101,132;27,292;224,606;-28,881;-8,825;8,411;0,000;23,948;89,429;-6,123;0,481;-1,798;-6,125;-0,756;3,438;52,698;-0,301;0,481;1,219;2,280;-2,336;28,024;18,466;21,689;24,736;4,869;-58,302;22,181;-3,276;194,913;0,000;303,226;-6,481;32,384;-33,004;-19,549;-0,453;132,042;-21,578;1,943;51,642;28,274;-19,043;-4,788;-0,827;-10,765;-3,015;-13,324;10,118;-3,906;-19,038;17,734;3,646;4,813;15,733;-12,119;31,273;4,795;41,752;-21,523;-3,805;3,092;8,946;18,799;-0,740;-4,231;-8,558;-12,792;-2,943;39,536;1,584;672,604;-0,360;-0,302;123,587;1,886;3,361;0,093;-0,907;-14,334;0,000;-3,517;47,548;13,290;21,587;48,183;26,992;506,945;2,961;12,479;295,215;13,709;265,785;148,180;-6,189;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;666,817;2496,161;41,465;28,663;380,523;-254,671;10,820;1095,844;0,000;-8,349;35,543;-4,138;-9,392;-8,378;-14,397;0,339;4,784;123,362;-10,939;-3,147;5,575;0,508;-6,087;-37,655;-1,258;38,483;7,375;10,884;-47,582;12,362;-24,156;510,698;0,000;2001,070;64,545;55,742;-72,208;-7,578;-0,107;175,685;113,135;10,003;635,160;26,104;13,487;391,613;27,490;187,521;13,727;-7,124;-25,239;37,052;14,937;100,454;11,345;175,870;24,890;151,114;127,773;250,250;556,133;10,589;-13,054;45,983;54,323;55,627;-13,165;-18,616;30,481;84,309;-13,262;268,552;-1,754;823,776;2,233;0,446;217,785;4,020;12,085;-0,769;-1,769;-2,930;0,000;-0,341;105,394;30,137;34,073;117,557;19,777;802,185;170,893;147,819;720,770;42,272;1751,993;149,358;2,946;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
