;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;679,633;7042,569;0,000;1751,815;-77,806;-383,160;-272,002;7189,912;-210,024;-88,388;1653,755;13725,685;-59,039;-19,873;0,000;-4,194;3653,247;50,528;11,470;29,944;-15,158;-2,126;7,403;584,609;10,614;-14,063;-18,775;-13,008;-1,643;413,147;69,297;739,980;517,540;4343,819;3746,707;489,382;233,833;11458,559;0,000;20835,515;4149,058;3354,131;2069,949;401,683;0,898;3949,952;414,666;-2,057;2008,532;224,239;45,112;1032,926;-2,225;580,820;61,805;398,525;278,098;-12,782;1503,788;-29,400;49,031;403,043;209,000;661,411;1307,022;1630,494;527,912;435,369;363,343;363,885;103,595;659,327;200,169;820,978;243,870;188,445;68,432;2356,593;-0,942;2333,058;5,909;0,006;1146,564;-5,567;10,530;1,959;5,671;288,776;0,000;268,982;247,627;15,974;262,626;211,010;566,663;3242,344;237,399;1289,021;3507,425;131,798;1136,335;3557,123;104,903;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;30,648;0,000;-29,353;25,895;84,692;-3,674;78,201;-46,880;-11,119;4,895;-16,965;-0,351;9,183;0,000;0,973;7,710;1,510;2,418;0,295;2,082;-0,348;4,875;274,944;3,690;-1,880;2,236;2,769;-2,532;10,052;3,573;16,607;-24,812;-12,801;-1,400;171,725;0,761;-20,968;0,000;792,237;232,225;129,540;36,657;115,401;-0,209;-16,187;2,191;-0,696;-13,241;35,625;-2,886;57,414;1,273;0,765;1,887;-8,445;3,303;67,026;22,717;42,278;-0,945;4,937;-4,007;-7,602;-3,434;4,382;-9,976;3,669;-7,541;17,882;-0,572;-12,924;-9,345;8,822;2,307;2,164;-0,724;5,314;2,890;8,743;-0,696;-0,139;666,064;-0,183;0,522;-0,487;0,652;140,454;0,000;-7,391;-7,124;21,834;-5,603;-5,492;16,442;7,839;-13,872;-10,440;68,211;1,235;3,715;-6,176;-1,661;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2417,930;1033,647;2095,066;654,732;8605,519;13039,873;949,790;4648,689;1848,213;688,896;357,588;0,000;1315,156;16509,584;33,095;66,177;76,310;125,874;4,928;71,872;328,843;53,483;15,479;73,784;106,640;264,539;3323,469;1321,070;3872,428;3401,882;1432,702;1317,618;313,979;29,870;2481,281;0,000;12989,859;994,866;1381,763;-6,859;34,078;-1,760;630,602;166,589;5,520;7297,711;21,997;838,288;3545,756;8,813;1569,099;11,325;318,587;113,874;31,096;453,657;115,565;-28,618;61,815;1001,198;1866,728;1296,999;1770,621;3000,526;502,316;23,674;199,897;119,112;1250,341;301,547;14,756;3,284;100,378;182,774;5860,433;8,526;7336,203;7,250;3,965;4859,073;11,866;64,828;4,246;9,841;711,125;0,000;312,952;498,771;7,856;-25,792;1537,875;-39,429;2046,785;383,434;223,928;4536,062;307,390;1381,854;321,157;17,597;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;324,432;2054,468;537,807;770,059;1141,448;236,253;906,348;307,807;36,243;74,956;0,000;400,757;3477,907;10,644;3,893;18,967;14,131;5,001;11,790;47,124;13,099;48,008;15,671;0,472;40,033;134,062;12,838;370,487;501,143;391,984;417,063;139,418;-20,189;-245,159;0,000;683,335;404,968;144,740;33,101;-28,642;3,000;-128,202;52,623;3,718;-140,898;-4,137;198,316;254,642;36,420;22,043;0,170;63,764;15,163;44,922;-5,759;68,426;-0,410;1,248;45,765;46,984;26,856;-117,956;-31,166;17,132;-6,626;25,169;255,989;27,479;35,730;-9,572;11,816;-2,210;-16,843;21,625;-6,717;32,106;2,146;2,000;25,124;-5,572;5,316;0,716;1,287;-7,893;0,000;2,337;1280,782;-3,853;26,851;-18,493;-27,431;-18,933;888,671;18,276;-71,348;-42,353;4938,928;-143,089;6,999;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2305,918;21,503;746,872;-64,664;27,292;245,783;-46,097;-8,825;8,411;0,000;23,948;140,033;-6,123;0,481;-1,798;-6,125;-0,756;3,438;52,698;-0,301;0,481;1,219;2,280;-2,336;28,024;18,466;21,689;24,736;4,869;-58,302;22,181;-3,276;160,520;0,000;294,942;-6,481;32,384;-33,004;-19,549;-0,453;132,042;-21,578;1,943;9,366;28,274;-19,043;17,450;-0,827;-10,765;-3,015;-13,324;10,118;-3,906;-19,038;17,734;3,646;4,813;15,733;-12,119;31,273;4,795;41,752;-21,523;-3,805;3,092;8,946;18,799;-0,740;-4,231;-8,558;-12,792;-2,943;39,536;1,584;672,604;-0,360;-0,302;123,587;1,886;3,361;0,093;-0,907;-14,334;0,000;-3,517;47,548;13,290;21,587;48,183;26,992;504,273;2,961;12,479;308,262;13,709;265,785;148,180;-6,189;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;666,817;2379,987;70,755;28,663;417,638;-298,179;10,820;1095,844;0,000;-8,349;-21,308;-4,138;-9,392;-8,378;-14,397;0,339;4,784;123,362;-10,939;-3,147;5,575;0,508;-6,087;-37,655;-1,258;38,483;7,375;10,884;-47,582;12,362;-24,156;447,822;0,000;1968,829;64,545;55,742;-72,208;-7,578;-0,107;175,685;113,135;10,003;540,490;26,104;13,487;399,497;27,490;187,521;13,727;-7,124;-25,239;37,052;14,937;100,454;11,345;175,870;24,890;151,114;127,773;250,250;556,133;10,589;-13,054;45,983;54,323;55,627;-13,165;-18,616;30,481;84,309;-13,262;268,552;-1,754;823,776;2,233;0,446;217,785;4,020;12,085;-0,769;-1,769;-2,930;0,000;-0,341;105,394;30,137;34,073;117,557;19,777;811,071;170,893;147,819;764,013;42,272;1751,993;149,358;2,946;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
