;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70;Router 71;Router 72;Router 73;Router 74;Router 75;Router 76;Router 77;Router 78;Router 79;Router 80;Router 81;Router 82;Router 83;Router 84;Router 85;Router 86;Router 87;Router 88;Router 89;Router 90;Router 91;Router 92;Router 93;Router 94;Router 95;Router 96;Router 97;Router 98;Router 99;Router 100;Router 101;Router 102;Router 103;Router 104;Router 105;Router 106;Router 107;Router 108;Router 109;Router 110;Router 111;Router 112;Router 113;Router 114;Router 115
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;351,677;7346,224;0,000;1948,026;450,312;387,689;-161,878;7549,042;-100,977;-58,679;1833,724;13779,561;-195,699;-54,907;0,000;295,000;4134,869;-6,249;-135,753;68,018;-1,408;-11,276;-44,687;777,435;-146,393;-97,002;110,302;-37,018;324,687;52,884;-38,732;973,197;628,985;4493,743;3586,667;298,141;118,016;11399,514;0,000;21206,293;4421,352;4031,861;1715,035;173,342;7,061;3761,174;436,513;-11,406;2008,571;623,976;-320,114;1391,890;-75,960;871,353;126,536;220,565;498,524;-358,887;1888,085;-497,095;226,992;676,986;257,720;334,272;1374,583;1594,095;681,984;456,500;199,406;384,031;-376,244;613,445;124,334;715,906;-29,565;46,286;-199,490;2526,124;24,378;2119,222;-15,863;-9,734;1258,844;-42,099;-80,338;-27,808;-33,957;223,697;0,000;14,838;-176,417;-103,384;-91,528;161,636;675,821;3124,530;-151,630;1166,312;4297,411;424,099;1451,576;3414,364;-88,635;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-39,028;0,000;-163,980;163,025;150,198;-78,363;56,048;-13,784;37,458;-220,917;-265,833;10,037;48,129;0,000;-48,152;-181,814;-20,558;4,747;4,034;29,008;3,145;-0,670;308,635;1,646;15,079;-13,840;19,766;-69,504;84,516;-12,538;-26,667;138,532;-22,199;203,719;184,025;10,913;-116,791;0,000;589,337;235,440;123,024;53,254;119,041;-5,333;-22,174;41,198;-5,378;19,612;103,254;-30,848;72,955;-4,672;-307,283;6,182;22,806;40,233;74,238;9,362;39,496;41,777;33,115;26,710;29,708;-62,152;10,342;27,835;5,519;13,369;51,715;-39,765;-0,733;5,352;-45,952;76,557;-16,650;28,555;-114,650;0,899;38,352;-14,446;1,749;665,589;-5,456;5,700;-3,919;1,016;160,008;0,000;13,462;-64,143;28,489;-60,874;-65,017;50,166;44,203;119,078;-26,483;125,222;-47,492;55,913;-10,222;31,777;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;2162,011;777,573;2090,833;756,203;8172,123;13222,325;817,992;4226,297;977,673;967,712;635,523;0,000;1631,824;16808,302;-73,932;-27,873;138,417;19,633;5,375;111,071;-114,854;-102,509;-67,554;-91,026;-101,669;264,663;2944,304;1882,295;4294,024;3237,770;1554,642;1345,049;335,242;-1,054;2528,967;0,000;13355,471;1431,400;1700,419;92,037;-138,413;43,851;745,360;151,182;26,876;6756,661;-278,943;1031,803;3298,706;-20,587;1230,786;-50,687;-33,503;-273,164;-440,299;443,695;-70,742;-174,820;-270,592;1348,063;2135,459;1251,458;1636,059;3137,578;416,669;-172,069;-340,937;-110,326;1244,391;365,677;-284,342;186,193;-137,333;-90,589;6409,615;45,119;7525,838;-1,559;-1,085;4908,200;75,636;-82,972;-4,048;-13,867;873,652;0,000;-63,981;481,295;134,517;337,587;1739,858;148,576;1604,198;937,661;-314,277;4953,143;194,820;1098,706;256,949;34,638;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;320,178;2491,709;842,548;1208,602;1283,873;481,764;950,172;133,515;65,420;-12,585;0,000;342,713;3233,922;-93,202;-35,238;-9,460;92,840;-2,008;-49,177;-275,147;-57,286;19,577;-29,534;-20,196;-56,246;125,389;-26,077;346,857;514,890;550,596;243,926;215,876;47,688;216,007;0,000;487,236;452,460;203,583;117,046;-25,391;1,342;133,903;-227,164;-36,064;28,089;-224,469;167,640;50,459;62,188;-145,006;78,787;104,894;76,367;197,244;-91,539;94,314;34,307;-27,607;-16,639;136,650;-13,800;-48,085;-67,060;-101,229;18,893;-162,748;294,228;79,680;-98,304;-35,308;-78,224;-188,002;-122,340;158,826;-21,012;81,276;-4,193;9,893;58,539;24,655;26,001;-2,605;-7,679;-119,625;0,000;-14,952;1434,891;-86,626;176,787;-298,801;-163,443;-81,878;881,771;-0,120;66,166;72,302;5599,189;-45,953;-30,594;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;2283,731;45,282;743,820;-132,011;87,462;127,865;49,672;27,973;-17,837;0,000;-101,571;-32,956;11,886;-4,694;-1,150;-29,666;-6,705;-3,819;91,515;-2,237;17,812;-2,517;25,424;2,663;42,323;29,547;-22,177;170,440;211,199;146,261;27,592;19,524;135,530;0,000;475,875;58,785;103,949;-134,969;-78,103;-5,653;67,994;2,727;-8,211;194,146;161,509;-42,297;-161,715;-13,674;-100,807;28,447;-59,720;21,092;-6,409;103,290;60,701;2,225;24,971;-52,667;72,290;-13,447;107,446;109,092;-82,910;21,756;-47,256;-60,669;-100,508;48,394;7,724;-40,699;-30,386;56,698;-33,769;-4,055;661,671;-3,450;3,183;304,731;3,367;23,075;-3,924;2,746;-12,579;0,000;13,478;57,642;4,020;28,347;91,830;121,901;412,293;-23,648;-118,993;515,846;-34,363;303,624;119,254;-56,318;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;952,583;2688,037;-77,118;80,194;229,700;89,158;71,327;1103,670;0,000;47,957;113,104;-54,079;-3,553;-15,565;54,831;-5,313;-4,787;33,946;-41,689;45,792;12,607;-26,255;-3,493;9,127;43,302;39,813;-207,430;161,470;-36,909;-74,779;60,705;781,584;0,000;2436,740;31,953;102,553;-12,374;-157,379;-11,052;201,857;198,238;-5,938;868,562;-130,479;90,975;490,091;0,889;106,953;16,094;-108,976;215,880;-74,791;-71,424;244,692;31,169;298,798;43,512;68,467;188,364;55,555;505,896;51,665;129,669;-30,730;-60,231;-11,116;-88,945;65,917;12,898;67,575;43,082;452,278;-4,999;844,701;17,464;-0,234;231,703;28,628;39,037;-20,114;-8,795;52,694;0,000;-128,701;219,232;29,272;-14,567;113,500;217,952;612,928;66,772;-36,303;1104,798;-116,732;2202,413;123,663;-74,432;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
