149.0: [{7=18}, {20=21}]
147.0: [{29=40}]
146.0: [{6=26}, {15=19}, {19=22}]
145.0: [{17=23}]
142.0: [{9=22}, {31=32}]
141.0: [{32=38}]
139.0: [{16=26}]
134.0: [{17=21}, {30=37}]
133.0: [{7=33}]
129.0: [{7=25}, {22=28}]
127.0: [{6=15}]
126.0: [{9=31}]
125.0: [{23=35}]
124.0: [{17=37}]
122.0: [{11=25}, {20=33}]
120.0: [{8=30}]
117.0: [{16=34}]
116.0: [{11=34}, {17=40}, {27=37}]
113.0: [{6=18}, {19=28}, {22=24}]
112.0: [{10=40}, {23=33}, {24=37}]
111.0: [{7=27}, {17=22}]
108.0: [{24=26}, {24=28}]
107.0: [{8=36}]
105.0: [{18=33}]
101.0: [{14=15}, {15=24}]
99.0: [{10=38}]
96.0: [{21=28}]
95.0: [{6=25}]
94.0: [{6=40}]
93.0: [{10=21}]
92.0: [{29=30}]
91.0: [{10=30}]
90.0: [{32=40}]
88.0: [{14=38}, {18=23}, {18=28}]
87.0: [{6=30}, {16=25}]
84.0: [{15=20}]
80.0: [{15=32}]
79.0: [{10=22}]
76.0: [{5=19}]
74.0: [{9=30}]
71.0: [{27=31}]
70.0: [{32=39}]
69.0: [{12=16}]
68.0: [{15=34}]
67.0: [{26=38}]
64.0: [{9=36}, {21=24}]
63.0: [{28=33}, {29=39}]
62.0: [{25=38}]
61.0: [{17=36}]
57.0: [{29=33}]
56.0: [{7=26}, {11=30}]
55.0: [{6=36}]
54.0: [{9=18}]
52.0: [{20=36}]
51.0: [{18=26}, {27=32}, {31=39}]
50.0: [{14=37}]
49.0: [{18=24}, {19=34}, {23=26}]
48.0: [{13=21}, {23=34}]
47.0: [{21=26}]
46.0: [{6=23}, {9=40}, {19=27}, {26=39}, {27=30}, {30=32}]
45.0: [{8=19}]
44.0: [{9=28}]
43.0: [{7=35}, {9=24}]
42.0: [{6=20}, {29=32}]
41.0: [{9=23}, {12=28}, {18=35}, {23=27}]
40.0: [{11=28}, {11=29}, {20=24}, {31=38}]
39.0: [{13=16}, {14=31}]
38.0: [{9=39}, {27=38}]
37.0: [{28=32}]
36.0: [{6=35}]
35.0: [{6=33}, {12=38}, {17=27}]
34.0: [{6=24}, {8=29}, {15=29}]
33.0: [{4=13}, {11=20}, {17=18}, {23=25}, {24=29}]
31.0: [{6=17}, {10=34}]
30.0: [{4=12}]
29.0: [{9=27}, {18=27}]
28.0: [{14=30}, {17=24}, {22=27}]
27.0: [{9=34}, {21=38}]
26.0: [{22=31}]
25.0: [{6=14}, {19=36}]
24.0: [{12=37}, {26=37}, {27=40}]
22.0: [{6=27}, {11=35}, {12=22}, {13=22}, {18=20}, {26=31}]
21.0: [{20=34}, {22=29}]
20.0: [{6=34}, {19=24}, {24=27}, {29=34}]
19.0: [{12=31}, {14=23}, {28=34}]
18.0: [{14=28}, {20=27}, {28=36}]
17.0: [{5=13}, {24=34}]
16.0: [{7=14}, {9=13}, {9=17}, {10=28}, {11=23}, {21=22}]
