;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;92,408;134,849;119,447;111,178;61,823;67,850;84,299;44,843;0,000
Router 3;;;;-2,031;135,993;17,984;3,790;-3,338;72,433;64,679;0,000
Router 4;;;;;-3,865;131,964;55,898;72,742;-3,854;-1,216;0,000
Router 5;;;;;;49,360;15,463;86,376;337,398;218,921;0,000
Router 6;;;;;;;105,799;228,279;24,391;22,090;0,000
Router 7;;;;;;;;113,894;9,990;46,056;0,000
Router 8;;;;;;;;;126,396;29,851;0,000
Router 9;;;;;;;;;;240,285;0,000
Router 10;;;;;;;;;;;0,000
Router 11;;;;;;;;;;;
