;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;157,357;151,413;164,971;137,675;83,157;102,036;114,748;85,352;-3,038
Router 3;;;;-17,783;260,524;6,745;2,757;1,481;162,467;117,593;-10,912
Router 4;;;;;10,480;169,863;64,803;108,923;8,924;8,412;-2,779
Router 5;;;;;;60,981;19,267;93,534;400,498;257,160;-29,018
Router 6;;;;;;;145,327;263,019;74,704;57,695;22,393
Router 7;;;;;;;;156,516;16,491;48,060;59,925
Router 8;;;;;;;;;182,624;52,783;-0,337
Router 9;;;;;;;;;;315,931;-19,760
Router 10;;;;;;;;;;;55,456
Router 11;;;;;;;;;;;
