;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;112,426;0,000;107,514;88,894;0,000;55,413;65,394;56,494;0,000
Router 3;;;;0,000;215,173;11,338;0,000;-18,198;71,401;69,724;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;49,114;0,000;44,763;215,473;187,543;0,000
Router 6;;;;;;;0,000;164,211;23,005;26,627;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;84,659;36,335;0,000
Router 9;;;;;;;;;;167,142;0,000
Router 10;;;;;;;;;;;0,000
Router 11;;;;;;;;;;;
