;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;163,392;160,016;185,232;142,690;65,802;95,475;125,050;90,055;-11,249
Router 3;;;;-27,682;243,026;37,777;3,359;-0,704;138,863;112,547;-11,438
Router 4;;;;;-1,197;169,121;62,515;126,895;-12,005;-22,890;-1,064
Router 5;;;;;;65,892;13,100;108,363;391,024;254,753;-34,468
Router 6;;;;;;;144,731;292,495;72,485;53,477;8,067
Router 7;;;;;;;;129,640;31,567;58,923;39,252
Router 8;;;;;;;;;180,924;79,348;2,884
Router 9;;;;;;;;;;332,345;-25,857
Router 10;;;;;;;;;;;28,514
Router 11;;;;;;;;;;;
