;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-1,473;46,018;-23,826;-46,984;-8,086;-31,548;2221,825;1514,709;-2,505;2989,012;2940,382;10658,422;1773,888;1863,189;151,835;15,529;580,081;579,497;25,363;155,632;242,904;684,125;151,872;146,788;42,226;179,083;64,813;226,209;2336,554;12395,064;4994,943;1236,241;1253,229;3354,667;2739,802;1469,116;2945,289;2079,849;3225,311;1646,161;881,282;682,647;385,189;196,915;-8,674;4,849;-29,150;8,385;-6,033;212,710;8,257;8044,977;78,412;532,541;497,715;70,206;906,466;617,073;117,938;-34,038;25,663;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;9,002;9,002;-1,547;-0,542;0,959;-3,878;-3,866;-0,002;-2,923;0,912;-2,631;-0,397;-4,234;2,226;-0,007;0,110;12,568;-1,606;1,902;0,434;-2,029;1,080;-0,829;-0,348;-0,610;-0,182;-0,632;-0,289;-0,495;-0,949;1,419;-1,959;-0,948;2,177;0,255;-0,694;-0,717;-3,262;-0,889;-0,528;2,619;-1,696;0,659;-0,239;-0,269;-0,788;-0,160;9,002;-1,998;-0,470;-0,461;9,002;-0,126;4,115;-0,258;-1,955;-0,694;-0,301;-0,112;-0,419;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;25,251;1399,887;22,971;1970,880;1386,283;5692,710;-1,285;789,839;578,216;1944,248;101,201;1394,576;95,005;-2,712;219,105;-2,236;203,182;63,071;76,348;147,793;440,618;388,342;215,332;626,150;3,735;6,127;9,191;-40,583;-7,820;79,694;-30,811;8,049;223,945;181,494;51,620;351,380;549,121;-6,768;16,739;34,589;39,678;267,222;3,199;-20,174;26,161;0,372;79,714;61,104;-7,126;883,708;5609,446;85,791;1358,754;28,312;268,547;178,976;-33,828;1,069;25,003;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;2,620;-4,143;-45,038;3,039;827,864;-0,166;2,930;-14,874;58,848;-29,996;14,953;8,914;-0,719;-2,991;698,135;-3,573;99,761;9,173;39,109;250,145;37,617;-1,035;-6,023;-2,175;-10,442;-24,564;-2,573;4,049;4,007;38,154;20,261;-42,084;-48,779;-49,711;23,076;-3,041;-0,100;-6,143;-18,674;12,535;10,134;-3,414;21,801;114,334;158,212;728,344;-15,216;3,802;6,077;25,617;-7,090;30,755;4,472;32,676;8,134;1,358;-0,562;-4,555;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;244,831;1489,620;4506,131;2808,638;-0,955;-11,871;115,754;-53,685;-44,010;3298,127;487,317;-2,821;64,979;85,158;6,744;53,852;35,103;58,645;626,419;79,894;13,344;11,672;14,178;20,784;14,245;76,125;-84,919;-10,139;19,047;-13,383;2,109;62,445;-0,541;-7,955;1215,189;15,443;-1,318;94,451;53,331;226,447;135,953;-5,301;41,295;34,793;30,538;-21,190;170,748;1913,530;1415,464;8,872;642,902;-5,527;-40,623;-38,503;10,978;20,646;219,608;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;220,090;253,791;588,229;-0,181;276,429;60,878;557,899;10,620;266,851;37,843;-0,783;4,212;4,514;-33,479;2,500;-13,059;2,147;-10,526;-13,191;-1,790;7,877;-3,730;-2,227;12,278;-7,529;-3,978;46,801;-20,349;45,198;16,545;38,508;5,299;13,413;50,095;7,506;12,920;2,096;3,259;28,383;-5,454;-7,666;0,215;-3,490;0,346;-2,421;5,412;141,768;24,433;-4,565;138,023;-7,509;85,743;75,524;7,575;202,243;744,669;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1403,657;4716,763;1,502;383,879;5048,630;379,655;315,244;1306,145;100,151;0,279;334,957;188,103;260,218;167,544;-33,935;-41,368;630,083;244,061;148,958;1768,027;22,486;15,055;69,501;86,155;709,707;88,222;0,528;116,284;976,734;930,865;1224,669;11,562;398,755;26,550;5,797;1274,575;513,859;698,539;144,785;-10,668;186,550;77,144;440,025;164,219;12,613;784,073;1978,300;45,032;6888,869;-11,435;245,881;38,867;-36,909;33,299;185,298;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2776,781;-1,823;252,456;106,817;1430,091;591,538;4884,678;1609,804;-3,124;73,259;50,411;-8,695;108,783;73,109;365,850;629,179;85,229;-8,165;43,908;39,805;81,754;214,801;98,084;-74,507;212,050;5,010;17,548;549,598;195,696;634,869;380,626;2410,704;30,167;17,035;93,496;136,558;226,421;122,091;12,838;46,392;38,936;20,207;72,785;223,937;2259,624;1413,617;123,561;598,309;5,220;395,899;62,742;79,612;7,238;242,120;0,000;0,000;0,000;0,000;0,000;0,000
