;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;4,711;-328,672;97,669;-317,508;-445,293;-155,521;1932,705;1265,937;-38,144;2772,883;2739,188;10471,414;1408,662;1655,252;-143,552;57,927;511,482;469,744;-8,755;-35,945;342,677;688,072;135,187;292,572;-97,509;-82,057;187,859;141,460;2390,581;12513,269;5238,805;1611,246;1211,788;3250,790;2713,293;1503,132;3078,518;2171,043;3448,934;1694,736;721,731;912,115;141,349;114,438;-51,399;-70,905;55,889;189,393;31,966;112,469;-135,811;8126,264;-280,425;812,271;670,887;-76,927;755,789;431,081;34,447;-199,550;-335,883;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;6,940;8,204;-5,152;-6,545;15,474;-12,575;16,589;-0,054;-7,405;-0,983;-17,511;-10,546;-19,121;0,099;-0,239;0,994;11,084;0,060;-2,363;9,812;-1,129;22,096;3,867;-2,832;8,409;1,172;1,672;1,479;6,538;-4,614;-16,505;-6,095;0,746;8,789;3,392;17,968;-7,399;-10,800;-1,226;-0,825;-0,990;-6,191;-11,165;2,865;-3,202;-0,258;-3,108;10,835;1,520;-0,266;-7,909;4,763;-5,957;2,530;-7,115;-13,555;1,418;-0,346;-1,193;-4,689;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-151,457;1697,876;17,097;2173,130;1640,196;6159,053;0,973;972,785;445,244;2114,131;-80,749;1409,378;-104,301;-13,534;336,552;197,978;255,583;173,910;104,485;14,683;575,408;511,263;351,640;822,562;-70,194;-32,360;104,590;-150,330;-161,466;-47,745;174,992;378,992;374,719;282,982;157,344;191,376;567,105;-226,767;-36,527;43,999;72,773;308,886;26,385;-56,196;0,419;17,970;-5,614;80,386;-68,754;804,236;6723,065;-36,731;1541,490;46,227;348,401;106,924;-85,564;-54,995;-22,132;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;20,262;-3,985;-109,497;3,977;885,972;-1,983;-137,478;-16,471;210,867;9,460;52,353;95,040;-2,982;54,208;711,023;-62,941;108,190;143,544;43,834;207,055;91,423;-22,761;-144,983;13,690;-30,805;-64,857;143,164;-37,629;-32,632;78,166;-3,747;-48,790;-185,345;33,445;-38,708;22,863;-2,725;-53,919;-35,426;13,432;-25,177;11,701;34,570;97,742;155,354;736,826;-69,347;27,750;30,707;-46,293;-68,789;-7,769;-29,961;-115,724;-4,987;9,834;-6,802;-6,652;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;227,661;1765,124;4849,523;3209,047;3,350;-21,843;292,629;-277,078;-196,319;3415,417;596,147;-0,964;3,252;-32,305;-30,819;91,341;-8,404;35,854;738,395;72,249;126,525;104,883;-100,553;12,207;25,014;-310,395;55,656;-145,062;-11,119;-211,597;-112,802;2,929;-292,974;-97,550;1194,677;-221,328;89,379;332,414;20,575;235,485;143,873;-27,989;135,009;121,772;123,113;-17,572;334,515;1853,231;1606,381;-124,799;495,734;-195,378;-58,649;-24,446;-26,833;-27,999;228,327;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;370,550;253,762;677,349;7,808;172,175;29,616;138,220;-54,171;86,241;2,897;-1,574;-64,072;77,811;20,641;38,125;-52,529;-73,436;115,778;45,582;21,263;154,519;-23,295;9,540;75,262;-319,723;-163,426;47,794;-67,571;-2,752;-63,088;-79,284;-75,342;-133,994;-139,095;-56,308;25,568;-67,137;-16,631;45,390;-12,768;27,664;23,169;-30,130;-32,485;-3,906;16,702;42,077;-81,141;-49,783;31,543;-25,615;25,193;50,847;39,112;336,633;730,702;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1611,677;4911,929;16,278;570,903;5039,440;903,932;300,610;1374,884;145,977;-23,044;323,242;167,523;325,723;97,896;-108,418;29,561;546,897;227,820;268,343;1840,935;-34,730;15,295;-42,393;-122,103;609,721;-13,892;143,126;323,394;1175,281;1115,184;1342,744;-50,611;487,881;-138,359;36,425;1530,060;373,330;739,723;65,556;93,548;217,526;197,504;357,959;233,560;-18,186;426,949;2101,467;-157,511;6986,964;-112,349;181,296;325,848;45,950;-77,067;316,298;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;3092,319;9,651;73,420;209,382;1662,324;660,868;4902,033;1713,206;-10,729;15,858;-32,336;-5,316;80,247;107,652;338,020;695,459;180,514;34,968;44,195;-4,491;181,803;243,058;-396,396;21,791;143,219;108,467;135,531;529,506;86,047;955,512;190,693;2283,443;-310,135;76,929;275,138;84,774;290,926;55,410;-16,768;157,035;83,616;12,006;132,264;422,225;2007,402;1473,800;6,631;694,303;-217,797;517,448;182,645;4,143;41,920;245,022;0,000;0,000;0,000;0,000;0,000;0,000
