;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,949;-111,200;77,026;-113,476;-144,588;-76,258;2221,170;1480,504;-38,471;2828,199;2974,115;10460,344;1498,942;1825,889;-10,519;48,465;643,450;515,822;190,643;26,908;185,321;583,965;41,330;261,511;-65,738;-44,139;96,410;130,709;2407,090;12595,472;5354,358;1548,346;1203,580;3332,395;2760,270;1490,904;3050,290;2110,515;3363,781;1785,072;730,575;918,709;222,828;172,986;75,714;-49,313;-25,959;-39,528;-1,158;216,238;-104,500;8261,502;-135,638;575,976;630,210;88,265;945,868;323,035;-66,643;-141,268;-251,956;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;4,024;10,738;-1,502;-6,068;9,254;-13,850;23,907;-0,054;-2,386;-5,420;-5,544;-9,399;-20,336;-3,984;-0,239;0,122;20,529;1,664;-1,398;11,881;-1,326;19,660;4,821;-2,013;6,217;1,434;0,914;-2,178;8,495;-1,975;-18,810;-4,492;-2,386;15,298;1,217;4,878;-11,143;-13,006;-2,797;-1,713;-2,252;-8,914;-7,658;2,183;-0,585;-3,409;-2,968;8,412;-1,738;1,935;-9,031;9,432;-4,758;2,776;-6,488;-14,236;0,633;-1,521;-0,672;-4,983;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-73,227;1630,170;41,862;2161,484;1592,354;6288,419;-0,514;869,049;261,934;2105,569;-7,651;1444,901;-95,946;-11,255;289,874;119,533;246,460;246,801;70,294;-1,253;551,794;558,276;384,754;720,688;-80,070;0,714;42,475;-169,298;-137,254;-13,532;116,937;362,295;224,353;130,281;66,781;188,029;544,551;-141,565;-20,981;8,117;-48,116;309,444;-10,357;-82,994;21,809;53,838;58,507;51,276;-58,925;884,861;6695,447;-15,296;1533,303;14,598;369,544;195,117;112,281;-4,660;7,319;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;51,388;-28,018;-151,807;34,930;698,538;-0,771;-100,539;2,757;-127,504;24,241;88,045;35,628;-5,143;43,910;690,289;-24,451;130,051;78,521;38,228;195,189;32,643;-17,621;-20,814;12,414;-13,382;-18,904;53,674;-0,959;20,027;28,667;-21,852;84,284;27,442;37,647;-8,145;-20,527;15,250;-37,638;-13,271;-33,771;-2,600;-7,072;47,754;133,008;147,898;722,300;19,669;9,980;43,082;-92,150;-37,040;-68,670;-37,917;-79,123;18,953;-11,900;-21,623;-8,928;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;272,192;1547,809;4822,649;3080,121;6,967;-64,777;188,836;106,436;-189,564;3386,322;591,890;7,394;66,081;6,769;-2,299;100,278;37,983;-32,715;746,332;110,277;91,945;51,679;0,249;58,703;78,317;-106,767;-60,631;-118,092;84,086;41,101;-36,811;32,253;-138,436;-72,029;1214,942;-81,831;74,546;151,307;3,623;247,618;94,235;20,826;86,087;11,560;119,568;-13,032;276,352;1844,350;1596,916;-74,194;521,456;-94,221;5,562;27,461;90,795;28,529;250,201;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;207,120;293,697;581,771;6,146;269,838;93,881;326,919;-164,554;179,974;2,790;-6,220;3,382;-12,352;-0,455;26,666;-12,735;23,543;63,411;-26,190;29,121;107,587;-19,220;4,856;30,352;-83,996;-44,264;-15,844;-79,556;-108,363;8,650;15,037;-184,316;43,556;-100,041;-61,445;47,993;45,229;-42,648;5,115;6,068;1,198;-39,968;-22,630;-27,253;-3,384;22,737;166,301;-21,022;-43,855;60,392;-23,049;29,044;69,679;14,843;318,836;730,236;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1567,691;5034,544;13,287;667,557;5133,497;606,486;285,134;1296,323;110,837;-12,269;345,256;71,567;273,340;151,548;-36,227;130,358;533,275;313,113;188,462;1861,659;87,724;-20,465;39,629;-131,199;707,896;-89,364;-8,474;286,769;1147,908;1011,998;1113,420;70,586;375,472;-128,181;28,498;1420,607;358,859;705,647;97,452;3,336;237,713;41,499;356,885;191,130;89,149;460,503;2230,860;-98,099;7088,283;-99,875;250,566;209,506;94,853;7,389;300,245;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2867,275;4,516;128,337;315,407;1516,471;794,042;5084,896;1717,930;-8,190;164,574;89,875;69,662;51,971;91,707;320,212;698,233;189,119;39,634;37,783;9,547;105,088;215,649;-282,125;-5,496;105,349;-26,677;236,256;603,004;101,441;978,836;279,345;2402,807;-153,151;78,875;167,893;78,448;256,977;60,371;51,846;54,544;-19,099;80,742;102,714;345,035;2212,976;1613,397;25,114;518,759;-71,536;495,978;56,248;126,083;24,587;213,638;0,000;0,000;0,000;0,000;0,000;0,000
