;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-0,951;-48,775;-2,584;26,763;-56,796;-6,277;2339,229;1519,791;-31,593;2906,999;2791,035;10617,216;1718,881;1805,521;146,707;41,732;488,198;511,262;51,313;140,855;259,841;650,466;111,933;161,145;-56,386;52,596;30,135;148,596;2435,087;12727,542;5279,759;1529,971;1271,427;3344,525;2599,848;1358,369;2872,830;2154,166;3502,002;1835,598;819,304;911,835;294,367;215,529;-4,409;10,452;-38,814;-24,133;82,912;166,595;-19,318;8224,187;-6,054;561,123;552,733;136,890;935,882;391,240;49,759;-65,622;-37,164;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;7,111;12,216;-3,746;-4,318;11,342;-16,612;17,834;-0,054;-12,427;-2,240;-15,982;-10,317;-17,043;-4,659;-0,239;-0,008;23,040;0,546;-0,429;7,036;-0,342;18,693;6,396;-2,192;4,650;2,156;1,752;-0,128;5,412;-4,462;-15,864;-1,182;-2,468;10,492;5,474;1,820;-4,837;-11,585;-2,380;-2,180;-3,270;-12,536;-7,232;1,282;-0,067;-0,623;-2,759;14,557;-0,721;1,796;-5,296;7,009;-7,230;5,906;-4,790;-13,353;1,716;0,209;-1,136;-3,941;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;11,646;1544,735;-1,236;2196,258;1571,488;6154,658;0,458;949,563;415,993;2070,627;30,584;1499,409;30,473;-6,022;281,633;94,819;232,281;54,089;24,064;17,193;540,447;482,608;340,730;710,100;-19,229;7,493;-27,339;-70,067;-26,471;-55,296;59,955;249,098;158,827;203,157;2,488;174,008;516,834;-70,679;-20,975;40,373;-23,552;298,796;28,239;-4,071;-44,064;-0,462;33,789;-0,050;-19,885;836,756;6706,483;-6,568;1536,887;58,789;314,866;216,588;31,621;28,703;-2,859;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;22,142;-11,679;8,243;24,414;792,010;-0,489;-0,518;14,459;117,428;3,341;19,901;37,044;-3,012;-10,225;643,111;-9,206;43,750;26,747;34,590;237,100;35,165;6,748;8,843;-4,910;-2,234;-18,674;35,119;-23,377;-39,569;59,653;74,026;57,713;44,474;17,332;54,838;-3,617;-9,258;-36,277;-10,980;-9,520;-3,107;-4,077;6,658;95,388;175,779;757,102;-26,014;13,633;68,966;16,155;1,924;-79,390;-2,244;35,775;-12,094;-8,877;-5,681;14,383;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;259,788;1585,875;4813,103;3015,727;5,386;-3,228;173,350;76,901;-79,245;3454,791;536,491;1,887;38,738;27,665;24,920;43,457;-21,945;-43,492;772,085;88,446;84,860;31,694;19,752;5,187;-9,263;-59,500;-18,651;-24,330;52,662;62,856;13,585;45,869;0,885;0,497;1293,750;-60,125;8,636;118,397;22,583;256,280;146,960;5,424;52,065;40,357;56,503;-60,302;222,794;1850,461;1529,849;-5,695;672,676;-40,306;32,430;6,267;25,392;26,554;224,174;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;147,529;260,839;667,901;4,968;331,139;-11,258;500,999;8,463;205,495;-2,303;-5,956;12,055;41,533;-15,941;27,483;32,799;37,404;57,326;19,181;17,739;42,277;-13,271;-8,899;-12,598;-58,347;-59,028;33,328;-40,855;-11,229;53,611;1,386;38,955;-23,666;-14,856;-30,149;31,489;-13,448;-10,141;1,121;14,386;5,385;-21,391;-14,402;-5,847;-19,130;-1,049;155,494;-16,807;1,614;109,859;-18,079;65,368;81,750;5,508;338,522;749,468;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1573,295;4984,952;13,479;580,326;5153,740;665,946;266,091;1319,541;64,889;-9,475;333,288;193,871;240,096;99,106;69,225;65,215;600,316;293,488;208,078;1838,641;38,306;2,145;6,907;-35,082;771,482;-42,008;70,263;169,044;1142,242;1037,774;1195,462;20,187;376,635;-63,554;44,979;1422,083;415,399;799,019;126,997;-6,941;263,266;59,396;431,538;127,742;48,256;646,189;2230,643;-27,059;6954,360;2,486;237,283;241,750;62,621;-44,696;222,976;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2953,808;3,397;280,960;285,493;1712,739;794,740;5153,472;1771,485;-4,192;130,011;138,268;74,326;79,573;102,906;358,946;760,463;111,071;58,159;36,909;54,433;65,961;212,095;-53,516;15,354;191,081;27,709;220,360;616,494;171,188;956,938;347,100;2535,298;-64,892;-0,131;100,080;100,942;238,660;125,798;14,006;-1,545;34,534;69,806;66,317;264,213;2211,371;1564,379;59,515;691,784;-7,227;484,234;133,364;90,997;16,435;228,267;0,000;0,000;0,000;0,000;0,000;0,000
