;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-54,484;-210,140;-388,879;-127,252;-293,883;-396,539;2137,718;917,450;-2,648;2761,720;2440,974;10118,567;1104,026;1528,117;-0,356;-214,284;-104,760;-445,896;-185,877;-237,845;114,348;241,247;-146,574;-118,284;-109,427;-72,856;-309,622;-194,622;1920,402;12359,156;4803,714;864,709;986,417;2891,868;2657,842;1143,956;2220,836;1961,840;3667,465;1833,477;585,594;687,633;87,079;149,932;-392,497;-256,753;-167,769;-170,081;-333,438;-212,478;-85,994;7624,975;-426,786;85,698;124,438;-242,620;733,068;4,249;-20,775;-646,312;-216,212;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;45,885;13,109;2,345;10,497;-69,859;-42,469;24,089;-0,517;-74,608;-43,221;-50,995;4,643;-18,928;-37,615;0,446;27,900;39,130;8,442;1,241;0,694;-37,014;60,663;10,802;-16,152;-5,170;6,381;-3,478;-11,491;-68,937;-36,115;47,167;-0,918;73,756;-63,865;-3,058;87,585;-92,693;3,699;-0,762;-1,734;-30,942;9,819;-42,654;1,777;1,272;7,079;7,706;17,290;20,965;-13,719;-82,704;39,915;-13,546;20,531;-16,362;-42,411;-4,819;0,724;-4,786;6,297;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-48,978;1448,842;26,305;2023,560;1515,825;6359,084;15,188;745,302;244,082;1739,521;-335,260;1377,389;-203,449;-44,273;-4,759;-460,527;10,635;-213,371;-23,713;-145,819;471,297;421,692;349,551;588,834;-8,792;-199,543;-149,267;-319,994;-97,193;-43,253;-228,102;-20,369;81,285;14,415;-397,042;9,631;432,457;-75,108;8,416;-214,112;-237,759;94,817;80,427;-71,224;115,284;-6,156;149,143;-183,153;-267,105;606,012;6652,951;-238,974;1309,871;-196,829;173,216;67,189;-100,389;87,994;-208,213;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;-42,818;3,288;-284,854;4,507;479,094;-5,863;-307,998;-474,868;-1104,938;-270,610;-15,601;-177,190;-9,990;-196,404;532,687;1,372;11,123;-178,262;-394,484;498,660;85,129;35,199;-118,809;12,952;6,131;58,413;-436,583;-72,847;-228,343;68,414;-165,783;-314,666;-239,672;-360,188;-254,996;-121,489;-35,464;-32,836;-155,739;-155,190;-108,760;-22,889;49,730;138,355;193,491;812,669;48,079;-1,069;-253,754;4,984;-109,114;-171,723;-71,454;-34,831;-139,741;-37,524;-17,022;-33,732;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;206,481;1619,982;4714,030;3313,031;17,633;-256,686;109,895;-473,319;-360,140;3494,539;559,088;23,597;-87,680;64,171;-239,535;-10,073;-35,289;127,685;758,263;207,993;-89,863;-121,708;115,669;-36,889;-107,354;-165,523;-274,945;19,177;-307,466;-396,338;-93,026;-156,685;-642,185;32,807;1147,578;-123,500;-126,885;41,674;-349,552;356,357;0,735;-4,971;-124,001;-22,852;-101,087;-169,025;209,587;1954,768;1544,085;30,552;381,961;-158,390;16,713;-132,673;-178,624;103,378;173,196;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-101,322;100,237;482,075;8,355;-10,190;-408,406;-366,572;-172,755;72,511;-42,487;-5,443;-287,744;-244,743;-104,645;-48,736;-18,100;34,730;-78,238;77,074;-64,584;-5,470;-110,094;-118,727;49,020;-41,686;-9,043;-100,949;-79,742;-435,582;70,979;-14,131;-674,577;-35,576;-77,298;-25,246;13,517;-21,273;-163,085;-57,378;-30,533;29,151;-24,152;-34,686;-58,071;65,718;11,772;171,669;41,652;-72,649;-324,919;-7,715;79,758;-32,776;-4,699;297,194;784,911;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1582,953;5259,974;52,638;338,316;4913,952;118,109;-290,454;1326,345;-26,807;27,651;192,155;-186,264;-8,233;-155,584;-105,382;-164,016;563,329;353,805;216,042;1490,153;-10,506;-168,706;-247,415;-346,646;422,359;-189,352;-206,523;-460,537;606,048;867,190;498,418;-340,113;45,012;-266,566;-5,578;1130,676;230,844;757,418;-280,323;74,007;68,054;-58,131;225,873;6,216;109,699;399,396;1934,715;-261,729;6695,587;-296,418;97,880;32,635;20,240;108,510;-194,239;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;3116,580;10,128;-3,618;229,332;1054,781;372,969;5104,152;1708,309;31,753;4,386;46,721;-395,989;-2,851;-94,164;131,584;444,932;26,409;-49,227;-69,594;186,583;-66,284;-51,289;-323,445;-320,956;-29,915;-272,177;-179,765;449,667;-91,003;425,310;77,062;2505,190;-76,072;-34,195;42,240;-46,838;35,682;-72,234;11,530;-31,348;-209,826;-60,959;-20,091;199,436;2042,616;1612,022;40,877;505,904;-191,595;614,842;-28,714;-133,071;84,756;59,586;0,000;0,000;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-20,190;4244,353;1071,759;13217,844;975,241;1656,701;-233,540;-70,422;-105,662;77,526;-237,551;-291,200;685,661;635,397;4509,339;1442,273;305,163;-139,029;28,619;43,483;-219,463;387,698;576,550;539,105;480,994;1070,887;896,345;451,789;1279,973;1393,759;417,251;-168,055;-460,200;-90,488;57,592;2728,871;-220,740;660,740;1441,323;-22,314;683,419;-321,244;-195,222;1528,031;6125,965;277,747;2875,468;-366,911;859,250;-172,361;-316,981;-271,442;-13,360;0,000;0,000;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-110,513;-2,171;26,234;-25,055;6,748;22,854;-0,731;0,988;-33,495;12,262;9,788;-25,591;-32,116;-59,854;-18,744;10,613;32,893;6,585;13,780;-3,845;-13,124;17,388;-3,097;-9,135;14,312;39,488;32,341;14,004;-14,942;16,317;-2,338;-10,319;-8,603;0,473;22,846;7,432;-10,609;-4,918;-5,164;-23,583;4,385;-2,775;10,179;27,508;2,799;50,116;4,749;4,379;7,010;-0,127;-1,121;5,661;0,000;0,000;0,000;0,000;0,000;0,000
