;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-29,332;12,370;-16,352;-8,910;-17,523;-122,030;2334,618;1442,599;-9,738;2956,197;2868,455;10578,138;1567,597;1783,822;133,727;-62,894;405,407;344,612;-65,892;126,422;205,369;684,073;135,027;75,325;109,322;118,730;109,352;127,458;2482,721;12935,981;5357,627;1491,372;1352,947;3375,117;2740,624;1465,874;2853,284;2086,434;3517,798;1931,672;798,571;934,780;278,079;201,527;-65,714;62,446;-72,624;-60,584;-59,745;59,924;3,859;8353,443;-33,283;515,929;414,470;99,903;882,561;374,001;72,037;14,002;33,595;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;40,887;16,499;-8,469;6,768;4,150;-29,276;53,603;-0,489;-13,781;-15,895;23,346;-7,556;2,352;-32,364;1,362;-1,173;33,290;-0,504;-9,940;19,909;-8,777;20,832;18,607;-0,121;2,154;4,373;-1,254;-12,012;-4,994;-16,417;14,771;1,885;28,479;-53,144;-23,254;27,702;-42,324;-4,559;-9,007;0,580;-1,444;3,999;-11,685;-9,898;5,722;2,868;6,107;22,295;16,174;-6,565;-29,905;43,651;-12,611;13,148;-3,494;-33,160;-1,414;-2,548;1,726;4,427;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-17,674;1530,675;91,189;2232,570;1518,104;6205,324;25,466;954,905;481,894;2099,461;-39,077;1459,736;43,450;-56,979;272,808;14,435;262,951;-26,187;24,688;23,148;446,675;508,649;265,847;650,196;-0,310;-7,681;-21,243;-77,087;-15,139;-7,246;42,915;233,145;227,550;221,340;15,612;238,549;476,316;-38,740;16,469;106,120;-81,679;269,522;-9,117;-5,373;-51,920;30,160;60,170;53,610;-49,410;899,032;6814,659;-49,737;1556,601;-26,458;273,744;284,321;3,880;9,251;45,012;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;16,053;-9,380;-21,955;56,818;831,744;-7,295;-11,802;-22,119;100,052;22,089;32,435;2,568;0,526;-23,208;687,237;3,343;95,940;-2,882;-7,547;220,214;24,906;37,801;-7,766;-2,307;-5,876;17,876;-32,474;-26,144;-6,427;25,115;54,026;-81,260;-51,897;-46,763;-36,800;9,189;-10,363;-14,914;-9,749;-42,000;34,658;-5,709;13,004;112,733;171,972;732,799;6,543;-2,322;-22,086;-19,454;3,058;2,125;21,834;114,498;33,169;-10,204;-26,826;-3,224;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;250,134;1629,627;4810,289;3017,572;8,916;-6,356;214,571;36,906;-122,760;3475,626;483,068;33,852;38,169;91,494;-9,561;47,118;-0,797;29,512;754,873;114,582;18,220;2,263;0,317;-40,553;-44,140;27,681;2,162;-24,359;31,069;22,356;61,922;37,010;29,536;17,043;1308,828;7,155;18,368;173,300;-68,267;253,974;163,265;-22,887;4,270;49,131;31,148;-33,252;208,009;1874,312;1558,794;-14,843;726,755;-24,398;9,358;6,914;0,086;42,226;244,913;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;208,834;194,575;722,251;5,153;391,131;-7,333;544,104;47,334;231,002;31,528;-9,563;-11,275;35,739;-10,543;34,044;15,521;-19,957;-25,311;-12,171;22,921;7,138;-20,607;-21,241;14,866;-11,944;-1,919;53,381;0,172;0,795;43,788;91,176;25,954;-0,841;32,386;21,633;17,674;-33,723;-7,343;25,674;-16,604;7,972;-18,200;-15,692;4,018;25,092;3,030;166,129;95,030;-7,519;111,703;-1,631;46,934;38,006;24,883;371,156;781,813;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1580,141;5058,867;55,154;434,147;5247,098;431,675;317,197;1263,266;26,484;56,869;389,323;188,297;225,431;116,022;54,021;46,365;681,381;294,668;213,383;1818,842;-19,395;-55,233;-69,689;-25,499;727,973;-57,176;-13,110;26,701;1023,682;1031,515;1182,945;-80,326;380,881;-29,204;-11,244;1374,713;434,037;790,244;148,742;9,983;215,874;122,472;451,238;92,963;12,747;667,187;2215,923;25,425;7065,553;-2,762;189,928;211,064;-24,247;82,579;133,634;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2917,891;22,431;198,682;209,657;1555,573;744,070;5183,730;1706,896;9,875;116,589;134,253;11,190;106,590;98,384;398,499;746,329;150,889;1,011;9,322;60,131;17,646;191,393;-11,182;57,846;173,515;70,528;244,168;640,870;216,942;875,587;376,403;2581,701;-10,145;10,657;201,606;60,984;206,191;138,585;5,066;-19,530;53,777;54,696;151,271;245,807;2147,165;1514,782;51,346;626,604;-24,250;466,911;53,925;82,938;48,432;220,404;0,000;0,000;0,000;0,000;0,000;0,000
