;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-67,757;-151,837;-219,132;-113,284;-92,449;-373,701;2104,829;1154,076;-32,415;2728,283;2390,457;10650,866;1180,324;1709,896;-32,751;-168,717;172,931;2,587;-136,825;-220,286;87,200;516,392;-19,338;-26,716;69,494;104,083;-3,304;215,516;2247,662;12619,491;4967,747;1462,976;1012,664;3293,611;2664,839;1401,708;2416,430;1801,827;3477,368;1776,676;554,865;532,111;57,026;165,093;-136,120;-57,698;-242,466;-131,820;-98,458;28,432;-3,647;8079,837;-159,248;411,791;251,230;-45,568;972,928;129,911;-43,102;-143,679;-194,739;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;39,766;15,019;0,277;1,762;-33,141;-24,433;15,023;-0,517;-48,447;-43,752;-23,372;12,752;-25,012;-14,275;0,446;8,338;17,302;-7,242;-5,195;1,387;-36,810;41,653;20,698;-16,138;-6,242;3,246;6,013;3,992;-52,223;-34,101;26,941;23,509;58,610;-57,453;-19,318;105,469;-57,740;1,133;1,654;-4,886;-35,761;8,669;-37,503;-4,447;2,406;2,796;4,078;17,040;19,542;-15,175;-80,853;54,793;-20,431;38,950;-18,347;-59,925;-9,252;5,121;-8,320;2,869;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-24,268;1641,206;-85,795;2090,338;1519,889;6374,922;11,960;1005,269;510,139;1884,520;-279,440;1507,751;32,929;-88,297;287,366;-103,674;158,608;-88,982;-54,155;-68,328;507,048;601,497;216,809;757,964;-101,953;-59,216;83,576;-217,977;-30,039;-277,770;61,279;125,991;42,784;160,141;-255,239;108,415;302,712;-105,012;-29,396;-78,820;-197,711;266,641;83,609;-44,173;-59,647;-50,419;143,521;-48,409;-126,042;777,126;6679,400;-145,933;1621,407;-2,419;81,136;47,175;-6,749;-46,475;-1,656;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;48,585;-40,958;15,054;74,791;811,454;-10,423;-274,309;-349,466;-190,645;-65,506;3,515;2,888;-14,477;-84,484;703,443;5,831;22,116;-26,479;-72,410;320,362;57,140;-2,791;19,002;-2,444;-0,945;8,240;-252,609;-87,346;-98,080;-47,150;-177,015;-160,383;-185,277;-133,003;28,565;-41,330;-30,016;-45,068;-27,303;-68,480;-14,319;-29,168;43,908;108,463;188,842;766,607;141,069;-17,930;-153,606;0,485;-12,918;-180,534;-35,318;-8,712;-62,195;19,228;-34,637;-51,267;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;177,540;1589,623;4977,255;3422,098;18,416;-4,955;300,042;-170,758;-416,581;3601,913;535,070;16,089;59,437;44,790;-115,352;43,244;10,143;-71,299;769,513;179,230;-24,262;-2,035;82,048;-46,072;46,132;-89,821;-75,559;-24,954;-16,526;-121,699;-142,361;-132,268;-298,990;-71,132;1263,153;-97,445;-68,467;142,694;-153,718;308,486;153,142;32,175;-55,223;-30,393;-18,678;-68,417;177,765;1730,931;1630,548;1,862;680,209;-221,068;-36,635;-93,121;-61,191;34,230;187,669;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-48,659;114,760;559,106;11,117;171,064;-197,314;362,538;-134,413;46,409;-41,652;-7,985;-152,430;-212,673;-134,128;46,067;4,890;-59,305;-70,407;-51,299;6,614;-23,666;-68,732;-10,642;15,590;0,078;-67,644;20,622;-118,910;-333,358;-89,743;-39,919;-181,998;-59,125;123,576;54,862;6,392;-57,399;-4,799;37,253;-86,257;35,314;6,035;-7,074;-24,033;13,359;-72,361;-30,615;-79,205;14,224;-326,529;16,107;4,402;136,929;42,637;302,847;745,360;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1491,573;5000,422;32,509;265,342;5184,103;260,559;-24,619;1212,460;-69,021;77,525;348,183;221,508;201,262;9,643;54,196;68,455;752,466;239,448;212,891;1821,619;34,014;-118,901;-49,398;-223,689;561,818;-163,920;-59,550;-92,524;851,094;772,739;761,943;-117,336;316,972;-80,259;21,562;1308,314;347,772;741,227;-117,941;40,869;167,025;-11,964;374,971;74,301;-118,261;434,745;2149,401;-92,687;6749,389;-182,529;59,777;143,897;-27,492;219,984;-66,192;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;3002,817;17,999;-33,208;241,598;1177,482;438,694;5245,057;1649,487;36,533;130,294;91,230;-229,560;68,463;-25,273;336,671;784,941;42,368;-122,998;-65,805;163,931;-89,210;149,921;-126,516;-210,692;11,314;-251,770;16,319;453,949;17,199;409,865;70,411;2472,022;-63,606;-142,052;-147,622;-36,880;215,395;103,617;70,324;-81,231;-146,363;-22,196;-7,091;171,600;2099,162;1650,762;31,279;471,298;-177,447;526,128;53,864;59,016;55,647;130,979;0,000;0,000;0,000;0,000;0,000;0,000
