;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-0,618;-24,154;-15,478;10,745;-25,228;-4,591;2326,395;1492,265;-0,868;2862,288;2752,657;10452,876;1709,585;1868,153;148,148;14,853;439,085;400,605;18,575;67,803;281,348;714,136;126,615;98,862;21,628;91,630;60,269;133,290;2349,162;12408,816;4882,960;1314,706;1342,573;3273,866;2597,067;1424,544;2852,108;2062,244;3189,386;1629,919;853,366;772,233;335,622;217,171;-19,014;5,373;-17,888;-1,662;0,960;166,944;-9,366;8131,455;-12,629;565,689;588,081;72,120;806,589;546,436;113,880;-11,048;-14,181;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;8,860;9,001;-0,644;-0,132;2,660;-1,148;-1,212;-0,000;-2,026;1,095;-0,751;-1,948;-0,911;-0,705;-0,002;-0,929;8,420;-0,376;-0,390;0,585;-0,000;-0,647;-0,199;-0,085;-0,418;-0,046;-0,156;-0,343;0,229;-0,828;0,516;-0,741;-0,186;-0,194;0,910;1,138;-0,050;-0,727;-0,214;-0,129;0,499;-0,399;-0,402;-0,059;-0,066;-0,190;-0,040;9,001;-0,463;-0,115;0,747;8,978;-0,303;3,243;-0,063;-0,737;1,408;-0,075;-0,028;-0,103;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;11,450;1445,719;-2,586;2074,692;1466,101;5770,322;-0,283;640,885;493,086;1921,828;39,680;1372,491;53,405;-1,225;262,361;91,368;254,252;51,766;-17,526;10,554;403,049;382,860;221,512;638,600;2,453;8,276;-0,953;-28,996;22,925;49,528;27,733;183,703;220,932;192,555;130,833;242,817;542,726;10,396;-13,652;42,037;4,271;288,870;-2,460;3,516;45,044;0,708;64,855;16,989;-11,455;851,427;5721,405;25,557;1456,441;30,691;319,914;232,139;-15,343;-7,163;5,311;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;22,052;-3,793;1,576;24,648;837,605;-0,041;-34,140;-4,528;23,989;-25,696;19,200;-3,078;-0,177;8,701;691,377;-4,443;92,446;0,694;-2,293;236,509;36,204;-4,361;-10,654;0,571;0,033;-10,836;-4,654;-10,065;-2,281;31,973;25,266;-16,963;-25,517;-35,938;-1,517;1,430;1,604;-4,531;-10,599;7,092;17,382;-1,790;12,852;107,396;155,697;726,459;-2,132;-0,053;22,367;13,529;0,382;9,336;0,889;27,914;3,762;-0,221;-1,724;-1,946;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;213,657;1500,463;4570,354;2866,804;-0,215;-4,984;163,642;48,372;30,936;3294,114;474,659;-0,930;26,247;62,362;3,039;56,076;-7,675;14,350;639,735;88,858;15,000;28,729;8,506;8,156;3,573;54,576;-11,546;-2,874;0,239;2,270;28,291;-8,683;37,924;10,811;1249,135;11,159;2,430;135,280;18,244;257,968;140,451;3,328;42,282;40,496;43,601;-22,619;176,626;1823,329;1423,659;12,671;630,349;-1,635;-4,937;5,337;4,404;3,846;202,049;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;198,534;202,653;617,951;-0,044;311,142;13,450;541,491;-7,555;213,072;-10,592;-0,190;-10,539;-15,620;-5,170;2,852;-1,765;-7,461;-1,520;-3,627;0,111;-2,145;-1,813;-7,339;-3,960;-16,707;-9,685;40,937;0,062;40,002;14,585;24,661;17,452;-3,790;38,697;-0,014;7,870;6,695;-6,510;12,245;-3,261;-0,920;1,523;-1,209;-0,729;2,904;-2,974;146,660;-3,589;-6,103;130,224;1,434;69,548;84,898;0,239;201,309;742,187;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1478,394;4881,875;2,708;407,542;5063,173;449,585;409,663;1207,381;12,654;0,803;369,488;212,680;258,299;134,050;17,698;20,960;609,212;277,480;175,185;1766,433;4,608;15,639;0,370;3,016;680,999;31,397;-29,383;22,744;1104,807;1043,450;1280,792;58,075;350,116;6,231;9,271;1301,093;426,590;757,467;161,031;20,507;278,047;81,799;465,323;129,983;5,582;665,761;2057,679;32,706;6914,498;13,525;226,620;113,548;-18,774;16,340;179,483;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2869,772;-0,383;281,055;230,712;1583,077;739,233;4973,704;1657,446;0,469;94,686;100,836;-10,014;95,443;68,319;356,976;646,584;88,486;10,451;34,170;32,789;37,774;240,706;51,516;27,897;220,332;-2,502;190,757;556,198;174,511;823,205;351,030;2472,097;17,888;7,927;145,405;109,231;245,953;137,505;5,875;49,111;45,954;40,564;88,099;226,810;2172,236;1453,164;127,316;635,020;9,962;396,483;109,063;93,394;-2,706;198,012;0,000;0,000;0,000;0,000;0,000;0,000
