;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-1,240;-22,642;-2,323;-29,340;4,447;42,439;2177,069;1538,169;-2,845;2977,749;2932,335;10654,476;1989,396;1825,566;125,187;19,080;640,725;645,321;50,340;132,190;257,154;592,479;108,692;113,125;35,156;168,973;63,596;192,786;2299,126;12199,750;4806,100;1190,363;1215,751;3087,261;2567,899;1408,189;2844,187;1884,408;3166,734;1631,024;880,608;635,061;368,791;208,353;-13,987;-8,145;-21,735;14,559;14,758;224,720;6,799;7898,614;11,269;509,989;571,871;59,735;898,706;569,224;126,566;-33,749;38,384;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;9,002;9,002;-1,547;-0,542;-1,194;-3,940;-3,311;-0,002;-3,869;0,480;-3,246;-5,473;-4,234;2,226;-0,007;0,110;9,002;-1,606;1,902;0,434;-2,034;1,080;-0,829;-0,348;-0,610;-0,182;-0,632;-0,289;-0,262;-0,949;1,419;-1,959;-0,630;1,723;0,431;0,447;-0,701;-3,262;-0,889;-0,528;2,619;-1,696;0,659;-0,239;-0,269;-0,788;-0,160;9,002;-1,998;-0,470;-0,223;9,002;-0,126;5,607;-0,258;-1,955;-0,694;-0,301;-0,112;-0,419;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;25,251;1399,887;22,971;1904,193;1409,584;5471,991;-1,285;663,823;533,723;1879,677;54,057;1394,576;95,005;-2,712;219,105;-1,811;203,182;63,071;76,348;148,945;440,618;388,342;215,332;626,150;3,735;6,127;9,191;-60,033;-7,820;79,694;-30,811;-21,628;218,258;187,712;67,585;345,497;549,121;-6,768;16,739;34,589;39,678;267,222;3,199;-20,174;26,161;0,372;79,714;61,104;-7,126;839,244;5609,446;85,791;1318,436;28,312;268,547;178,976;-33,828;1,069;25,003;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;2,620;-4,143;-52,021;4,337;821,924;-0,166;4,443;-28,073;91,688;0,848;14,953;8,914;-0,719;-2,991;690,460;-3,573;99,761;9,173;38,819;250,145;37,617;-1,035;-6,023;-2,175;-10,442;-24,564;-21,252;4,049;4,007;38,154;27,854;-36,501;-40,489;-63,720;25,058;-3,041;-0,100;-6,143;-18,674;12,535;10,134;-3,414;21,801;114,334;158,212;728,344;-15,216;3,802;-9,475;25,617;-7,090;21,179;4,472;32,676;8,134;1,358;-0,562;-4,555;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;244,831;1491,258;4523,219;2730,151;-0,955;1,717;136,712;-107,583;-74,787;3298,127;487,317;-2,821;64,979;75,043;6,744;53,852;35,103;58,675;626,419;79,894;13,344;11,672;14,178;20,784;14,245;68,039;-84,919;-10,139;19,047;-3,566;31,728;28,727;-17,199;-7,915;1215,189;15,443;-1,318;94,451;53,331;226,447;135,953;-5,301;41,295;34,793;30,538;-21,190;170,748;1842,679;1415,464;8,872;631,545;-5,527;-40,623;-38,503;10,978;20,646;219,608;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;215,062;256,977;581,353;-0,181;222,442;64,823;535,282;-2,137;266,851;37,843;-0,783;4,212;0,793;-33,479;2,500;-13,059;1,751;-10,526;-13,191;-1,790;7,877;-3,730;-2,227;12,278;-29,160;-3,978;46,801;-20,349;3,614;24,229;32,040;0,995;14,106;50,095;7,506;12,920;2,096;3,259;28,383;-5,454;-7,666;0,215;-3,490;0,346;-2,421;5,412;144,404;24,433;-4,565;143,953;-7,509;85,743;75,524;7,575;202,243;744,669;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1459,305;4576,050;2,812;227,263;4955,765;178,268;178,170;1299,371;76,123;0,630;365,545;93,823;287,272;150,906;-12,930;-28,963;647,530;258,771;170,678;1773,433;22,023;15,700;62,737;18,464;668,857;86,397;44,617;64,765;1116,952;927,434;1070,744;21,093;363,320;15,304;15,190;1236,075;465,713;710,232;156,529;-6,181;182,981;73,628;432,012;179,007;27,379;833,440;1912,220;54,104;6556,057;-3,125;310,315;23,233;-43,910;23,588;189,166;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2762,256;-1,852;368,285;164,247;1312,321;545,169;4894,891;1609,779;-3,175;82,022;67,122;2,860;110,128;68,272;371,177;633,806;89,713;-9,759;43,387;37,844;77,876;211,752;81,098;-74,423;214,208;11,805;57,476;582,047;145,144;643,593;389,281;2421,310;35,866;16,839;103,950;133,689;227,205;120,016;13,874;45,630;39,204;18,884;79,997;224,295;2193,641;1438,455;125,521;608,225;6,597;397,821;54,409;79,567;8,655;243,842;0,000;0,000;0,000;0,000;0,000;0,000
