;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-0,137;-24,570;-17,960;23,183;-30,789;-23,701;2186,371;1332,590;-0,916;2745,623;2420,319;10156,366;1675,327;1835,693;159,185;13,001;413,215;425,653;28,667;72,367;279,664;690,446;129,752;98,525;22,311;102,638;59,780;135,303;2282,140;11761,770;4620,167;1230,037;1297,193;3141,211;2585,457;1444,521;2879,158;1994,741;3073,351;1539,107;867,601;570,489;346,136;209,235;-14,889;4,220;-15,233;-2,390;-6,978;157,921;-10,193;7735,032;-8,675;566,489;577,477;72,412;738,290;507,988;112,003;-11,795;-19,273;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;9,001;9,001;-0,644;-0,132;1,830;-1,159;-1,999;-0,000;-2,892;0,410;1,060;-1,676;-0,911;-0,705;-0,002;-0,933;9,001;-0,376;-0,390;0,585;0,032;-0,647;-0,199;-0,085;-0,418;-0,046;-0,156;-0,343;0,616;-0,828;0,516;-0,741;-0,965;1,456;0,995;1,484;-0,019;-0,727;-0,214;-0,129;0,499;-0,399;-0,402;-0,059;-0,066;-0,190;-0,040;9,001;-0,463;-0,115;0,853;9,001;-0,303;2,843;-0,063;-0,737;1,408;-0,075;-0,028;-0,103;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;13,206;1426,872;-2,004;1930,211;1408,440;5148,080;-0,280;418,615;467,342;1506,186;18,714;1354,265;54,892;-1,214;254,523;88,381;249,852;51,777;-16,188;11,843;390,077;368,562;214,203;627,845;2,996;5,197;-5,322;-30,205;18,185;51,914;25,170;167,715;221,234;201,118;105,106;246,757;536,212;10,899;-13,324;37,005;6,223;279,998;-1,810;3,491;45,121;1,349;67,415;17,412;-10,393;818,207;5622,426;26,703;1273,453;28,582;316,545;231,148;-15,387;-6,766;5,486;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;22,052;-3,793;-4,240;21,454;838,187;-0,041;-26,462;2,802;37,479;-23,441;19,199;-3,078;-0,177;9,463;690,289;-4,443;92,446;0,694;-3,288;236,509;36,204;-4,361;-10,654;0,571;0,033;-10,836;-6,187;-10,048;-2,281;31,973;27,387;-17,736;-23,617;-43,067;-6,063;1,430;1,604;-4,531;-10,599;7,092;17,382;-1,790;12,852;107,396;155,697;726,459;-2,132;-0,053;15,652;14,061;0,382;9,766;0,889;27,914;3,762;-0,221;-1,724;-1,946;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;213,657;1462,167;4526,688;2793,105;-0,215;2,615;165,200;-15,380;7,334;3295,045;474,659;-0,930;26,109;62,611;3,039;56,076;-7,675;21,120;639,735;88,858;15,000;28,729;8,506;8,156;3,573;59,850;-11,450;-2,874;0,239;6,984;39,484;-14,058;0,127;12,824;1249,135;11,159;2,430;135,280;18,244;257,968;140,451;3,328;42,282;40,496;43,601;-22,619;176,626;1777,749;1421,970;12,671;620,774;-1,635;-4,937;5,337;4,404;3,846;202,049;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;200,455;204,811;518,381;-0,044;202,065;15,996;446,594;-0,163;213,117;-10,592;-0,190;-9,891;-15,727;-5,170;2,852;-1,765;-5,831;-1,520;-3,627;0,111;-2,145;-1,813;-7,339;-3,960;-19,636;-9,667;40,937;0,062;35,993;20,883;25,773;9,631;-2,145;38,697;-0,014;7,870;6,695;-6,510;12,245;-3,261;-0,920;1,523;-1,209;-0,729;2,904;-2,974;147,253;-3,068;-6,103;136,340;1,434;69,548;84,898;0,239;201,309;742,187;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1412,976;4526,087;3,000;434,744;4910,994;488,818;286,815;1181,080;6,750;1,049;368,713;205,205;252,812;132,612;21,824;33,457;606,900;276,931;176,429;1761,756;3,559;14,356;-1,384;41,383;654,938;37,910;-25,431;87,170;1108,729;1030,000;1207,515;63,656;341,886;12,281;8,473;1287,779;420,484;752,943;164,558;20,420;271,706;82,365;463,571;127,555;5,421;629,797;1922,664;36,375;6422,985;16,116;227,297;113,042;-20,284;13,408;182,888;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2772,969;-0,386;281,980;214,613;1409,000;733,352;4925,065;1650,559;-0,545;86,111;119,926;-9,838;98,211;69,311;333,370;637,021;86,538;11,107;35,447;32,042;37,569;232,048;76,026;29,741;225,621;-6,593;187,330;596,484;163,123;802,679;326,996;2453,563;19,738;9,741;135,662;114,054;245,330;140,818;7,375;45,737;46,384;40,713;95,317;228,253;2109,460;1410,737;127,651;610,851;11,231;391,102;109,957;90,578;-2,177;199,285;0,000;0,000;0,000;0,000;0,000;0,000
