;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-1,782;22,798;31,726;45,215;18,362;-27,678;2379,733;1490,742;-2,162;2893,886;2967,294;10512,100;1735,349;1916,407;166,076;16,285;488,540;445,980;52,775;81,386;234,249;656,511;179,874;142,522;48,389;83,104;64,308;207,695;2462,248;12729,210;5317,576;1420,166;1298,513;3410,766;2642,204;1441,325;2823,768;2098,661;3582,793;1787,021;887,794;933,241;440,830;223,763;-19,323;-17,003;-22,826;18,200;41,155;136,109;13,357;8297,441;37,805;471,222;494,011;51,770;868,031;517,278;118,995;-24,189;45,527;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;7,836;9,002;-1,722;-0,542;2,324;-2,861;-2,184;-0,002;-2,361;5,366;-5,921;-1,880;-2,784;2,443;-0,007;1,104;10,725;-1,615;1,610;-0,144;-1,661;-0,763;-0,829;-0,348;-0,636;-0,182;-0,632;-0,373;-0,272;0,430;1,691;-2,221;0,107;-3,154;-2,340;-0,136;-1,802;-2,205;-0,887;-0,528;2,815;-1,877;0,496;-0,239;-0,269;-0,788;-0,160;9,002;-0,996;-0,470;-1,007;9,374;-0,219;4,018;-0,258;-2,339;-1,059;-0,301;-0,112;-0,419;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;9,298;1500,236;6,880;2224,332;1507,723;6096,080;-1,250;979,987;501,640;2038,837;58,979;1447,236;58,672;-3,227;274,993;72,321;210,918;84,764;63,088;37,819;559,407;474,198;241,980;678,077;19,176;32,417;-13,658;27,267;27,834;52,627;14,597;138,112;291,932;228,445;197,453;259,203;576,969;2,682;3,855;38,442;29,643;335,309;4,243;-27,371;34,712;-1,185;69,984;32,525;6,334;908,008;6643,794;52,555;1591,307;21,638;350,046;215,011;-39,876;2,531;5,754;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;4,583;-4,143;-31,106;4,973;813,651;-0,166;-6,929;-16,681;66,329;-13,309;13,917;-1,480;-0,719;-12,488;661,220;-5,816;93,563;3,844;32,651;243,036;37,617;-1,035;-8,496;-2,175;-10,442;-23,156;42,520;13,759;7,963;42,619;13,950;-48,909;-62,971;-43,428;28,897;0,082;-0,801;-6,143;-11,958;-3,275;11,003;-3,414;21,801;114,334;158,212;728,344;-7,969;3,802;40,514;7,397;-5,852;22,067;4,472;25,048;4,815;1,358;-0,562;-4,555;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;241,210;1556,043;4678,856;2931,189;-0,884;76,768;122,135;110,241;-33,303;3438,467;496,820;-2,734;14,908;40,126;-18,934;52,749;35,816;33,215;685,356;87,007;8,365;27,345;13,264;15,212;-11,261;63,005;-33,218;-15,046;21,687;19,900;28,276;30,417;-33,538;33,579;1340,487;13,227;-1,509;147,836;18,269;253,961;143,547;-8,672;30,520;35,040;37,158;-17,511;182,113;1853,476;1497,038;-12,792;606,344;-3,669;-15,801;-58,881;5,427;19,039;217,673;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;220,743;264,024;613,759;-0,181;320,268;64,936;547,818;16,644;262,781;34,284;-0,783;18,446;20,456;-27,671;6,013;-22,193;-22,541;-21,432;-13,191;-1,790;7,152;-3,730;-2,227;12,644;3,972;-2,408;49,289;-12,861;61,640;20,656;28,103;-1,771;-16,767;60,855;5,397;12,920;5,914;2,238;23,334;-5,454;-7,666;0,215;-3,490;0,346;0,350;5,412;164,939;13,213;-9,383;125,233;-7,509;84,610;73,256;7,575;202,243;744,669;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1506,619;4972,087;2,048;384,071;5184,181;461,372;280,350;1265,457;22,568;-1,423;455,353;246,999;245,304;201,689;37,851;0,564;631,048;236,623;157,182;1825,622;15,822;5,374;42,579;-8,721;683,180;40,663;-33,339;7,334;1167,529;1042,873;1393,637;-34,634;353,042;25,507;6,755;1361,638;424,022;772,318;159,177;1,872;213,650;86,778;478,638;95,481;21,396;754,361;2230,709;23,692;6999,194;-11,946;269,358;135,099;-38,517;33,327;186,630;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;3011,785;-1,574;326,929;225,837;1574,605;684,585;5049,257;1656,921;-2,415;77,821;136,370;4,845;98,992;82,707;388,756;735,841;110,665;-0,943;63,126;39,308;76,120;227,820;38,718;12,180;184,229;4,038;197,181;583,713;176,170;765,782;433,455;2539,375;34,541;24,363;137,730;109,622;275,739;132,026;3,191;46,825;37,516;27,790;116,230;221,541;2259,569;1493,834;65,308;620,853;10,800;546,614;60,366;72,760;3,255;253,203;0,000;0,000;0,000;0,000;0,000;0,000
