;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 11;;;;;;;;;;;;23,270;5067,081;1158,632;13570,419;1012,060;1846,116;48,595;-34,636;620,465;586,597;205,175;142,942;388,850;598,489;4439,900;1099,749;83,391;160,812;15,154;295,167;-33,162;680,832;328,419;353,747;768,489;1305,837;1260,828;935,983;1697,716;1805,433;523,652;-395,971;-423,152;248,807;61,748;2555,600;314,587;736,220;1135,442;173,115;954,906;-52,324;227,572;1489,160;6095,388;253,858;3140,824;-586,925;1396,752;949,663;13,226;11,014;299,935;0,000;0,000;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;1,416;-1,696;-35,148;-6,340;7,655;3,777;-0,079;9,921;6,916;8,954;4,473;-5,323;2,362;-9,441;-7,150;0,258;8,557;-0,855;-3,270;-7,639;-31,497;-20,234;-10,459;1,011;-7,067;8,979;1,088;-13,042;-3,173;-2,379;-5,520;-3,601;3,109;4,311;3,190;-0,285;-0,811;-0,036;-0,474;-1,786;4,305;-1,158;-15,770;-5,403;-5,185;-1,754;-3,708;-10,836;-3,110;-2,194;1,496;6,866;0,000;0,000;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;6004,841;15044,426;4588,588;-19,180;564,444;23,428;3130,612;1641,267;628,181;1673,282;1562,446;3038,643;1500,737;334,376;223,844;525,006;243,039;442,387;388,231;1645,463;-89,847;1010,961;417,086;3869,909;-289,855;38,069;-291,625;3160,980;-21,651;-234,327;-23,749;1794,827;1920,913;213,595;-432,955;5,976;123,260;191,889;97,547;198,587;74,670;1120,795;1053,971;673,472;504,981;103,549;1428,313;567,710;57,958;353,090;-48,670;0,000;0,000;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;2872,676;1389,527;549,986;110,173;28,182;3969,616;2255,109;1376,957;1759,921;176,918;511,907;367,365;64,550;292,462;1124,885;-111,100;128,185;518,694;1816,187;3597,616;591,123;-31,973;1111,454;236,352;93,094;-127,446;598,441;685,620;-1,991;916,123;4533,023;525,113;440,798;-145,505;-107,688;-126,166;240,519;47,824;607,387;-102,894;1423,776;265,932;556,490;2516,632;143,343;392,366;270,091;-304,515;-124,518;-40,950;0,000;0,000;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;7030,734;1142,417;449,800;82,770;1008,853;2193,274;432,298;62,719;2484,347;4951,386;2705,252;676,748;82,584;1522,176;147,034;1542,822;162,656;7338,589;963,751;3475,836;5461,770;14862,660;6696,417;4434,649;16500,075;8167,343;1293,284;331,094;-492,971;1375,061;1186,284;1172,254;-60,092;337,125;538,130;-114,516;-248,169;503,093;104,973;5997,050;2472,706;1625,825;4426,041;375,097;6177,100;5167,404;433,168;249,659;-204,434;0,000;0,000;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;695,348;4135,918;-26,945;-196,421;1362,459;23,482;380,698;974,491;2111,613;202,395;258,737;178,283;157,106;-286,711;797,168;-126,122;1371,110;504,412;619,825;553,331;2072,351;3395,307;1178,230;12414,846;-62,650;693,262;119,315;-367,092;311,713;3472,989;38,822;-182,155;-81,654;21,937;-54,136;30,564;1906,213;590,652;590,217;-19,857;657,452;2097,780;65,706;96,093;1067,400;102,151;131,873;-254,772;0,000;0,000;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;941,009;25,063;163,760;15,889;291,829;102,383;90,881;3,514;57,131;90,917;-68,411;239,648;-158,528;139,834;13,652;1232,167;546,813;59,987;843,732;748,276;318,277;-36,176;735,723;-259,438;3678,311;-235,180;179,476;100,413;103,864;-49,417;153,919;-6,963;-6,284;171,561;6,401;31,787;39,730;2169,087;1579,161;30,855;468,353;71,229;-82,274;-143,036;74,954;-94,541;6,683;0,000;0,000;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;9,169;110,870;308,112;96,368;63,852;158,685;35,019;121,776;89,422;-64,677;-34,267;-27,292;-7,215;10,993;-49,291;107,905;-83,342;231,771;325,909;471,753;-120,550;902,203;68,989;773,905;-28,045;0,357;28,577;65,047;288,718;8,824;13,905;11,502;-20,106;37,360;215,278;844,400;-53,672;-115,840;57,565;-134,601;121,827;-198,379;24,640;28,692;32,591;37,812;0,000;0,000;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;23,578;4,625;2,903;-4,144;-8,367;-18,909;21,052;13,739;-1,149;13,266;1,487;1,184;-12,854;19,915;-2,491;-12,513;21,803;37,250;1,771;33,032;-6,612;-7,878;28,090;3,261;-8,310;3,893;-9,519;-14,229;-1,518;0,566;-5,849;2,647;-3,215;10,045;-6,690;48,638;-4,334;2,125;2,087;4,443;27,353;-6,897;-1,958;-2,163;-1,998;0,000;0,000;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;5063,729;2666,523;1757,722;-27,064;183,171;-59,965;-5,412;58,539;96,293;71,320;-66,204;-33,570;623,722;92,506;-61,544;82,259;461,980;918,733;658,368;1425,170;100,494;249,716;19,195;-74,341;351,368;-1,563;-54,756;29,959;-33,242;79,259;16,377;34,362;1388,033;2,708;292,447;352,084;-23,276;63,904;235,387;323,160;326,522;-213,482;52,743;25,494;0,000;0,000;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;1410,296;2844,426;176,847;447,388;183,797;46,660;22,835;-67,628;-23,394;-300,927;169,343;134,631;174,588;-164,751;190,682;732,319;1527,366;681,967;5207,889;-3,192;-74,242;102,196;-149,560;281,027;56,556;25,670;55,994;-35,908;107,561;156,388;954,434;1467,501;-43,600;227,907;184,098;14,053;283,076;159,063;318,149;410,867;-137,660;67,226;-31,776;0,000;0,000;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;9,752;27,902;-72,883;-141,761;-30,763;60,724;-36,234;58,168;56,542;-94,268;323,733;-12,257;124,089;206,065;450,888;-31,599;-112,228;136,377;32,405;27,269;-12,790;-110,876;73,667;-266,720;-67,336;-61,290;-1,634;-28,639;-41,685;-62,814;1708,234;-19,413;163,047;183,781;104,973;46,586;77,327;-136,298;21,435;-138,896;-12,978;46,959;0,000;0,000;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;-116,618;-81,515;7,929;59,330;48,534;121,227;-16,501;-31,597;38,340;-82,638;89,535;-143,781;206,688;258,603;-12,718;-84,280;1050,923;-259,114;-33,011;-25,802;-114,464;77,841;157,164;-52,342;36,336;-30,214;-18,328;67,124;170,955;52,339;-81,508;102,502;266,016;49,826;161,952;23,736;128,716;38,535;-123,176;43,892;32,741;0,000;0,000;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;3827,160;203,962;59,156;-9,905;64,278;45,082;111,801;-179,352;171,894;-69,585;226,999;-46,434;119,526;1509,998;-70,814;1339,233;2395,519;50,294;-0,918;3,250;125,034;41,271;-47,336;-96,352;-79,042;17,273;-20,653;25,725;-59,454;44,347;0,062;90,956;52,674;-134,618;24,223;51,583;-117,467;71,675;40,218;-89,670;0,000;0,000;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;205,457;219,955;-144,965;189,437;72,980;64,739;-39,773;331,298;43,990;221,388;-24,588;247,331;3021,729;188,082;2546,623;5236,392;-31,208;157,186;11,523;287,097;93,417;-45,965;-179,163;-124,364;160,071;15,442;-38,927;15,255;-17,789;130,367;129,664;61,682;80,481;99,643;74,749;-114,004;-75,695;77,990;-140,917;0,000;0,000;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;1595,947;49,806;627,910;187,633;164,237;140,825;3,375;-39,734;104,075;-166,170;131,508;-5,407;-20,693;585,303;144,986;-159,686;-173,796;-116,106;100,687;77,518;73,212;-43,492;-135,184;-92,349;176,896;347,878;-321,581;-112,189;29,400;622,461;-66,371;-186,346;-173,574;-51,164;132,018;28,867;-4,833;95,697;0,000;0,000;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,397;263,714;28,805;2,708;126,819;184,250;67,619;-21,454;-149,392;-107,625;77,292;45,481;316,998;211,631;-39,071;-47,551;-15,493;-61,050;20,839;38,193;84,741;-44,798;-92,237;61,667;56,204;-47,047;-22,855;47,042;488,017;-49,774;-12,773;53,302;82,539;135,878;36,215;13,598;-11,487;0,000;0,000;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;563,537;-22,733;-8,315;23,635;-317,041;71,309;135,720;93,599;123,607;-199,008;-159,826;85,019;-133,977;56,823;18,055;6,114;93,301;67,447;255,660;7,221;-29,720;-4,202;19,336;-106,812;-52,937;37,470;-344,256;140,235;27,176;220,985;27,968;83,697;175,952;11,136;12,518;22,093;0,000;0,000;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-50,217;12,903;110,649;-245,509;30,795;223,707;72,561;419,782;-33,156;-102,474;210,423;140,696;177,000;61,478;-57,460;290,869;352,672;284,643;203,369;68,726;54,662;-33,212;-112,012;-1,739;-30,224;-66,878;565,930;-27,650;450,034;12,496;159,262;256,545;86,433;79,321;92,474;0,000;0,000;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;397,134;66,455;5,996;17,294;-119,749;17,780;-0,079;-350,381;-153,597;-283,772;132,845;-70,276;-27,315;-39,692;-170,562;-114,972;-74,554;17,358;11,649;96,150;28,390;91,562;-16,325;-25,320;-71,596;-66,483;16,519;-302,982;-4,216;57,288;-166,417;25,885;-9,155;-25,536;0,000;0,000;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,466;115,128;147,996;-115,960;207,995;289,064;-34,233;-6,835;735,531;15,118;13,656;-64,597;-13,790;11,507;44,593;-59,593;2,962;-15,488;130,741;33,510;35,540;4,190;-35,926;51,349;3,044;-34,383;209,630;-50,956;235,329;28,210;82,399;6,229;-77,053;0,000;0,000;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174,328;1784,806;20,997;-132,516;1303,719;18,459;-50,654;-3,140;-119,463;37,469;-80,710;822,165;-59,746;83,005;34,521;112,091;-89,278;67,620;28,407;47,779;-95,449;-17,789;29,382;47,158;47,491;-161,997;33,736;-114,549;53,783;-19,559;-14,715;-102,980;0,000;0,000;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2157,531;833,775;1248,341;2263,743;2437,983;973,318;2352,201;1482,895;2831,384;1582,726;-181,659;828,437;228,002;-132,268;-50,475;-198,342;-3,087;148,870;85,542;382,995;-7,222;8236,839;-219,735;130,412;528,172;-42,332;127,107;291,934;-146,088;-208,390;-285,498;0,000;0,000;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;248,100;-17,409;868,567;309,873;52,621;216,334;276,816;1164,549;517,536;823,872;980,205;-176,811;3,645;217,456;-124,591;63,368;165,831;127,828;1,539;-89,634;1072,090;-196,926;208,604;1030,824;138,666;205,657;227,992;-68,258;-140,796;-158,392;0,000;0,000;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;220,324;361,346;-30,225;-163,982;1541,450;145,633;563,698;625,705;52,429;94,492;204,348;349,311;-109,749;96,410;63,802;32,730;-16,610;1,442;105,251;82,098;-76,217;2273,292;1068,678;58,509;15,690;-41,932;-110,140;-108,134;12,316;0,000;0,000;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5373,052;516,132;556,792;1981,995;-61,172;835,351;-150,621;-21,099;-139,725;32,730;178,930;67,050;38,477;129,392;-3,451;-79,428;373,924;27,128;456,870;43,985;185,467;1111,569;-65,967;60,434;160,823;-46,784;61,429;-117,949;0,000;0,000;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1912,956;1809,595;5190,705;378,529;1026,215;369,168;-24,917;992,258;993,117;446,554;-24,293;-172,962;152,557;94,777;-118,253;347,406;196,811;1035,122;346,149;253,825;1998,117;-207,877;793,346;649,582;67,988;-14,755;-213,701;0,000;0,000;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9507,261;12234,029;2869,799;406,775;-60,241;-171,667;165,224;680,655;294,315;-237,979;3,235;-124,688;-177,253;-123,229;650,925;214,907;2043,565;424,924;-141,719;1501,637;108,751;761,316;590,837;-47,600;154,339;159,515;0,000;0,000;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7857,388;455,545;102,224;89,401;-307,495;217,439;609,306;23,474;4,218;79,248;-74,750;13,238;-48,606;482,156;228,552;826,003;462,758;-53,711;153,601;-2,403;385,220;299,350;55,762;2,492;25,810;0,000;0,000;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-244,584;821,307;130,892;-474,168;121,734;1392,429;147,605;-102,696;180,947;3,884;-127,861;157,932;859,383;149,972;2194,080;484,166;516,207;8447,719;502,429;1258,506;2253,071;-51,980;130,084;-46,419;0,000;0,000;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-49,112;119,820;-44,620;372,124;-253,319;239,615;-8,943;-101,699;204,673;2,144;-339,226;99,805;32,660;1268,721;341,641;-12,429;86,034;59,793;480,546;303,433;66,920;-90,182;-256,219;0,000;0,000;0,000;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1819,964;-57,104;97,784;76,418;-130,355;121,655;13,588;15,610;130,874;8,129;23,672;-37,357;-204,830;507,251;-18,926;-103,672;-3,352;-88,957;-114,915;102,882;-110,487;-122,369;0,000;0,000;0,000;0,000;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-149,678;62,753;-71,418;-73,298;-7,141;-33,941;69,702;50,841;26,881;139,170;34,268;-269,863;-256,235;-184,036;-46,818;-46,527;-38,181;31,569;-7,559;-62,836;-45,928;0,000;0,000;0,000;0,000;0,000;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;68,320;-55,644;39,511;53,604;-46,695;-26,441;-17,403;-44,177;101,599;27,502;-222,441;-145,197;66,529;-72,876;4,931;-103,487;-39,194;-79,811;-30,299;-48,070;0,000;0,000;0,000;0,000;0,000;0,000
Router 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,264;112,817;-83,707;-26,489;-17,348;10,438;-33,627;-9,163;30,261;800,083;96,577;42,103;585,392;71,534;206,567;177,528;13,820;26,968;-90,605;0,000;0,000;0,000;0,000;0,000;0,000
Router 46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-110,130;-104,837;-80,192;-112,613;20,191;0,546;-41,657;141,050;227,201;-33,249;302,708;793,743;-3,550;233,192;117,231;114,236;24,610;-46,216;0,000;0,000;0,000;0,000;0,000;0,000
Router 47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;65,618;69,602;-73,179;-64,316;-69,939;20,416;202,703;-141,632;51,831;246,832;365,262;3,270;27,219;344,862;-84,799;-1,215;-51,490;0,000;0,000;0,000;0,000;0,000;0,000
Router 48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49,302;14,619;-13,324;-85,235;-112,780;4,387;-91,170;24,365;-55,733;-44,772;0,884;-108,110;23,518;1,240;-40,728;12,659;0,000;0,000;0,000;0,000;0,000;0,000
Router 49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-36,287;7,967;82,917;-64,884;3,375;-202,042;-18,852;2,908;47,888;19,724;-86,644;-64,116;-41,451;-14,766;22,287;0,000;0,000;0,000;0,000;0,000;0,000
Router 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-65,257;192,315;7,838;-21,304;-134,882;-91,916;90,020;14,440;-121,566;-83,511;-60,259;-53,461;-60,845;18,290;0,000;0,000;0,000;0,000;0,000;0,000
Router 51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;148,125;-2,587;-23,080;32,688;49,979;30,734;194,679;-16,701;-263,443;-80,918;-18,754;-11,457;-22,358;0,000;0,000;0,000;0,000;0,000;0,000
Router 52;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-38,981;-34,056;55,189;27,250;-62,790;80,452;-42,762;-155,657;25,351;7,982;-41,269;27,737;0,000;0,000;0,000;0,000;0,000;0,000
Router 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,646;327,219;-107,300;219,926;103,458;37,863;-75,233;165,708;-104,741;-9,392;41,499;0,000;0,000;0,000;0,000;0,000;0,000
Router 54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-98,973;-95,974;-3,031;69,363;-68,134;-191,700;13,523;-61,168;12,175;3,137;0,000;0,000;0,000;0,000;0,000;0,000
Router 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;864,034;37,886;755,455;-42,422;96,864;224,203;-24,256;-74,191;110,723;0,000;0,000;0,000;0,000;0,000;0,000
Router 56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83,984;1534,722;-42,736;364,748;142,405;51,663;-97,903;-251,068;0,000;0,000;0,000;0,000;0,000;0,000
Router 57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62,581;37,264;6,865;-213,930;-122,478;-22,308;-24,875;0,000;0,000;0,000;0,000;0,000;0,000
Router 58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62,698;-94,068;163,878;-83,171;-44,384;-181,793;0,000;0,000;0,000;0,000;0,000;0,000
Router 59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106,869;-28,979;22,658;-19,007;-3,187;0,000;0,000;0,000;0,000;0,000;0,000
Router 60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-26,774;44,795;-22,784;101,871;0,000;0,000;0,000;0,000;0,000;0,000
Router 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;98,197;22,928;69,856;0,000;0,000;0,000;0,000;0,000;0,000
Router 62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,105;31,683;0,000;0,000;0,000;0,000;0,000;0,000
Router 63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,784;0,000;0,000;0,000;0,000;0,000;0,000
Router 64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000
Router 65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000
Router 66;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 68;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
