;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;4,867;-197,373;-8,974;-286,393;-471,138;-208,881;1893,853;1392,990;-46,061;2584,560;2656,184;10522,116;1487,792;1467,536;157,403;44,759;444,653;23,538;26,759;-44,021;315,185;666,668;-71,881;258,233;-256,843;-210,877;167,163;332,181;2480,180;12547,945;5323,959;1513,580;1344,944;3542,146;2948,986;1456,527;3076,737;2214,571;3201,782;1414,992;727,509;914,923;371,502;-112,872;-46,856;-202,519;-12,235;135,787;20,561;74,722;-24,881;8195,302;-361,304;765,311;543,719;96,360;936,909;435,996;-98,319;-203,355;-500,551;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;16,105;6,923;-8,819;-6,054;18,263;-16,640;26,224;-0,054;-9,696;6,074;-22,375;-15,925;-23,404;-5,242;-0,239;-4,538;11,618;-5,446;-4,726;12,140;-3,896;16,953;10,305;-2,341;4,902;-0,636;-1,972;5,574;9,036;-7,549;-20,000;-6,743;2,188;10,591;4,288;-3,591;-8,315;-13,661;-1,171;-0,781;-0,128;-8,954;-6,923;5,939;-0,653;-1,091;-3,216;9,339;2,196;2,270;-22,285;4,027;-4,051;5,565;-7,232;-5,476;1,027;-0,295;-0,063;-6,234;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;-114,453;1675,993;42,025;1960,404;1573,968;6099,871;0,284;897,421;457,038;2227,894;-163,268;1543,508;-73,464;-12,568;494,886;187,397;250,745;335,281;132,859;24,349;618,245;454,977;375,118;753,216;-47,773;-5,424;37,703;-127,441;-177,259;-69,862;78,691;269,977;417,994;343,378;0,366;260,910;463,035;-338,971;-169,546;95,572;-50,476;138,787;135,158;-41,064;-73,591;64,590;-38,450;40,598;-107,056;853,935;6622,379;-4,023;1459,058;32,417;448,541;159,376;97,754;-92,950;-253,908;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;-33,306;4,425;-180,517;-20,286;992,776;-1,813;-140,368;88,940;-71,813;8,607;99,278;11,275;-2,728;166,885;625,998;3,599;136,511;128,901;49,520;263,479;44,131;7,492;-75,706;5,363;-1,242;-52,378;-28,542;45,589;-93,243;-28,614;-53,272;46,360;-80,717;-114,829;-145,408;66,426;1,943;-93,876;-23,036;45,740;-11,342;11,155;75,400;77,813;164,591;737,851;-82,891;-19,774;8,305;-126,733;-39,066;-48,178;-41,860;-53,900;21,345;3,381;-18,012;17,275;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;294,924;1684,356;4869,994;2931,382;4,470;3,390;364,452;-501,997;-11,296;3511,008;666,954;3,684;97,783;55,424;-68,912;118,353;2,477;-132,311;734,645;126,656;104,616;211,518;-186,823;31,417;-51,799;-234,665;75,566;-166,459;-43,303;-100,526;-226,771;-219,025;-347,666;-225,234;1329,112;-176,157;178,957;302,267;68,899;242,731;116,587;-42,529;172,949;38,669;0,952;-25,321;293,152;1871,313;1624,002;-111,773;366,070;-148,391;28,694;-75,862;13,226;-104,014;61,260;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;192,616;427,338;835,901;4,882;511,003;7,670;342,370;185,095;208,736;-22,963;-8,231;103,506;122,603;10,860;13,604;-37,442;15,413;130,472;59,921;-4,771;188,784;-31,208;-22,211;37,096;-509,822;-177,944;-125,318;-5,877;-58,610;70,636;-68,767;-49,782;-41,243;-124,407;-143,770;4,272;-119,008;52,796;-74,283;-34,387;5,742;24,374;-63,272;-8,192;-23,716;24,686;29,108;80,881;-51,511;10,267;-67,982;35,142;51,180;70,808;343,753;712,249;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1566,139;4857,133;13,788;690,653;5249,764;727,566;313,625;1228,233;13,463;-20,696;431,227;175,794;209,844;266,819;-80,595;76,418;379,164;259,971;352,991;1879,364;-22,342;-48,704;-283,158;-156,742;788,501;-105,094;77,979;338,340;1089,597;995,545;1313,234;6,103;279,304;-29,774;36,077;1509,677;375,167;806,306;-8,515;2,502;22,183;178,759;250,927;182,594;190,677;204,979;1976,542;-193,516;7056,331;-204,369;325,398;62,093;2,438;-26,501;182,635;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;3082,099;9,097;-108,827;355,225;1669,289;564,768;5007,530;1767,896;-0,107;-45,542;10,761;-79,650;56,944;-23,016;129,784;659,645;163,204;-56,495;107,977;-169,386;95,713;204,022;-506,002;96,470;-53,696;39,916;183,476;243,998;-3,840;731,378;57,124;2326,065;-262,868;114,980;247,646;110,056;285,392;-36,897;29,395;148,167;4,123;-153,222;70,201;290,426;1905,916;1638,499;-36,587;567,465;-87,312;463,562;-54,469;-27,154;16,753;130,895;0,000;0,000;0,000;0,000;0,000;0,000
