;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44;Router 45;Router 46;Router 47;Router 48;Router 49;Router 50;Router 51;Router 52;Router 53;Router 54;Router 55;Router 56;Router 57;Router 58;Router 59;Router 60;Router 61;Router 62;Router 63;Router 64;Router 65;Router 66;Router 67;Router 68;Router 69;Router 70
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;-42,008;-82,943;-185,623;-88,366;-66,715;-137,134;2218,952;1288,335;-16,777;2791,974;2781,141;10516,029;1297,768;1578,652;1,090;-123,687;214,760;123,251;-102,890;-33,893;136,329;618,255;184,548;75,468;142,301;71,033;139,112;91,291;2290,297;12744,787;5178,344;1446,064;1166,348;3399,876;2715,160;1349,163;2483,133;2073,706;3487,214;1932,092;573,518;666,010;284,829;174,892;2,553;-160,969;-118,648;-82,571;-167,308;72,441;-75,502;8114,295;-19,617;434,724;345,434;51,421;888,532;216,582;-23,219;-165,290;102,498;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;46,715;13,979;-3,104;1,671;-39,751;-26,544;46,275;-0,517;-48,414;-34,383;3,990;-20,935;0,620;-30,627;0,446;12,309;51,811;-14,996;-3,808;1,205;-37,961;43,334;30,194;-18,197;0,805;2,304;2,006;1,984;-62,847;-27,055;42,941;1,120;48,879;-30,458;-3,942;81,564;-61,046;-6,316;1,594;1,525;-31,485;2,951;-42,804;-8,613;-2,048;-2,688;7,970;19,047;5,957;-13,855;-78,490;56,616;-22,051;49,249;-17,559;-50,471;-13,898;-4,088;-7,123;7,939;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;18,581;1623,092;65,102;2140,581;1621,626;6172,325;13,846;898,809;356,475;2017,599;-176,825;1553,310;-33,069;-65,865;195,016;-53,126;192,794;-81,978;-57,069;5,242;500,863;564,967;305,831;733,268;24,166;-100,664;47,569;-191,302;-45,338;-101,702;128,260;260,292;72,283;127,225;-102,279;135,799;522,576;9,200;-59,173;-18,671;-139,020;218,746;23,668;10,074;-34,832;-55,997;86,551;25,075;-31,057;801,709;6801,985;-135,494;1575,721;39,256;307,009;129,521;-52,369;-21,738;-38,233;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;-13,024;-36,134;-49,036;-17,977;803,598;-7,955;-54,237;-164,502;-139,528;-109,476;31,843;-10,790;-10,147;-136,158;605,489;20,192;49,475;-89,873;-144,020;340,369;81,914;36,427;-57,623;-15,930;5,666;11,073;-110,745;-109,545;-125,654;57,653;66,994;-266,372;-121,450;-274,567;-144,280;-84,148;8,079;-11,062;-39,410;-9,734;-14,069;-36,314;13,119;104,397;161,039;748,493;14,235;-30,497;-54,726;42,189;-16,357;-44,447;-2,901;126,354;-37,869;-1,809;-44,500;-28,826;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;236,839;1563,107;4794,020;3016,120;11,445;79,728;290,694;-122,877;-38,996;3447,060;535,161;14,540;53,400;-38,177;-115,539;83,644;26,710;9,608;783,274;103,898;-55,144;-59,358;55,998;-67,367;17,885;-115,009;-73,383;-125,365;-52,527;-108,030;-78,262;-19,367;-234,801;-43,275;1253,855;-109,870;27,309;99,662;-104,684;187,763;129,321;-36,006;-5,200;60,378;29,152;-56,755;249,478;1862,020;1539,479;-5,444;585,863;-27,662;15,948;-139,645;-16,764;31,301;181,537;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;64,986;189,421;711,730;5,283;421,904;-86,025;588,689;24,985;250,819;68,607;-16,292;-146,066;-149,235;-69,617;-17,030;-33,482;-64,418;-21,967;11,098;11,306;22,004;-24,594;10,375;-45,491;55,466;-29,328;15,335;-10,819;-146,817;54,716;53,340;-125,034;-67,593;86,392;28,308;-11,472;-9,232;-20,811;59,975;-21,847;-1,397;-1,707;-12,117;-33,496;-38,734;-29,271;169,008;25,317;-24,001;2,944;-10,652;128,632;154,523;14,923;332,492;765,915;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;1614,187;5065,294;45,572;390,489;5196,690;441,698;165,943;1294,803;-73,996;54,281;340,469;36,360;320,513;72,441;-1,297;-100,822;699,970;388,377;130,269;1878,722;4,629;-49,294;49,137;-195,211;643,837;-99,658;1,476;14,582;956,311;937,606;1072,429;-131,917;360,639;-38,829;-20,344;1307,111;408,932;774,179;44,453;63,686;226,406;49,939;557,366;233,280;0,502;612,830;2182,884;-62,435;7125,466;-56,696;104,093;263,980;27,575;68,326;18,465;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;2949,026;19,821;185,386;269,187;1485,930;643,564;5253,888;1710,373;26,422;200,124;77,201;-9,668;78,452;12,670;394,315;680,401;148,370;-56,954;-75,262;153,600;21,191;218,866;-30,502;-155,373;128,937;-40,537;203,980;654,213;218,928;807,576;263,431;2570,648;-82,700;-38,445;63,127;5,841;178,525;60,195;7,730;-79,771;-7,376;90,612;49,702;275,506;2241,129;1641,477;61,297;573,961;-14,891;589,205;-14,325;117,361;62,485;150,107;0,000;0,000;0,000;0,000;0,000;0,000
