;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47669,870;37584,511;4033,472;12148,902;10206,518;1478,538;1733,000;3322,294;-28,579;163,004;441,067;3868,736;43828,076;4484,746;9334,286;4419,139;7961,327;6746,829;2197,551;9855,141;3185,907;2422,210;1623,415;1302,607;13604,880;8454,900;4385,665;7941,473;669,162;698,308;313,429;250,931;2894,794;8560,056;14832,019;5300,995;3241,154;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;48763,227;4714,256;16620,496;13735,836;1540,025;1966,966;3986,963;-95,163;60,365;135,109;2205,016;21393,903;1603,362;4165,214;1722,202;2706,747;5216,784;5952,970;1446,917;1012,215;1213,710;1425,401;529,410;3438,016;2289,232;5593,806;11444,068;803,687;688,519;1876,694;125,299;2039,377;3487,125;6527,617;3335,599;5543,996;0,000;0,000;0,000;0,000
Router 5;;;;;;4742,813;16404,296;13669,142;1579,901;1973,370;3973,779;-162,104;141,038;111,740;1985,719;18359,654;738,316;2013,029;35,625;1589,549;5238,973;5934,324;712,226;581,548;1119,137;1335,067;390,018;2203,777;2088,616;1099,418;3433,121;-42,988;119,653;1497,255;117,997;1885,088;3087,269;6218,306;3189,833;2329,709;0,000;0,000;0,000;0,000
Router 6;;;;;;;5,403;-201,725;74,561;27,053;-125,286;-48,151;24,249;-28,645;125,683;2537,065;49,887;124,534;47,853;-12,593;474,655;259,548;-20,262;122,044;56,839;164,914;15,703;325,293;173,651;89,290;165,786;25,516;-0,455;68,625;-19,779;52,480;359,477;1137,551;793,768;72,302;0,000;0,000;0,000;0,000
Router 7;;;;;;;;-165,257;-79,774;-75,507;-58,974;-70,704;75,488;-79,651;1169,210;5763,825;226,036;263,207;115,743;895,857;2834,923;3097,740;358,392;310,556;246,558;199,110;60,747;1338,406;-41,678;500,878;815,775;-20,873;116,368;699,055;41,197;216,449;714,272;1972,010;904,642;382,534;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-93,236;-15,325;19,587;-80,899;-73,878;169,132;355,697;3201,534;561,869;1589,298;-16,845;537,182;1178,668;1217,994;209,928;162,168;593,985;881,208;217,362;257,972;-38,991;63,550;1467,283;-98,774;114,741;427,661;30,685;8,622;377,080;1462,298;142,635;1313,911;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-15,245;24,154;27,537;-14,916;-34,178;7,583;664,984;-6,112;44,287;-119,453;168,271;161,599;4,660;18,151;42,079;25,724;54,304;71,533;-64,657;14,093;120,262;70,564;-0,850;-19,439;-48,559;39,542;106,022;176,932;352,897;13,510;-5,983;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-31,200;-23,763;6,210;31,837;-0,827;903,070;17,129;-32,506;89,709;-34,047;31,435;58,929;8,595;24,780;40,558;-16,966;-36,466;-6,259;823,364;110,090;280,537;-13,009;-0,054;7,163;-8,521;-41,028;287,118;224,233;310,550;179,445;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;7,007;-23,017;-23,953;209,918;2754,064;24,126;166,983;147,961;49,864;258,662;173,372;-29,791;-30,937;75,176;-15,301;18,283;-78,627;91,800;95,781;310,570;-10,027;-30,440;85,381;0,040;1288,075;293,922;419,697;205,854;205,797;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-7,734;0,079;60,216;12,313;-40,254;-103,640;22,073;58,926;-68,981;-47,043;20,192;-38,342;-22,963;-2,685;21,085;44,942;-21,451;-28,991;8,828;-17,702;-7,479;50,852;-35,875;-0,122;-29,682;12,021;-46,266;41,616;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;0,207;51,665;36,786;-66,228;-36,650;-23,707;-17,929;27,602;75,877;166,108;-38,338;4,523;21,977;-55,696;95,559;3,527;-75,651;-92,769;-3,011;-8,129;-3,259;15,094;-9,458;-113,998;-71,363;74,565;-7,768;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;87,678;-0,051;-80,226;-102,896;-45,097;37,112;27,629;-44,494;28,969;32,735;-25,567;34,096;-21,963;102,823;52,876;50,408;111,108;28,625;12,324;-50,960;-19,507;-10,033;49,764;-9,769;-57,729;43,761;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;4017,922;377,410;303,748;118,907;261,696;91,717;-96,404;395,219;75,089;-16,652;78,585;-8,244;128,867;95,686;-23,253;27,777;28,916;106,782;28,128;-57,150;-20,186;-24,703;58,570;53,774;54,455;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1373,012;3699,398;8637,171;2798,905;333,012;-130,624;3670,544;1515,566;227,784;143,925;112,750;4857,461;2325,250;674,230;1796,003;539,695;193,815;166,730;383,304;2965,441;10395,818;16370,491;6001,357;1071,563;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;21,787;3,712;29,313;110,252;85,359;38,239;104,162;-6,066;-78,511;61,825;700,337;80,762;714,261;873,501;-16,135;89,378;29,739;-5,840;72,241;9,832;593,195;111,900;95,590;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-26,253;61,935;364,972;230,934;113,006;81,549;-58,089;158,306;24,980;85,359;513,682;1409,446;1880,070;-30,784;22,340;266,397;48,739;267,654;555,299;2384,795;213,712;293,590;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;211,634;278,169;151,121;-105,431;120,169;72,526;-9,965;116,725;-26,692;1928,172;552,027;1518,669;14,535;145,961;12,319;4,105;78,840;1841,856;1571,370;746,128;817,682;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;56,829;350,032;296,031;-25,225;19,654;-47,576;17,259;496,301;1130,596;313,909;976,834;-47,719;110,593;-81,813;-42,406;72,657;1167,551;828,820;491,237;721,649;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;-66,783;307,935;-34,462;44,423;60,659;35,080;31,367;-41,630;88,168;13,332;38,971;-31,911;-58,985;-64,861;-18,104;0,024;74,380;-207,424;15,948;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;345,319;208,737;781,479;10,378;1,910;87,991;114,125;-19,571;30,412;63,930;-13,592;7,562;3,224;-132,671;-56,407;-82,152;-50,393;7,684;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;354,117;136,537;62,277;-40,980;2506,295;516,324;111,673;602,942;25,649;91,765;-26,822;133,729;336,497;1023,290;1354,014;584,758;393,625;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;18,853;105,322;14,311;128,314;27,099;177,084;343,449;-24,098;8,949;-32,843;-13,743;227,199;-41,839;955,776;32,720;263,999;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-16,990;-11,971;64,672;-12,438;59,750;122,259;32,218;14,366;-34,906;-39,626;-23,504;16,210;217,163;-7,380;30,495;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;1,903;-68,131;75,305;-56,303;-43,617;26,098;-12,532;-38,541;28,320;124,714;-34,142;-70,197;-65,089;17,507;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-87,978;385,296;50,034;29,826;33,966;-11,092;28,415;-44,102;53,793;95,094;-62,925;-11,405;69,678;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;799,418;555,002;1082,100;-19,118;44,858;46,051;170,877;-27,915;1405,007;2098,371;550,713;620,334;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13,800;245,884;-17,942;34,535;34,186;-72,366;28,165;241,841;58,940;5,891;54,834;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5573,321;-77,446;-25,472;1,429;-33,191;32,699;79,763;-111,902;-16,274;-33,579;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,154;14,979;-16,897;-71,303;-1,000;143,534;75,540;58,004;5592,453;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,785;-38,648;-16,546;-13,508;181,433;112,241;18,033;95,523;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-85,694;30,427;-18,939;-27,029;-56,352;22,578;68,973;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,146;-35,437;68,585;239,153;49,382;-3,782;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-63,978;79,950;-4,720;-46,263;-13,815;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-32,664;-73,879;-45,657;-24,220;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;267,822;-21,603;52,810;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-64,566;120,127;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-21,595;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
