;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;46917,317;36899,293;4003,832;11789,574;9996,921;1287,996;2408,428;2954,719;61,127;308,516;748,776;3720,007;43838,701;4231,115;9723,207;4388,404;7532,123;6825,753;2026,633;9901,573;3170,930;2168,711;1495,767;1345,929;13353,970;8433,108;4127,569;7682,355;525,560;1074,324;-99,395;490,922;3116,006;8538,659;14609,397;5260,978;2960,639;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;48509,622;4571,948;16626,586;13500,225;1339,097;2343,571;3736,748;1,470;156,356;433,925;1708,318;21316,072;1422,571;4122,460;1960,081;2318,444;5076,361;5482,552;1376,922;837,640;1180,339;1208,076;927,173;3287,182;1856,637;5490,898;11431,494;1184,385;1357,073;1460,438;21,170;2342,117;3562,635;6496,049;3601,488;5637,483;0,000;0,000;0,000;0,000
Router 5;;;;;;4573,866;16449,290;13389,949;1511,415;2454,078;3686,990;-42,817;81,948;-38,855;1686,603;17910,645;687,742;2055,669;350,414;1318,966;5263,485;5707,178;743,114;613,356;1274,837;1150,054;866,554;2171,925;1870,324;685,532;3578,229;212,028;246,816;1205,109;89,313;1975,516;3168,742;6025,459;3351,943;2348,929;0,000;0,000;0,000;0,000
Router 6;;;;;;;82,645;-212,790;-55,566;195,378;-152,889;-40,698;56,496;-131,525;100,531;2756,479;17,956;133,581;4,773;-47,276;311,860;242,940;97,228;183,281;109,751;79,269;-30,893;283,849;247,819;43,845;299,645;-25,055;125,833;71,596;6,436;104,561;488,272;1075,054;838,788;80,906;0,000;0,000;0,000;0,000
Router 7;;;;;;;;-280,244;152,977;61,669;48,659;24,101;84,073;-14,039;855,399;5595,088;303,000;98,785;105,617;790,331;3159,101;2922,004;395,635;242,724;410,004;148,293;173,835;1231,002;-230,069;444,535;895,955;-4,001;364,240;370,252;-10,422;436,512;731,290;2138,470;878,789;287,581;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-95,168;262,328;36,065;-29,420;-48,091;174,732;332,491;3037,647;603,198;1752,247;81,251;362,233;1196,612;1137,339;291,425;230,901;533,322;839,999;21,794;370,506;-292,229;139,031;1524,006;-71,912;171,220;409,327;-218,250;55,516;332,572;1555,258;338,432;1132,265;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-22,787;-24,761;20,499;-25,587;-10,610;-52,322;435,188;-47,210;-33,955;-32,120;133,200;124,260;-30,404;103,414;-18,797;-43,211;110,003;72,629;14,451;173,459;-25,844;-68,099;-29,612;-4,938;-70,326;92,571;237,260;89,203;181,066;-67,820;7,524;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-50,286;-35,785;6,612;-32,974;132,300;1274,937;-1,757;71,750;87,687;34,622;140,296;295,910;166,452;37,046;13,918;-75,998;-11,699;261,623;979,571;39,510;319,231;30,172;-33,252;38,523;-28,906;3,243;483,215;379,660;381,671;265,548;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-31,154;-10,345;-20,923;194,144;2325,993;-35,844;88,656;55,069;-127,398;332,685;179,773;34,814;-29,295;0,525;-44,479;103,436;-125,869;-51,499;119,533;288,973;15,093;-76,648;52,651;-10,965;1290,052;36,966;424,316;70,494;231,763;0,000;0,000;0,000;0,000
