;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;45700,839;31058,998;0,000;11206,884;5806,585;0,000;0,000;0,000;0,000;0,000;0,000;0,000;36838,281;0,000;8024,443;4391,413;0,000;0,000;2106,260;8155,233;0,000;0,000;0,000;0,000;8104,975;8396,572;0,000;5669,529;0,000;0,000;0,000;0,000;0,000;6921,825;14063,870;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;40318,986;0,000;15823,588;7656,982;0,000;0,000;0,000;0,000;0,000;0,000;0,000;17675,098;0,000;3879,601;1665,726;0,000;0,000;5568,197;1211,275;0,000;0,000;0,000;0,000;2119,081;2382,015;0,000;7865,734;0,000;0,000;0,000;0,000;0,000;2906,398;6116,679;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;0,000;13483,238;7723,960;0,000;0,000;0,000;0,000;0,000;0,000;0,000;14821,873;0,000;1622,619;308,049;0,000;0,000;4829,688;708,149;0,000;0,000;0,000;0,000;1308,009;1717,632;0,000;2351,388;0,000;0,000;0,000;0,000;0,000;2519,231;5150,550;0,000;0,000;0,000;0,000;0,000;0,000
Router 6;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 7;;;;;;;;-142,544;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4632,031;0,000;174,216;91,933;0,000;0,000;2906,548;195,504;0,000;0,000;0,000;0,000;800,040;-67,109;0,000;717,583;0,000;0,000;0,000;0,000;0,000;612,570;1978,381;0,000;0,000;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;1438,700;0,000;953,824;37,826;0,000;0,000;677,885;156,908;0,000;0,000;0,000;0,000;205,935;117,927;0,000;811,530;0,000;0,000;0,000;0,000;0,000;129,644;703,605;0,000;0,000;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
