;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47263,366;37033,907;4015,366;11610,832;10459,492;1476,042;1834,456;3291,679;150,660;140,538;583,077;3765,956;43551,304;5041,872;9102,641;4557,162;7789,205;6700,509;2100,670;10058,089;3378,155;2132,060;1594,291;1539,384;13608,129;8827,864;4489,887;7712,445;845,895;747,614;412,952;527,018;3136,500;8640,330;14860,957;5225,986;3106,122;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;48292,969;4741,096;16373,541;13689,080;1719,556;2136,415;3908,343;14,964;18,642;298,437;2026,593;21258,802;1870,675;4031,241;1791,164;2739,829;5175,098;5934,731;1467,114;858,696;1052,074;1197,641;669,257;3606,681;2496,173;5659,426;11316,715;1039,227;988,773;1903,805;327,820;1968,139;3526,183;6384,988;3162,196;5504,862;0,000;0,000;0,000;0,000
Router 5;;;;;;4701,255;16320,857;13675,644;1736,150;2130,118;3877,495;-11,243;3,802;246,464;1908,886;18164,651;1023,030;1863,427;141,878;1502,497;5171,023;5925,636;757,833;466,906;1079,724;1160,954;528,678;2400,453;2116,172;1066,525;3188,023;-33,919;279,947;1423,786;321,205;1970,070;3186,877;6190,504;3014,232;2203,055;0,000;0,000;0,000;0,000
Router 6;;;;;;;-28,166;-29,818;-14,807;-4,399;-28,477;-3,791;-0,873;22,888;108,191;2561,315;7,405;139,770;11,668;45,085;463,410;390,490;11,771;-9,293;72,264;135,196;30,442;180,651;226,874;100,216;184,840;-2,201;49,876;2,273;32,199;55,757;463,560;1062,780;599,147;69,472;0,000;0,000;0,000;0,000
Router 7;;;;;;;;32,777;8,049;-26,242;-36,408;1,466;-4,588;3,886;1104,257;5497,136;303,916;75,139;63,649;740,329;2626,096;3015,154;341,632;148,526;108,455;27,305;118,621;1260,821;25,598;464,498;706,090;16,446;158,043;622,636;62,537;272,844;798,662;1963,956;707,937;302,080;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-7,757;14,010;22,921;-1,043;-7,316;176,515;434,154;3297,893;669,830;1527,325;-20,318;562,592;1169,440;1256,106;229,033;269,059;751,280;929,579;269,822;399,980;56,907;131,777;1348,552;-15,594;29,120;489,450;157,618;158,105;396,819;1639,622;105,103;1251,413;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;4,122;4,738;-1,259;13,447;1,498;10,838;903,220;11,369;49,432;35,516;123,989;228,051;150,876;55,163;30,766;-1,034;1,189;23,571;62,474;29,332;75,990;118,424;-0,902;7,445;27,129;10,471;58,859;287,341;417,783;52,021;33,260;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-8,098;-1,106;0,288;-1,737;-6,207;801,936;7,946;-15,758;-12,540;1,332;87,057;81,974;0,534;-6,726;8,350;8,616;11,328;14,044;904,802;82,262;215,376;-0,882;5,841;30,393;3,687;-13,992;340,477;133,913;323,716;120,003;0,000;0,000;0,000;0,000
