;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47409,880;37232,497;4126,522;11911,426;10559,110;1541,697;1838,916;3315,942;183,285;140,131;578,270;3824,343;43621,815;4980,826;9208,515;4635,897;7858,143;6767,790;2279,445;10127,743;3547,279;2182,241;1494,372;1618,998;13693,949;8910,178;4654,172;8094,565;914,330;633,283;428,697;497,432;2972,705;8775,496;15015,923;5474,833;3167,202;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;48422,594;4824,832;16473,232;13843,451;1731,231;2121,297;3932,042;13,557;-2,824;294,389;2065,678;21321,212;1853,822;4241,966;1892,895;2853,470;5250,695;6059,780;1494,137;940,651;1106,210;1104,498;721,835;3576,048;2449,466;5707,757;11581,716;1167,965;883,766;1962,579;308,341;1950,453;3612,094;6356,365;3501,912;5488,580;0,000;0,000;0,000;0,000
Router 5;;;;;;4815,218;16547,259;13818,349;1778,657;2080,690;3928,778;-16,823;-19,236;243,812;1925,610;18407,921;1035,262;1978,576;217,575;1632,422;5267,579;6127,906;742,352;583,982;1155,529;1130,710;561,227;2397,662;2053,104;1051,282;3471,010;33,639;182,728;1455,333;313,957;1957,529;3187,919;6277,729;3400,281;2219,557;0,000;0,000;0,000;0,000
Router 6;;;;;;;36,559;-38,109;4,562;-3,646;-59,911;-1,010;-13,212;22,413;99,764;2688,365;3,150;86,186;2,816;38,873;525,450;404,978;37,555;14,018;89,482;125,146;39,081;193,370;210,299;50,740;155,032;-19,627;59,457;-5,826;30,683;39,633;488,821;1132,013;876,651;67,601;0,000;0,000;0,000;0,000
Router 7;;;;;;;;65,940;70,226;16,640;-30,593;-4,680;14,605;20,810;1127,006;5655,532;312,925;122,642;82,093;787,443;2772,377;3191,460;288,045;197,493;163,627;57,929;136,076;1422,408;7,420;382,779;752,262;19,438;160,507;715,213;56,350;251,002;768,701;1927,509;945,679;268,140;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-48,246;-46,910;16,572;7,440;-22,628;163,662;400,545;3379,616;693,400;1525,383;47,014;531,729;1358,664;1268,626;278,395;210,384;738,568;910,708;292,221;439,061;20,002;120,493;1413,926;-8,224;3,920;489,456;142,207;80,562;425,382;1639,517;177,019;1277,318;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-12,414;15,146;-5,735;11,030;6,666;22,027;949,102;4,597;42,529;8,488;103,157;229,050;131,266;94,610;33,815;-17,856;7,788;32,488;113,378;17,551;73,705;63,732;36,427;5,362;10,653;5,423;52,406;297,236;445,987;33,413;-12,187;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-36,864;-2,884;-0,296;-2,252;-17,442;796,588;27,266;-0,582;6,499;16,563;83,019;44,747;-10,386;-18,773;15,571;-0,540;19,964;26,183;907,332;119,282;286,492;27,536;14,665;42,963;-8,566;-12,354;350,589;101,222;352,210;157,911;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;7,718;2,895;1,463;216,099;2704,015;49,877;181,209;26,030;6,407;141,735;307,014;80,118;15,672;81,573;-2,839;13,010;49,104;-10,956;69,756;246,833;-16,493;-23,853;166,752;30,101;1391,934;256,294;433,530;284,705;185,422;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-1,483;-1,825;12,092;95,507;-5,961;3,516;12,643;16,050;7,707;9,495;9,519;0,744;0,336;-3,558;1,113;43,792;-8,120;10,171;16,584;-3,321;0,807;4,166;-2,879;5,684;36,118;43,451;0,287;2,980;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-1,410;17,060;48,139;-2,567;15,510;13,061;-13,971;38,098;24,327;5,471;-11,236;-2,236;0,842;-5,566;23,176;13,400;-1,282;-10,874;-1,579;-0,719;11,105;1,625;0,155;-1,933;-0,548;6,675;-7,121;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;94,727;224,868;16,562;12,614;-17,331;-14,541;4,984;-4,711;14,968;13,236;-20,630;-2,549;-5,034;-9,018;-0,757;3,786;12,210;-4,893;18,263;-7,104;-0,549;-12,582;51,567;74,616;24,753;-7,866;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;4062,523;503,039;287,354;119,557;104,459;36,037;-23,826;355,573;115,263;-3,379;-14,485;-5,890;217,202;-14,088;-2,255;-44,188;87,598;-9,987;50,493;13,280;1,224;0,443;67,032;23,658;-26,178;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1587,312;3644,612;8726,006;2859,685;298,369;111,556;3857,420;1624,048;71,668;134,951;310,239;5249,487;2526,738;1020,547;1962,784;759,648;124,626;103,579;505,220;3115,435;10612,360;16589,236;6162,971;749,723;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;19,323;57,603;9,199;230,533;90,340;183,487;2,821;19,384;-45,373;28,072;882,233;184,031;661,654;854,880;-24,228;1,870;16,115;6,904;38,173;127,648;640,236;213,098;198,533;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-74,330;-54,931;243,091;292,907;24,862;42,471;-32,789;113,920;68,085;-35,057;499,729;1454,424;1870,475;6,608;144,193;207,476;20,815;366,566;574,165;2117,233;174,064;353,420;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;265,017;220,554;88,773;98,412;9,947;-9,878;-17,250;95,556;187,585;2001,092;690,315;1469,826;-0,537;171,905;62,250;14,210;30,097;1834,986;1506,285;767,466;767,061;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;114,513;211,761;296,964;60,198;-31,171;9,583;-5,574;467,978;1100,575;291,509;1097,264;-46,277;120,084;31,631;12,294;41,990;1205,692;772,643;446,404;766,593;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;14,017;314,844;52,307;4,465;31,354;-1,419;144,715;-5,678;19,561;9,064;-1,051;11,927;9,254;12,366;-14,129;38,004;46,935;31,394;-42,103;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;293,023;93,247;886,822;12,738;29,245;177,226;-29,494;-54,064;-19,200;-1,474;8,228;-16,142;8,307;-20,284;4,201;-70,697;-31,532;-8,098;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;391,447;71,989;2,132;40,336;2510,725;793,939;244,150;618,841;2,817;53,569;25,145;124,452;306,861;1258,344;1263,796;530,128;363,386;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;21,462;109,461;17,779;150,179;74,168;117,099;320,397;5,921;-19,361;2,814;7,988;199,556;173,985;982,824;39,840;188,137;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-13,253;11,752;15,342;11,631;-3,643;-18,653;7,737;-4,156;-1,650;-4,900;9,944;24,846;39,105;35,126;13,578;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;11,312;-23,289;5,971;-7,768;-24,958;7,094;-3,551;2,452;5,048;2,957;32,530;46,830;38,781;-4,642;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;38,947;479,263;81,032;128,824;60,870;-3,257;15,368;-1,900;-1,801;177,960;57,178;-0,292;32,234;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;892,840;620,806;1077,920;62,783;41,330;51,191;1,188;-38,641;1571,334;2126,168;420,270;438,293;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;118,470;304,766;44,608;55,913;-18,465;-1,677;-3,868;205,352;200,224;89,677;191,472;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5747,047;57,326;4,100;15,391;-18,421;-4,879;187,056;54,745;12,907;2,308;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165,635;-24,722;-12,541;-17,168;-17,707;255,314;30,945;-2,743;5662,072;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,098;-12,683;-9,576;-4,859;182,458;106,504;83,562;86,351;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-22,385;0,936;-29,256;-41,076;19,545;9,430;-31,064;0,000;0,000;0,000;0,000
