;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47271,362;36932,004;3833,754;11420,742;10170,763;1642,204;1832,215;3209,539;188,995;130,664;543,473;3828,119;43161,440;5007,833;8849,713;4574,896;7784,626;6545,772;2146,000;9612,966;3409,708;2233,849;1446,776;1633,007;13007,912;8648,436;4478,984;7820,422;852,601;650,175;410,393;472,329;2893,485;8451,471;14491,692;5076,344;3257,735;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;48353,417;4635,127;16482,552;13580,243;1812,409;2024,025;3836,009;18,034;11,727;317,006;1969,935;20849,875;2084,111;4084,699;1990,644;2777,858;5019,281;5853,030;1311,319;699,530;1071,860;1136,030;730,756;3629,853;2419,126;5686,538;11374,024;1156,407;893,001;1921,694;275,531;1778,439;3607,797;6585,335;3128,128;5534,291;0,000;0,000;0,000;0,000
Router 5;;;;;;4659,487;16343,642;13556,234;1856,689;1988,972;3960,589;-19,292;-31,309;252,509;1915,332;18064,747;1122,706;1829,573;230,768;1634,574;5030,693;5754,789;553,838;356,219;1044,774;1167,900;556,031;2204,006;1968,407;1284,518;3464,423;15,723;216,408;1408,252;317,808;1875,611;3191,627;6128,246;3052,983;2301,553;0,000;0,000;0,000;0,000
Router 6;;;;;;;-81,758;-77,709;9,668;-16,583;-77,931;-2,738;-12,518;15,109;87,645;2377,853;50,963;108,548;0,460;97,932;492,787;384,192;-34,314;-55,235;61,603;118,422;47,481;175,847;188,875;46,588;91,304;-21,910;52,763;-29,651;33,639;-0,486;421,850;1003,100;583,597;62,835;0,000;0,000;0,000;0,000
Router 7;;;;;;;;-79,932;91,056;21,895;-79,225;3,651;16,984;17,763;1099,040;5470,172;279,141;148,657;53,290;684,408;2473,840;2913,693;211,959;202,196;136,641;38,817;158,112;1458,015;-95,920;655,723;962,287;13,185;162,694;677,365;70,976;248,667;674,471;2116,927;723,481;358,237;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-17,511;-72,931;-52,258;-5,167;-24,232;158,873;367,703;2678,161;714,188;1470,248;-68,136;671,021;1183,550;1220,250;227,495;225,534;683,086;897,413;287,189;257,942;111,720;76,614;1400,465;-2,049;1,422;452,200;154,971;45,072;296,526;1408,288;121,411;1346,691;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-11,727;18,594;-5,686;11,259;8,026;35,978;1054,610;-13,677;61,031;55,196;118,761;215,215;121,279;60,022;37,018;-24,518;5,140;31,791;165,226;50,387;47,610;63,794;33,469;7,335;15,996;5,732;60,272;259,871;409,733;35,152;-10,922;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-50,644;-2,399;0,253;-2,547;-23,398;742,536;-5,619;8,284;-10,279;18,856;67,015;43,170;51,300;-5,262;14,724;-4,060;23,636;57,674;879,787;136,892;264,377;29,820;15,903;34,430;-9,635;-0,923;351,504;92,711;318,447;122,050;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;2,904;2,031;1,368;224,276;2518,017;62,644;212,752;89,246;-42,122;147,219;301,545;90,036;6,082;86,663;9,585;9,580;-22,108;-102,422;94,171;189,034;-20,811;-21,293;158,842;28,867;1317,198;257,608;364,962;299,393;130,817;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-1,483;-1,825;5,752;96,394;-5,253;4,158;11,237;13,446;6,658;18,961;12,318;-1,178;1,411;-3,524;1,113;37,550;-11,087;9,678;17,549;-3,321;0,807;5,232;-2,879;4,591;32,836;51,715;4,134;2,826;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-1,410;17,613;49,824;-1,679;2,990;12,079;-8,803;32,035;27,491;11,264;-9,816;-2,782;0,880;-5,566;9,894;7,685;-1,426;-10,977;-1,579;-0,719;10,985;1,625;-0,431;1,241;7,545;7,077;-6,861;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;97,968;201,148;17,690;5,698;-21,804;-18,314;-2,559;-16,406;37,984;19,731;-19,746;-2,402;-5,034;3,758;-14,216;1,583;13,348;-4,893;18,263;-5,867;-0,549;-15,078;75,184;73,553;33,765;-11,755;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;3966,732;491,218;274,466;143,920;164,214;43,977;29,094;370,593;103,562;10,193;-11,074;0,001;287,235;2,886;-5,901;24,219;84,117;-10,260;49,999;15,423;26,393;-46,932;43,776;3,620;-12,877;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1423,637;3120,994;8812,432;2783,139;376,768;-128,876;3560,898;1587,303;167,624;108,573;318,875;5130,110;2576,015;880,727;1988,361;669,807;158,830;16,096;548,452;3169,280;10169,801;15881,361;5567,663;891,501;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-26,431;55,392;93,306;193,813;50,005;159,140;3,994;1,843;-48,419;29,350;802,252;246,259;595,021;811,202;-19,349;12,000;33,288;0,336;45,403;151,842;683,980;201,484;187,375;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-188,133;-64,364;213,687;199,471;106,751;57,952;11,432;109,282;52,640;-88,755;390,134;1223,777;1688,008;-5,230;129,862;201,971;15,898;369,726;508,202;1565,646;165,756;425,232;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;194,650;249,931;85,391;50,366;30,308;-17,325;-32,861;103,640;215,593;2078,516;687,042;1375,687;3,460;164,879;74,340;9,534;91,598;1835,903;1492,130;755,757;739,982;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;175,070;114,973;243,413;53,655;-21,759;28,730;-4,201;469,402;1171,188;349,107;1090,250;-62,130;126,097;-1,104;12,039;-0,600;1183,099;717,296;525,915;699,725;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;19,387;299,586;33,103;-26,058;41,712;-17,180;192,591;27,821;39,905;23,349;3,057;12,486;14,016;3,278;-23,649;98,654;-4,208;72,719;-28,052;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;311,494;78,495;889,543;18,798;26,402;87,170;-66,691;2,636;96,252;14,098;-10,307;-31,971;9,452;-35,920;-59,195;-65,449;-100,550;57,752;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;292,274;10,229;33,411;27,118;1947,256;221,666;314,130;660,043;-10,172;59,829;20,402;125,937;303,077;745,722;1290,357;454,636;375,219;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;28,586;111,128;15,608;102,103;71,181;111,908;344,379;8,201;-17,694;12,313;8,413;174,825;90,405;851,793;-3,386;186,507;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-9,345;11,108;-25,212;35,152;11,738;-7,223;9,444;-3,989;-8,771;-5,075;3,319;-14,131;30,965;26,547;13,989;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;10,822;-9,979;11,211;-10,267;-20,128;7,448;-3,237;2,010;4,243;2,537;-24,164;11,978;48,945;-2,315;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;48,562;478,746;86,650;129,099;60,870;-3,257;14,136;-1,900;-3,761;140,681;52,243;3,728;30,672;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;740,527;571,190;931,607;58,152;19,587;20,231;-3,258;-43,846;1583,333;2078,363;371,626;404,875;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51,947;302,675;52,061;45,669;-21,521;1,421;-57,803;230,938;150,468;144,874;203,154;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5279,054;50,245;9,631;33,929;-26,135;37,176;195,537;196,146;66,384;32,743;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;165,799;-18,032;11,768;-36,671;41,238;329,335;189,248;21,345;5563,055;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20,098;-10,898;-9,576;-5,872;170,613;117,066;80,293;81,673;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23,778;0,936;-31,310;-43,044;8,187;9,267;-30,632;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,160;8,242;-38,573;-33,420;-6,863;-19,297;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,365;-32,026;28,044;20,893;-3,354;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,730;25,763;-27,107;49,564;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,217;-103,339;32,246;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-66,136;20,441;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-152,506;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
