;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47523,881;37356,932;4374,264;11688,817;10560,938;1224,835;1287,549;2428,412;-434,913;-480,774;71,291;3033,663;44247,377;4281,562;8774,997;4198,656;7156,583;6594,119;1929,321;9549,841;3101,463;1507,762;1690,915;896,073;13432,720;8588,737;4254,441;7425,246;-92,633;157,438;159,724;84,756;2600,211;8801,807;14975,146;4770,304;2653,780;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;49350,071;4676,059;16938,447;13855,946;1596,744;1583,755;3342,724;-371,697;-447,362;-412,841;1512,521;21274,729;1218,040;3499,549;1663,024;2215,957;5212,827;5850,327;429,865;981,123;668,105;1358,781;57,386;2994,801;1858,930;5588,108;11495,319;550,814;760,951;2057,192;129,391;1818,904;3939,999;6142,425;3087,963;5338,859;0,000;0,000;0,000;0,000
Router 5;;;;;;4583,335;16788,240;14059,978;1607,189;1657,259;3340,403;-622,512;-396,193;-206,561;1535,366;18167,419;498,087;1840,760;-83,590;1315,625;5335,543;5887,828;-197,717;569,320;673,614;1255,794;65,490;1825,045;1649,645;1077,353;3263,677;-617,367;148,734;1283,829;132,687;1876,980;3350,218;6052,745;3063,616;1894,861;0,000;0,000;0,000;0,000
Router 6;;;;;;;-114,136;-170,608;97,099;-33,122;-123,595;-88,110;15,403;-48,704;70,409;2758,371;-22,094;162,085;97,596;-248,132;518,703;336,173;-0,889;70,087;107,143;33,335;-64,462;331,610;260,487;169,917;132,329;-81,619;53,995;16,701;-50,053;69,550;617,133;1140,495;850,565;45,682;0,000;0,000;0,000;0,000
Router 7;;;;;;;;-53,561;-345,160;-293,386;-412,783;-146,241;-63,430;-254,678;939,353;5463,161;79,023;-164,368;-159,420;853,916;2701,407;3067,762;65,852;343,001;239,179;124,351;107,771;1001,656;-310,388;644,322;673,927;-35,459;161,937;625,136;-102,064;137,626;665,937;1702,298;933,912;71,560;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;44,263;-183,723;-25,552;-175,769;-158,434;96,675;426,789;3473,735;427,878;1493,944;-27,119;545,035;1438,333;1092,443;-61,405;302,164;547,689;852,177;-15,402;352,082;-122,784;-157,000;1246,848;-152,340;91,247;410,092;359,682;287,439;386,569;1554,355;-75,131;1072,292;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-25,780;55,773;-5,437;-66,162;-57,542;-82,951;644,686;66,001;20,850;-42,433;194,535;269,839;132,959;85,686;-13,364;-48,462;-117,311;-4,121;4,944;-15,271;81,745;119,974;24,422;-86,966;25,312;12,939;79,774;178,838;479,062;89,422;-39,790;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-38,692;-0,856;-5,910;28,224;-100,529;496,723;-221,001;-104,888;219,212;-57,073;34,542;57,041;-18,881;95,608;-31,038;-0,565;-20,986;-205,614;976,318;77,349;273,573;-77,253;48,947;-5,482;14,276;-55,305;235,971;-82,095;428,240;200,313;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-12,091;-30,965;-15,749;70,312;2436,277;-46,425;83,247;-101,847;-135,308;73,614;72,799;-147,703;-95,168;-62,858;11,510;80,221;-56,016;47,418;104,520;142,365;-70,440;-143,531;83,463;4,526;1291,498;100,023;592,412;114,266;93,868;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-1,532;47,110;11,440;13,398;50,261;-214,528;94,720;-230,932;-50,208;15,870;-125,805;-22,049;-25,893;38,876;25,914;-67,767;-28,112;51,111;93,070;34,591;-24,292;-79,313;-39,540;52,483;27,011;94,188;-28,732;81,948;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-64,435;-16,051;-457,649;-54,856;-143,354;-40,795;34,667;-33,023;-30,549;-58,039;23,943;64,935;-8,340;22,497;-88,255;11,717;-105,259;-139,819;-34,677;63,214;54,641;11,260;-46,935;-121,349;-91,853;-103,721;9,214;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;23,615;-70,859;-81,969;-67,366;150,834;-166,903;-10,613;89,316;84,949;-112,861;-15,116;-0,225;-71,335;-19,996;45,030;9,037;-153,267;1,294;-38,447;-120,972;13,370;-36,890;-3,921;-41,823;-22,093;-147,738;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;3499,965;460,264;269,275;-49,568;83,912;-20,433;-157,905;175,222;78,854;-34,215;-33,077;-95,634;138,148;-6,157;-194,952;-148,364;33,879;28,864;-1,282;-105,276;44,469;-173,888;-382,703;-109,856;-28,212;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;881,990;3558,748;8875,900;2453,611;241,685;-115,067;3283,535;1324,382;-353,154;346,439;-108,894;4794,830;2253,098;712,103;1732,295;110,942;-275,305;63,837;516,280;2805,799;10859,679;16415,382;5927,165;894,703;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-15,744;-172,478;1,364;-147,789;-92,942;-105,642;142,549;-105,384;-87,675;50,408;649,947;138,483;544,893;598,220;12,277;32,913;-34,042;-125,560;-45,866;-134,427;461,081;-24,947;-44,490;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-296,404;-97,735;98,939;-1,483;-229,269;258,332;-111,484;86,871;156,985;-95,719;402,830;1219,704;1548,447;-114,532;76,057;160,205;-5,919;366,819;596,011;2321,111;54,835;-4,380;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;130,015;127,109;-19,510;-167,807;7,981;-20,645;-198,419;15,214;-123,311;1803,766;642,541;1216,209;-0,883;150,546;139,047;-3,630;-81,030;1858,288;1249,860;833,008;536,966;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;-67,844;157,333;-48,612;52,299;-137,724;-26,966;-108,447;16,355;1004,098;77,715;860,478;-205,120;63,721;29,269;-168,817;52,833;1002,968;540,089;445,586;680,191;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;-31,154;241,417;61,896;84,143;-9,253;-77,779;-156,928;-329,588;-11,672;-50,110;53,437;-38,295;-53,671;-196,096;155,603;-55,450;-144,716;-252,661;-237,242;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;239,050;177,694;617,979;-110,010;-189,685;-14,748;-41,154;218,372;-105,858;-52,335;81,155;-104,747;-24,591;-159,787;-37,983;-158,082;-89,584;-376,354;0,000;0,000;0,000;0,000
