;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47125,603;37011,130;3928,192;11992,633;10213,405;1134,001;2087,417;3205,716;0,000;0,000;145,826;3767,395;43676,366;4397,962;9256,761;4697,587;7880,903;6622,353;2184,159;9751,588;3638,722;2138,132;1477,907;1487,709;13456,994;8423,086;4255,320;7722,186;198,344;754,519;121,682;-23,576;2749,402;8280,872;15105,677;5505,092;3305,496;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;48784,373;4607,968;16576,361;13746,179;1489,117;2075,371;4024,291;0,000;0,000;176,029;1970,018;21221,059;1537,294;4168,383;2058,227;2810,929;5029,653;6117,617;1266,089;1357,362;1332,799;990,440;776,864;3359,035;2161,460;5476,149;11057,149;902,109;865,464;1574,966;53,227;2010,413;3215,703;6543,868;3247,310;5688,796;0,000;0,000;0,000;0,000
Router 5;;;;;;4740,309;16490,112;13472,130;1600,873;2121,192;3858,261;0,000;0,000;114,375;1950,473;18151,974;798,029;1832,367;288,345;1730,090;4963,886;5949,195;561,714;803,271;1312,749;1323,386;695,434;2118,979;2008,592;1224,087;3129,188;-91,912;381,328;1247,935;95,062;1948,836;2623,603;6501,253;3119,196;2534,070;0,000;0,000;0,000;0,000
Router 6;;;;;;;-63,116;-146,918;9,104;122,460;-120,219;0,000;0,000;-71,369;176,358;2488,965;-34,740;-88,990;23,454;36,736;422,763;276,679;-39,488;113,080;111,035;11,612;7,620;305,939;163,692;70,362;159,954;47,624;59,153;182,301;34,389;-9,996;515,130;996,701;822,181;61,794;0,000;0,000;0,000;0,000
Router 7;;;;;;;;-369,669;-114,742;-162,599;-149,053;0,000;0,000;-20,981;1078,985;5585,910;206,109;283,824;155,239;918,276;2648,025;3060,757;254,297;301,609;443,162;154,640;110,191;1416,495;35,656;333,822;625,246;-134,374;172,354;569,194;-127,357;191,577;583,400;2083,791;748,850;366,640;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;-41,795;117,312;70,628;0,000;0,000;126,450;287,260;2877,258;491,399;1489,255;44,250;422,632;1126,434;1220,244;206,254;234,902;460,841;917,037;284,446;344,974;-232,719;345,633;1428,419;-77,646;177,578;411,491;22,663;-33,497;248,178;1587,914;56,574;1307,948;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-20,645;31,723;0,000;0,000;-75,992;16,870;669,324;16,717;-61,471;-81,281;93,920;126,077;-9,325;48,635;72,038;-14,407;86,461;5,898;-92,233;-46,799;14,296;32,231;-0,147;-32,438;-38,119;42,516;140,965;111,975;401,705;24,111;-20,297;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-26,274;0,000;0,000;30,023;168,596;849,114;9,558;-142,656;-74,418;56,838;24,023;125,367;74,446;113,077;85,775;-65,063;-25,033;271,246;952,561;61,128;175,483;-10,753;90,122;28,980;16,000;9,904;306,323;242,290;316,308;208,948;0,000;0,000;0,000;0,000
