;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 11;;;;;;;;;;;;-5,028;-5,629;-26,610;178,965;2746,157;1,486;188,910;-54,458;30,372;224,358;240,506;10,028;44,854;90,145;50,163;19,005;-29,148;43,988;119,498;269,114;-12,041;-16,783;154,552;28,503;1399,947;197,251;479,305;218,923;201,808;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;2,521;9,408;8,302;108,297;16,803;18,025;37,372;-14,127;-12,307;5,542;-3,587;-15,909;8,390;19,350;-4,778;-15,297;12,820;-14,952;5,319;-15,203;3,344;-19,485;-3,284;-26,854;86,193;50,947;36,182;27,213;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-2,637;34,006;-43,034;33,369;57,648;-2,947;20,781;43,614;6,453;-29,235;-4,244;24,758;-21,578;1,772;81,707;-68,092;-8,348;-54,424;-4,079;7,712;39,928;-0,803;-25,219;4,710;-7,849;-20,550;-37,309;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;121,189;207,680;18,024;-22,628;56,482;-12,086;-10,536;-36,034;0,105;-13,685;-35,877;-12,497;1,685;61,027;-3,215;7,330;29,544;-8,413;12,721;-9,106;-6,814;-19,952;73,396;6,455;4,769;-2,675;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;4062,360;510,021;327,465;102,400;57,673;-35,579;-55,505;343,134;85,738;14,721;-0,195;-5,869;174,226;43,904;-17,484;-22,373;46,094;-3,644;39,458;4,401;24,772;-28,562;-18,144;22,454;21,727;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1560,017;3855,958;8686,396;2707,103;308,945;201,536;3824,794;1446,480;9,136;120,024;310,624;5147,586;2322,505;871,102;1823,785;746,807;43,634;134,404;493,175;3040,567;10727,702;16734,403;6189,458;835,917;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-18,257;-34,105;-34,205;118,548;169,078;172,723;27,272;3,468;-10,646;60,822;897,502;212,742;644,446;767,020;-9,887;20,959;0,298;-20,679;44,376;81,754;748,978;205,266;135,189;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-76,029;-40,538;202,779;257,438;8,640;32,399;28,766;101,670;70,230;88,306;462,594;1502,802;1908,368;6,686;92,551;246,520;13,818;356,551;659,400;2409,998;116,717;348,140;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;130,561;273,489;173,794;14,807;68,208;-5,342;-84,935;9,048;63,882;1905,943;633,111;1391,062;-18,810;127,074;111,622;16,069;-18,499;1864,852;1369,472;731,028;762,734;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;92,460;212,390;204,157;3,514;-30,775;31,643;7,341;384,763;1054,414;313,426;1025,401;-45,108;123,883;3,668;-34,749;83,707;1210,785;783,732;413,691;739,666;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;64,860;311,169;14,512;32,858;36,179;-29,804;20,343;-26,790;36,093;-39,100;48,048;-53,069;51,494;24,708;59,311;-12,710;59,305;-71,081;-59,081;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;260,292;146,589;944,121;-54,343;83,564;134,282;-81,324;6,377;-28,071;-31,212;-38,752;-68,246;19,355;-11,253;8,301;-74,230;-20,870;-67,421;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;459,746;35,687;32,984;39,385;2512,398;780,391;234,239;624,037;-33,226;121,277;58,682;135,091;343,975;1145,006;1238,652;530,261;359,994;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;25,245;109,373;-4,707;101,643;49,043;204,801;403,249;-20,317;-11,195;-24,172;1,502;209,224;165,484;923,053;-13,606;165,628;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-34,207;19,176;-28,016;-23,141;1,959;-38,143;7,250;23,011;-6,687;8,870;-14,585;16,337;-60,887;64,006;-23,206;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-37,915;19,367;-38,202;29,772;5,250;-20,718;17,213;-20,530;5,412;47,654;13,587;116,417;0,623;-1,966;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;27,321;487,656;67,105;23,380;59,077;-14,975;22,509;15,445;18,241;172,943;68,486;-10,220;-47,936;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;868,963;537,502;1060,783;5,884;59,941;-9,182;-7,936;-12,836;1456,401;2152,464;402,209;459,104;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96,085;229,884;61,016;6,666;-48,689;36,961;13,581;191,539;149,659;87,855;112,731;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5768,945;32,091;-16,162;24,039;-57,736;-18,397;105,337;44,060;5,069;-66,141;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96,739;-12,824;42,921;-82,519;-31,590;191,220;34,929;30,181;5673,664;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,048;-8,931;7,120;10,853;210,932;118,204;32,460;49,805;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,393;2,067;-0,899;34,602;-22,553;-21,912;22,149;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-3,555;27,621;36,925;-22,730;-22,581;19,459;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-15,438;17,061;-33,138;-21,060;-16,654;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-41,861;-45,833;-47,549;-31,843;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-35,397;-71,721;36,705;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-73,236;87,457;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,185;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
