;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;48079,425;37975,674;4030,500;12127,471;10770,501;1313,882;1822,542;3459,321;162,816;67,203;588,230;3811,434;44245,257;4895,374;9545,936;4192,011;7881,224;6814,290;2343,031;10319,025;3444,602;2154,655;1698,693;1636,224;13870,576;8788,317;4556,900;8025,232;889,375;472,267;435,201;438,517;3188,868;8777,729;15219,398;5366,205;3137,121;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;49455,274;4713,966;17008,138;14089,311;1656,846;2161,545;4093,014;-54,062;-141,419;167,791;2021,294;21661,701;1739,814;4214,496;1554,146;2975,808;5353,307;6255,261;1415,666;1003,230;1131,650;1282,458;713,213;3373,827;2362,284;5716,612;11490,713;1099,688;754,271;2055,663;277,198;2104,831;3562,641;6339,232;3433,529;5457,728;0,000;0,000;0,000;0,000
Router 5;;;;;;4760,120;17099,400;14160,314;1713,379;2066,773;4047,180;-83,013;-133,494;138,840;1945,999;18716,363;948,571;1989,253;-96,210;1733,046;5403,919;6247,271;656,284;606,661;1099,806;1238,955;580,553;2269,937;1992,106;1043,982;3320,635;18,813;149,230;1522,710;363,225;2089,065;3203,365;6247,549;3332,130;2259,505;0,000;0,000;0,000;0,000
Router 6;;;;;;;-76,671;-149,403;-13,428;16,798;-59,142;-26,909;-13,424;36,290;100,948;2682,082;-15,317;56,356;36,706;20,488;444,296;370,334;26,081;11,375;123,095;107,426;0,136;261,921;227,717;85,513;163,412;-5,576;-2,097;11,196;25,275;32,268;502,538;1078,798;888,096;82,913;0,000;0,000;0,000;0,000
Router 7;;;;;;;;23,887;-116,608;-1,733;-24,594;-41,317;-31,797;-77,831;1234,482;5651,141;311,489;104,704;-59,066;938,078;2891,714;3220,866;286,370;235,916;237,624;148,834;167,133;1247,613;-65,716;470,214;654,033;43,249;111,790;746,593;9,999;320,546;743,255;1826,717;952,219;235,234;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;23,179;-59,572;34,747;-9,640;-51,016;167,088;380,947;3487,545;631,056;1570,953;8,861;553,070;1322,319;1357,040;224,881;274,192;722,119;928,546;269,751;454,057;-74,537;21,419;1356,744;-23,795;21,056;506,080;215,261;140,878;431,694;1621,715;108,136;1318,161;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-7,012;10,154;-18,365;4,421;2,769;-22,444;683,485;-11,620;17,186;-39,160;171,778;218,010;110,545;-15,222;48,453;9,338;-35,534;41,009;-5,544;-21,518;93,583;93,298;-2,194;-21,890;35,323;31,872;53,061;204,915;411,942;74,416;22,555;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-22,788;31,857;7,662;22,597;2,546;878,448;-56,628;-49,205;51,126;-30,080;90,203;14,773;24,983;9,054;-3,948;23,534;-35,309;-10,742;927,011;107,129;261,943;11,165;-2,230;21,059;-19,091;-8,925;304,712;151,617;404,816;132,616;0,000;0,000;0,000;0,000
