;Instancia 1;Instancia 2;Instancia 3;Instancia 4
Tipo;BITMAP;BITMAP;BITMAP;COUNTER
Size(KB);  0,01;  0,01;  0,01;  0,01;  0,06;  0,06;  0,06;  0,06;  2,00;  2,00;  2,00;  2,00;  8,00;  8,00;  8,00;  8,00;  0,00;  0,00;
Treshold;0,1;0,3;0,5;-
RMSE;48,51817449;101,30570516;195,43022336;359,46149147;38,88331311;79,61389821;117,23269510;156,47133395;57,78690771;98,61180001;114,28317111;131,38489240;87,56187261;158,61193925;193,39443926;247,56649379;0,00000000;0,00000000;
RMSRE;11,27407173;1,65015474;80,26268874;509,18143862;1,93857323;1,40333776;47,32050795;10,93107286;1,46243358;452,78524668;453,63155906;452,78222493;1,66376634;1,85956563;1,87444433;2,02530139;0,00000000;0,00000000;
Observers;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;44;6;
RelNbSw;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;100,00;13,64;
