;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47376,378;37536,251;3635,207;11319,153;9975,906;650,104;1038,287;2535,958;-631,838;-1042,763;-890,301;2957,769;44210,057;3554,222;8232,080;3848,588;7076,727;5652,354;1330,281;8812,037;3045,361;273,817;1573,892;248,034;13289,892;8297,555;2906,491;7210,363;-771,441;-184,571;-477,366;-719,935;2104,971;8287,106;15096,373;4155,098;2691,833;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;48606,443;4418,495;16490,402;13551,704;1112,570;1811,444;3196,258;-825,646;-1007,812;-1120,801;1244,928;21017,784;907,182;2806,533;1352,909;2249,425;4203,278;5588,171;182,240;766,352;-201,742;966,496;-219,262;2448,956;1594,016;4446,001;11266,580;-379,101;699,756;1579,484;-316,953;1191,805;3044,006;5616,454;2570,459;4991,026;0,000;0,000;0,000;0,000
Router 5;;;;;;4459,036;16457,931;13623,086;967,224;1569,648;3494,530;-975,506;-904,751;-865,760;1289,399;18089,047;184,457;863,654;-596,175;1076,504;4465,948;5473,403;-500,780;243,032;75,180;1067,940;-10,518;1471,759;1491,930;78,738;2701,139;-1250,861;-79,805;1142,226;-65,411;1316,893;2619,082;5841,491;2494,941;1597,403;0,000;0,000;0,000;0,000
Router 6;;;;;;;-436,929;-592,345;40,157;-24,474;-184,770;-124,992;-36,310;-48,677;16,343;2372,439;-94,238;-120,474;15,398;-352,809;367,422;337,749;-168,504;24,807;60,880;37,653;-139,285;64,104;279,559;-42,378;102,029;-135,700;58,581;-57,856;-245,053;13,804;322,803;965,103;666,075;72,956;0,000;0,000;0,000;0,000
Router 7;;;;;;;;-65,479;-589,855;-303,027;-478,069;-179,243;-132,599;-118,100;898,961;4972,695;-154,705;-378,115;-409,560;709,134;2473,353;2806,020;77,438;234,200;-53,859;-165,733;-166,406;800,386;-715,916;430,702;461,747;-177,493;59,019;680,878;-405,943;-6,242;621,830;1449,169;583,419;57,156;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;1,598;-237,764;-369,523;-448,087;-325,989;-287,018;360,936;3208,978;339,706;1369,174;-188,119;468,109;1151,872;967,624;127,386;110,942;436,917;1147,276;-0,743;-121,197;-266,441;-563,517;1130,662;-432,689;-128,442;527,475;203,081;-15,320;136,508;1581,563;-153,678;1142,831;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-114,748;77,231;24,051;-59,311;-73,541;-116,711;296,195;-16,671;195,672;-22,062;3,659;240,875;16,780;-67,499;-19,529;-140,809;-58,757;14,099;-174,560;70,970;97,075;-113,267;-57,452;-34,811;11,057;36,703;92,514;83,740;238,430;94,623;-111,267;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-28,471;6,474;-68,378;7,433;-170,744;523,309;-248,042;-178,889;109,887;-60,515;48,108;23,518;-129,812;-11,921;-123,598;-24,339;7,610;-298,104;862,776;68,574;281,915;-134,892;46,885;46,073;-8,108;-85,861;174,034;14,818;312,701;68,732;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;15,304;-157,623;-32,299;138,702;2261,934;33,121;36,327;-306,989;-226,717;192,465;0,025;-42,919;0,088;83,983;106,754;145,399;-136,197;-80,136;-105,161;90,072;-268,857;-202,008;225,818;82,589;1383,376;9,805;305,413;115,746;30,052;0,000;0,000;0,000;0,000
