;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;44568,570;33323,276;3615,225;10183,158;7094,382;0,000;0,000;0,000;0,000;0,000;0,000;0,000;39540,505;4892,537;4690,789;2626,895;4664,904;4859,287;1157,023;9557,801;0,000;0,000;0,000;0,000;9977,405;5220,773;3937,820;6660,571;0,000;0,000;0,000;0,000;0,000;8146,719;13209,329;4020,907;2720,089;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;43488,236;4600,343;14323,601;9494,638;0,000;0,000;0,000;0,000;0,000;0,000;0,000;19217,863;1888,709;2506,168;1077,331;1468,772;3685,394;3505,664;1616,101;0,000;0,000;0,000;0,000;2597,155;1639,190;4992,311;9679,383;0,000;0,000;0,000;0,000;0,000;3346,072;5686,588;2489,694;4687,539;0,000;0,000;0,000;0,000
Router 5;;;;;;4193,894;14387,706;9530,685;0,000;0,000;0,000;0,000;0,000;0,000;0,000;16135,477;1053,893;1200,378;72,488;919,657;3745,179;3490,235;820,116;0,000;0,000;0,000;0,000;1756,727;1361,549;1031,715;2705,535;0,000;0,000;0,000;0,000;0,000;2908,917;5594,510;2422,833;1843,729;0,000;0,000;0,000;0,000
Router 6;;;;;;;-50,572;-6,864;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2175,723;53,658;81,277;25,399;64,781;339,983;173,774;-63,170;0,000;0,000;0,000;0,000;149,742;154,756;54,947;129,359;0,000;0,000;0,000;0,000;0,000;417,387;928,423;500,663;59,982;0,000;0,000;0,000;0,000
Router 7;;;;;;;;84,601;0,000;0,000;0,000;0,000;0,000;0,000;0,000;4801,297;300,607;125,860;24,298;384,601;1927,717;1758,320;193,699;0,000;0,000;0,000;0,000;1018,698;39,334;405,169;627,015;0,000;0,000;0,000;0,000;0,000;609,220;1799,437;513,748;294,015;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;2102,436;435,799;895,985;11,786;354,338;847,573;721,580;163,134;0,000;0,000;0,000;0,000;351,172;73,761;110,417;1042,891;0,000;0,000;0,000;0,000;0,000;260,585;985,794;110,875;911,461;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
