;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47883,557;37876,257;4284,796;12247,177;10515,311;1348,374;1949,082;3254,631;116,339;159,131;580,689;3752,756;43849,714;4965,322;9569,570;4505,997;8047,805;6724,301;2438,473;10307,578;3507,855;2162,792;1605,413;1609,065;13825,733;8878,191;4575,717;8150,686;830,389;779,741;410,646;529,101;3080,127;8723,895;15080,514;5469,490;3329,091;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;49039,685;4954,228;16987,145;13977,898;1694,885;2289,595;3962,241;-42,218;53,484;247,303;2058,520;21577,350;1827,757;4161,770;1816,233;2971,918;5324,611;6306,676;1529,890;993,430;1134,696;1354,079;624,431;3497,090;2388,008;5713,397;11610,250;1087,937;854,169;2005,326;325,297;2053,006;3607,318;6452,208;3426,068;5660,897;0,000;0,000;0,000;0,000
Router 5;;;;;;4876,933;16917,527;13984,370;1778,250;2174,697;3911,270;-85,453;51,042;122,494;1893,486;18558,125;1018,686;2047,677;145,815;1816,764;5276,234;6170,000;760,857;606,252;1130,058;1339,742;570,401;2282,892;2006,179;1071,018;3446,902;54,889;134,069;1580,691;283,029;1995,833;3210,949;6251,393;3295,085;2409,462;0,000;0,000;0,000;0,000
Router 6;;;;;;;39,333;-63,230;9,364;-21,083;-46,587;19,583;-16,066;-15,444;139,266;2815,507;57,789;179,473;55,791;14,526;472,494;415,436;53,681;91,988;104,679;185,333;27,840;293,962;204,983;123,725;205,450;-25,571;13,781;43,519;16,317;1,803;458,418;1191,567;904,299;107,695;0,000;0,000;0,000;0,000
Router 7;;;;;;;;104,211;-29,044;57,257;-19,212;-2,784;90,313;-55,234;1203,577;5717,216;296,060;194,872;93,353;975,488;2794,591;3259,964;281,138;264,969;244,466;142,863;98,724;1324,582;9,515;470,490;877,283;-2,778;135,527;707,434;-9,042;216,906;704,527;2008,661;934,978;354,079;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;16,793;1,291;-67,991;-43,528;-45,384;157,322;310,099;3397,466;601,884;1518,426;-10,797;482,814;1281,256;1263,521;231,941;220,228;721,271;962,156;287,626;416,741;-12,697;60,866;1366,357;19,759;7,953;551,009;169,612;65,491;447,649;1639,993;174,217;1269,101;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-10,613;-24,695;22,587;4,147;7,762;10,696;800,518;30,018;94,203;-23,174;174,960;226,756;161,869;9,809;-12,579;-41,199;-9,314;39,979;-87,071;-2,294;62,397;95,250;-6,882;-8,894;-4,292;33,613;66,399;244,186;428,941;33,570;42,211;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;-18,137;6,960;-4,651;10,839;2,221;837,382;24,001;-52,068;74,972;-23,460;98,335;89,772;-24,442;26,484;22,747;1,465;-3,896;6,973;977,112;165,395;283,312;5,631;0,399;22,715;33,667;26,084;336,475;56,624;333,610;150,679;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;-22,874;5,513;-14,895;163,879;2731,393;22,201;167,187;60,173;27,619;225,347;167,921;12,036;20,729;84,666;6,730;-19,957;-51,523;18,105;93,374;246,804;13,691;-19,883;133,234;44,477;1370,042;260,047;476,688;252,043;173,178;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-2,670;0,804;2,702;41,435;-6,143;-40,566;43,249;29,293;20,021;10,415;-20,626;0,483;-15,775;-9,289;-15,330;46,898;42,509;5,923;56,302;-5,190;-14,778;-11,013;-5,343;-21,681;42,577;-0,856;-23,937;59,063;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-5,931;15,153;7,771;-49,200;-44,520;-6,311;42,486;64,173;13,909;83,971;3,397;-10,116;6,720;-26,992;24,598;-6,233;-57,910;-49,890;-4,166;18,281;26,812;20,789;-18,950;25,972;-49,628;-9,283;-1,226;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;96,126;172,531;0,440;-2,634;-1,635;-21,139;19,842;-39,416;39,626;15,779;-18,049;2,829;-14,098;60,208;-5,646;37,193;57,916;-1,486;28,612;-27,458;-4,827;1,766;49,835;40,043;-2,622;8,222;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;3955,562;481,852;323,662;102,708;65,988;60,639;-4,169;391,378;105,512;16,260;10,743;4,485;195,387;33,741;1,680;1,689;57,520;11,294;76,622;-19,450;-22,713;3,286;-76,262;-12,555;8,491;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1667,737;3880,155;8732,550;2842,779;234,993;113,235;3777,381;1550,687;53,253;131,042;289,690;5100,243;2282,750;851,083;1905,407;691,202;153,338;110,384;504,159;3089,879;10621,204;16588,063;6249,885;911,081;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;57,281;-1,256;1,346;148,850;113,121;129,052;42,775;33,223;-13,214;25,445;832,378;131,821;691,289;775,170;-28,201;66,367;26,202;33,955;52,884;116,662;689,795;260,832;55,996;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-13,636;82,209;262,423;296,191;91,463;87,882;-61,880;22,184;23,836;90,228;525,653;1465,210;1881,818;-54,229;101,131;208,550;62,472;387,349;662,550;2401,530;165,623;373,594;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;215,812;254,207;167,215;-81,582;93,563;49,396;-30,043;75,642;149,110;1975,496;681,726;1429,353;-4,072;212,045;43,681;38,379;6,444;1841,618;1494,483;781,324;758,781;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;84,194;294,506;193,579;14,670;1,418;-68,954;13,981;454,736;1074,627;312,428;1051,466;-58,605;153,542;12,097;29,602;47,759;1258,617;872,279;404,824;731,554;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;-18,993;274,650;-13,077;27,999;51,932;6,015;72,035;-32,735;15,157;50,432;46,543;40,549;10,711;2,850;-30,205;-33,697;41,921;-82,598;21,720;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;343,104;149,902;846,800;30,957;32,344;135,221;88,076;81,601;40,089;40,641;13,309;12,854;-21,493;-34,811;-1,206;-18,808;-74,687;6,849;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;391,411;39,189;84,316;114,792;2474,243;765,968;224,817;628,431;8,775;126,909;46,639;142,741;329,821;1166,718;1221,148;475,873;380,511;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;35,996;103,392;6,004;137,673;80,536;154,769;350,208;1,199;-7,408;9,723;-5,412;229,665;42,573;1011,882;15,802;175,472;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-12,410;12,455;-86,372;55,514;74,870;71,046;5,070;6,872;-57,404;-8,519;21,968;-29,427;21,922;10,828;-16,810;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-11,678;-28,952;2,054;10,343;17,392;-5,031;5,729;-25,491;17,136;6,612;40,427;9,641;6,890;-14,320;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-9,144;485,605;-1,987;42,205;29,455;-2,235;4,592;-7,800;27,086;160,755;28,296;-15,626;43,528;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;927,009;582,214;1099,403;26,151;78,727;-34,195;56,648;36,873;1507,777;2068,345;444,778;469,279;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;185,089;303,331;-4,978;47,207;-21,003;44,862;26,422;165,691;70,760;70,381;161,564;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5802,070;2,975;2,797;-1,921;-17,618;9,457;111,972;17,492;-8,243;-26,549;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;102,611;32,615;-10,751;-39,449;27,151;164,532;96,207;43,596;5621,204;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23,203;-25,777;-12,167;8,459;140,939;104,971;49,587;78,723;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-40,276;25,325;-23,013;-56,329;-9,849;12,877;41,796;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29,872;-24,080;16,141;-22,344;31,588;0,614;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-12,469;35,368;72,362;-44,420;-14,958;0,000;0,000;0,000;0,000
