;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 19;;;;;;;;;;;;;;;;;;;;173,000;233,000;146,000;15,000;20,000;1,000;1,000;46,000;113,000;1956,000;679,000;1456,000;0,000;169,000;49,000;7,000;25,000;1828,000;1516,000;760,000;777,000;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;149,000;224,000;202,000;40,000;0,000;0,000;18,000;406,000;1100,000;289,000;1044,000;1,000;122,000;21,000;1,000;52,000;1219,000;832,000;444,000;755,000;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;16,000;316,000;64,000;2,000;47,000;4,000;96,000;14,000;4,000;8,000;10,000;0,000;3,000;2,000;4,000;14,000;27,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;323,000;113,000;896,000;5,000;28,000;129,000;21,000;5,000;26,000;3,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;390,000;33,000;49,000;41,000;2541,000;804,000;250,000;578,000;1,000;112,000;48,000;125,000;344,000;1145,000;1235,000;499,000;328,000;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;15,000;108,000;20,000;108,000;33,000;186,000;369,000;1,000;1,000;17,000;2,000;211,000;112,000;941,000;7,000;181,000;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;2,000;10,000;2,000;8,000;0,000;0,000;0,000;0,000;0,000;13,000;62,000;6,000;5,000;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;10,000;0,000;14,000;22,000;0,000;0,000;0,000;0,000;0,000;24,000;67,000;46,000;8,000;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,000;485,000;46,000;71,000;51,000;0,000;5,000;0,000;4,000;116,000;38,000;13,000;24,000;0,000;0,000;0,000;0,000
Router 28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;867,000;605,000;1044,000;37,000;63,000;19,000;0,000;18,000;1493,000;2093,000;459,000;437,000;0,000;0,000;0,000;0,000
Router 29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92,000;266,000;42,000;57,000;20,000;0,000;12,000;176,000;158,000;63,000;147,000;0,000;0,000;0,000;0,000
Router 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5797,000;46,000;0,000;0,000;0,000;0,000;134,000;4,000;1,000;3,000;0,000;0,000;0,000;0,000
Router 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;142,000;0,000;2,000;0,000;2,000;176,000;40,000;51,000;5649,000;0,000;0,000;0,000;0,000
Router 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14,000;2,000;0,000;4,000;178,000;141,000;70,000;90,000;0,000;0,000;0,000;0,000
Router 33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000;0,000
Router 39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000;0,000
Router 40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000;0,000
Router 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000;0,000
Router 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,000
Router 44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
