;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22;Router 23;Router 24;Router 25;Router 26;Router 27;Router 28;Router 29;Router 30;Router 31;Router 32;Router 33;Router 34;Router 35;Router 36;Router 37;Router 38;Router 39;Router 40;Router 41;Router 42;Router 43;Router 44
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;47858,533;37625,155;4125,504;11881,653;10649,343;1067,012;1617,829;3234,240;-85,939;51,422;169,736;3700,014;44164,277;4819,810;9292,949;4122,604;7773,904;6568,800;2206,685;10295,496;3369,134;2012,876;1675,071;1351,762;13543,735;8874,088;4267,607;7848,987;627,654;684,611;456,421;8,099;3090,811;8873,057;14950,908;5247,765;3006,565;0,000;0,000;0,000;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;49207,642;4759,008;16930,096;13882,915;1559,880;2103,424;3883,334;-117,320;-133,804;-250,994;1957,253;21446,614;1698,890;3943,432;1548,313;2678,209;5392,740;6150,911;1111,506;1017,620;1033,529;1247,089;556,194;3070,482;2397,477;5575,786;11458,407;699,528;721,336;1916,133;239,116;1910,306;3641,715;6244,727;3377,001;5369,295;0,000;0,000;0,000;0,000
Router 5;;;;;;4672,430;16906,949;14016,076;1792,123;2037,846;3829,325;-222,211;-39,473;-51,481;1895,515;18206,878;964,323;1664,693;-156,936;1536,444;5358,804;6005,182;459,187;688,904;1020,145;1151,404;491,561;2096,250;1961,834;951,644;3351,779;-315,279;195,778;1218,368;378,875;1875,223;3210,498;6174,829;3310,560;1986,437;0,000;0,000;0,000;0,000
Router 6;;;;;;;-63,148;-163,541;14,644;3,178;-88,677;-30,360;-35,577;21,824;80,999;2596,536;69,726;46,362;22,062;-44,241;453,341;446,857;49,190;72,957;173,554;162,026;-32,039;220,245;204,467;232,303;182,998;-21,874;41,241;18,748;26,362;-60,158;510,722;1037,301;774,785;26,001;0,000;0,000;0,000;0,000
Router 7;;;;;;;;166,262;-315,425;-66,124;-254,044;-56,789;-16,096;-187,730;1231,295;5480,679;378,408;93,308;-72,427;919,379;2709,110;3321,922;182,567;260,996;237,159;60,583;193,840;1179,525;-111,564;368,562;658,444;67,174;172,090;639,265;-63,348;255,260;643,371;1810,762;924,417;241,399;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;170,697;-125,372;11,758;-151,018;-78,978;101,053;502,166;3467,147;582,578;1509,754;-140,678;509,185;1409,056;1138,944;95,107;240,445;676,855;896,696;182,554;445,495;-132,789;-109,325;1222,117;-37,653;100,125;423,161;284,223;174,892;470,079;1612,104;122,040;1189,874;0,000;0,000;0,000;0,000
Router 9;;;;;;;;;;-27,183;52,130;-29,411;14,316;-12,572;-69,311;570,868;18,860;-20,107;-47,505;169,195;308,228;77,019;-56,435;48,245;-49,727;-63,610;13,860;-160,382;-6,713;113,055;131,212;-36,428;-15,770;4,076;73,276;81,183;111,716;365,957;74,696;-11,471;0,000;0,000;0,000;0,000
Router 10;;;;;;;;;;;21,257;26,574;13,425;9,603;-37,629;609,769;-156,092;47,309;26,575;-22,601;144,533;112,037;-38,503;34,895;-71,134;13,851;-30,590;-149,165;946,846;105,062;306,711;-100,794;39,968;17,190;-36,274;-25,628;274,823;19,187;306,170;193,213;0,000;0,000;0,000;0,000
Router 11;;;;;;;;;;;;17,196;9,301;-30,844;180,618;2454,556;-15,436;143,069;-194,048;18,908;229,267;63,173;-62,947;45,462;-50,798;-39,095;99,279;-107,995;-1,805;167,279;289,175;-113,043;-94,745;120,914;11,346;1329,314;209,348;496,961;93,828;181,889;0,000;0,000;0,000;0,000
Router 12;;;;;;;;;;;;;-4,797;11,883;-14,144;143,653;50,381;-154,406;47,189;-31,946;-1,805;9,514;-77,896;-36,972;-33,879;11,136;35,534;53,401;6,791;38,717;3,757;23,376;-9,806;-22,867;-23,972;2,144;119,614;36,696;38,506;19,884;0,000;0,000;0,000;0,000
Router 13;;;;;;;;;;;;;;-40,163;31,500;24,165;21,228;-37,395;-34,763;50,504;49,165;2,790;-10,527;10,899;60,081;-15,226;25,776;-54,326;-95,901;-19,551;44,060;-32,819;28,194;29,180;-4,903;-53,480;11,503;-3,733;5,337;20,542;0,000;0,000;0,000;0,000
Router 14;;;;;;;;;;;;;;;40,064;138,783;-134,654;-67,661;44,643;2,366;33,441;-7,688;74,486;-90,541;-43,821;-12,217;-33,749;-51,128;29,063;-109,501;-174,504;-43,729;3,339;-57,292;-10,857;-11,759;34,815;-22,076;-54,327;-62,743;0,000;0,000;0,000;0,000
Router 15;;;;;;;;;;;;;;;;3935,497;545,674;229,370;69,511;66,532;15,133;10,606;191,562;55,448;13,043;-30,595;-88,485;55,516;-17,341;-73,280;-142,039;4,046;-52,246;44,950;-89,262;67,616;-138,115;45,733;-120,533;-102,462;0,000;0,000;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;1264,259;3522,957;8544,292;2625,829;188,816;19,055;3757,623;1452,322;-111,501;175,752;179,312;4935,088;2539,840;654,251;1819,290;493,523;80,054;205,314;287,773;3006,014;10709,275;16424,088;6168,076;983,950;0,000;0,000;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-120,127;-143,309;13,162;109,723;36,789;71,157;40,710;-16,329;-21,531;36,493;800,376;254,956;537,854;614,195;-86,217;55,719;33,410;-44,906;2,408;78,333;615,147;67,406;55,646;0,000;0,000;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;-319,363;-113,548;106,776;50,502;-24,185;85,042;-76,442;146,469;127,667;53,388;424,590;1380,419;1725,210;-17,579;11,921;180,001;-55,724;296,707;656,265;2214,573;176,366;208,076;0,000;0,000;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;72,150;262,487;176,659;-22,902;22,000;-81,987;-65,949;-97,413;-46,507;1891,124;712,089;1387,782;-42,533;142,506;112,100;-48,137;-7,428;1858,005;1201,669;762,985;675,437;0,000;0,000;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;53,583;324,090;38,556;42,102;-82,080;57,631;-38,577;491,218;1018,344;251,896;966,285;-141,516;162,819;36,476;-121,918;79,991;1064,350;764,450;398,311;693,647;0,000;0,000;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;75,657;266,151;15,267;32,506;-7,854;-40,243;-98,604;-165,833;38,073;11,538;35,125;14,093;-25,819;-103,745;65,831;-107,718;-42,385;-74,543;-150,052;0,000;0,000;0,000;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;;263,788;147,893;830,283;-122,367;80,227;21,711;-75,496;238,828;-25,180;-32,243;5,931;-112,106;48,904;-143,208;-52,144;-59,135;-61,880;-222,837;0,000;0,000;0,000;0,000
Router 23;;;;;;;;;;;;;;;;;;;;;;;;544,702;29,540;-31,250;-11,385;2563,897;797,030;218,951;524,325;-110,038;162,152;93,493;-5,257;167,692;1204,830;1193,178;461,031;382,633;0,000;0,000;0,000;0,000
Router 24;;;;;;;;;;;;;;;;;;;;;;;;;2,929;50,987;-23,001;91,037;-19,353;249,025;445,647;-15,592;-55,924;28,533;-40,199;166,674;237,992;943,310;-58,148;237,905;0,000;0,000;0,000;0,000
Router 25;;;;;;;;;;;;;;;;;;;;;;;;;;-84,252;-39,873;-70,023;-94,809;-70,701;-122,785;44,130;27,399;9,873;28,185;75,831;1,289;-204,718;87,074;-68,019;0,000;0,000;0,000;0,000
Router 26;;;;;;;;;;;;;;;;;;;;;;;;;;;-59,582;13,656;27,192;-49,077;-29,532;-51,885;55,268;-15,455;5,312;-0,276;45,050;28,232;-47,596;20,643;0,000;0,000;0,000;0,000
Router 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;-24,183;450,064;21,797;-34,319;50,898;5,833;70,798;-7,776;137,460;121,586;86,173;-89,631;-23,752;0,000;0,000;0,000;0,000
