;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;17459,192;20506,823;17768,835;16525,294;3650,636;5935,877;13266,268;10705,244;0,000
Router 3;;;;206,447;23601,262;2369,002;331,490;1514,798;16938,602;13159,660;0,000
Router 4;;;;;721,183;20047,777;4447,949;7574,753;97,481;42,934;0,000
Router 5;;;;;;5416,947;1754,488;9014,145;37051,092;24181,870;0,000
Router 6;;;;;;;8054,836;18752,270;5015,538;4172,646;0,000
Router 7;;;;;;;;10914,416;1333,138;3875,970;0,000
Router 8;;;;;;;;;13842,461;5540,498;0,000
Router 9;;;;;;;;;;29745,320;0,000
Router 10;;;;;;;;;;;0,000
Router 11;;;;;;;;;;;
