;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19524,707;21834,407;18929,875;18307,152;4777,719;6743,552;14656,280;12209,015;55,715
Router 3;;;;403,647;26671,835;2593,588;436,163;1566,520;19180,679;15104,867;69,448
Router 4;;;;;963,089;22142,256;5699,483;8545,819;207,916;137,581;27,200
Router 5;;;;;;5945,081;2009,888;10031,933;41443,920;27724,667;104,689
Router 6;;;;;;;10402,429;21152,333;5697,661;4735,428;11,990
Router 7;;;;;;;;13904,590;1488,981;4755,703;4693,728
Router 8;;;;;;;;;15481,589;6031,007;24,152
Router 9;;;;;;;;;;33924,059;114,655
Router 10;;;;;;;;;;;4769,531
Router 11;;;;;;;;;;;
