;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19360,198;21826,102;19004,920;17959,297;5291,995;6780,898;14303,528;12548,166;-87,431
Router 3;;;;97,907;27113,507;2143,311;332,677;1305,211;19312,261;15505,838;-237,748
Router 4;;;;;412,352;22122,416;5985,433;8634,041;-131,134;218,398;-13,739
Router 5;;;;;;5397,008;1936,991;9724,513;41778,905;27927,838;191,037
Router 6;;;;;;;10604,918;21298,257;5018,240;4204,888;98,842
Router 7;;;;;;;;14080,690;1344,227;4928,488;4803,936
Router 8;;;;;;;;;15633,599;5825,430;-506,912
Router 9;;;;;;;;;;34197,830;9,223
Router 10;;;;;;;;;;;4790,233
Router 11;;;;;;;;;;;
