;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;17271,151;20353,577;17528,109;15589,190;4071,795;6567,917;12052,681;10232,505;0,000
Router 3;;;;120,032;23518,496;1996,243;252,574;1505,027;15843,421;12541,165;0,000
Router 4;;;;;526,424;19063,036;4699,182;7951,294;-198,418;56,622;0,000
Router 5;;;;;;5220,137;1937,691;9519,832;34510,683;23288,758;0,000
Router 6;;;;;;;8819,637;17798,052;4792,276;3909,573;0,000
Router 7;;;;;;;;11833,132;1235,551;4276,921;0,000
Router 8;;;;;;;;;13359,859;5380,769;0,000
Router 9;;;;;;;;;;28282,352;0,000
Router 10;;;;;;;;;;;0,000
Router 11;;;;;;;;;;;
