;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19199,353;21365,908;18659,675;18033,945;4613,517;6577,434;14347,830;12085,686;53,190
Router 3;;;;167,611;26214,266;2410,452;424,654;1491,125;18709,202;14742,958;39,444
Router 4;;;;;805,570;21477,142;5093,240;8240,060;163,084;113,018;19,294
Router 5;;;;;;5675,778;2052,568;9526,921;40471,106;27093,280;112,079
Router 6;;;;;;;9354,658;20058,603;5270,087;4407,663;28,365
Router 7;;;;;;;;12810,905;1476,356;4529,993;4472,178
Router 8;;;;;;;;;14867,245;5868,971;19,038
Router 9;;;;;;;;;;33115,830;102,575
Router 10;;;;;;;;;;;4599,125
Router 11;;;;;;;;;;;
