;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19625,404;22452,310;19238,968;18841,255;4956,567;6599,686;14457,804;11850,371;-414,011
Router 3;;;;280,123;27113,799;2722,036;158,181;1310,972;18954,875;14967,340;-117,776
Router 4;;;;;740,486;22722,623;5784,123;8723,481;135,501;-305,229;-319,289
Router 5;;;;;;6188,240;1656,084;9914,566;41927,417;27913,434;-37,415
Router 6;;;;;;;10552,155;21456,121;5889,669;4682,439;-426,334
Router 7;;;;;;;;14036,959;1281,837;4988,975;4654,281
Router 8;;;;;;;;;15262,841;5890,207;-430,512
Router 9;;;;;;;;;;34252,405;-116,086
Router 10;;;;;;;;;;;4919,403
Router 11;;;;;;;;;;;
