;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19125,671;21186,612;18718,345;17934,247;4772,689;6602,797;14321,406;12185,463;108,586
Router 3;;;;111,547;26845,412;2207,247;255,774;1424,207;19200,360;14733,542;-112,699
Router 4;;;;;730,941;21871,983;5755,193;8447,143;151,562;192,707;110,012
Router 5;;;;;;5923,756;1839,027;10073,397;41060,843;27568,681;70,644
Router 6;;;;;;;10184,287;20703,665;5372,100;4872,245;134,991
Router 7;;;;;;;;13506,198;1598,749;4922,987;4666,779
Router 8;;;;;;;;;15607,555;6127,687;-75,931
Router 9;;;;;;;;;;33455,362;163,227
Router 10;;;;;;;;;;;4724,852
Router 11;;;;;;;;;;;
