;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;20164,715;22334,153;19497,369;18786,212;4957,501;6932,187;14933,705;12461,314;-111,013
Router 3;;;;523,022;27247,206;2788,494;356,341;1534,646;19448,058;15368,882;0,406
Router 4;;;;;1065,794;22648,203;5896,733;8812,882;241,455;132,460;-102,876
Router 5;;;;;;6214,496;1960,487;10069,055;41946,229;28187,733;-60,258
Router 6;;;;;;;10721,722;21696,483;5846,412;4750,576;-40,338
Router 7;;;;;;;;14452,578;1491,483;5022,941;4936,007
Router 8;;;;;;;;;15795,805;6095,905;-55,871
Router 9;;;;;;;;;;34445,581;-67,826
Router 10;;;;;;;;;;;4914,299
Router 11;;;;;;;;;;;
