;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19361,753;21846,083;18956,840;18702,640;4125,909;6080,101;14379,464;11698,934;-662,464
Router 3;;;;34,044;26738,336;2536,941;-160,921;1162,673;18897,011;15067,874;-348,365
Router 4;;;;;620,377;22498,670;5647,550;8594,934;-200,110;-807,962;-729,166
Router 5;;;;;;5497,434;1774,043;9743,873;41893,032;27556,380;-124,125
Router 6;;;;;;;10589,320;21678,780;5297,071;3865,233;-740,254
Router 7;;;;;;;;13853,782;766,726;4453,580;4512,844
Router 8;;;;;;;;;15244,901;5470,638;-804,544
Router 9;;;;;;;;;;34254,118;-150,118
Router 10;;;;;;;;;;;4525,333
Router 11;;;;;;;;;;;
