;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;0,000;0,000;11328,602;13230,438;0,000;4870,390;9294,529;8793,411;0,000
Router 3;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 4;;;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 5;;;;;;3684,787;0,000;6011,387;24198,142;16129,529;0,000
Router 6;;;;;;;0,000;15742,928;3593,293;3431,760;0,000
Router 7;;;;;;;;0,000;0,000;0,000;0,000
Router 8;;;;;;;;;10051,156;4788,544;0,000
Router 9;;;;;;;;;;21320,118;0,000
Router 10;;;;;;;;;;;0,000
Router 11;;;;;;;;;;;
