;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19861,672;22129,958;19320,560;18662,361;4929,012;6873,960;14910,553;12477,239;17,915
Router 3;;;;469,550;26938,152;2726,354;279,156;1554,431;19382,572;15245,510;-29,654
Router 4;;;;;1216,136;22503,989;5953,816;8821,103;427,613;265,516;16,293
Router 5;;;;;;6324,315;2023,529;10297,137;41761,292;27997,339;63,001
Router 6;;;;;;;10841,873;21684,625;5961,773;4851,449;-71,223
Router 7;;;;;;;;14316,021;1564,845;4904,251;4856,853
Router 8;;;;;;;;;15801,631;6225,663;-97,910
Router 9;;;;;;;;;;34263,926;62,937
Router 10;;;;;;;;;;;4889,060
Router 11;;;;;;;;;;;
