;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;17949,114;20074,959;17740,785;16693,705;4361,938;6236,927;13456,909;11156,751;63,776
Router 3;;;;132,460;25214,274;2294,917;410,430;1446,332;17852,554;14007,650;50,048
Router 4;;;;;780,145;19890,008;4848,316;7541,732;273,694;98,288;15,758
Router 5;;;;;;5682,632;1956,823;9271,890;39195,358;26139,433;32,281
Router 6;;;;;;;8702,871;18247,528;5170,186;4139,226;7,986
Router 7;;;;;;;;12155,378;1457,775;4402,129;4472,178
Router 8;;;;;;;;;14402,035;5532,800;17,837
Router 9;;;;;;;;;;31779,491;79,746
Router 10;;;;;;;;;;;4472,178
Router 11;;;;;;;;;;;
