;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19956,226;22429,432;19306,239;18755,231;4871,902;6504,476;14681,848;12328,461;-224,875
Router 3;;;;450,363;27199,009;2706,814;287,508;1297,230;19232,240;15180,193;-12,286
Router 4;;;;;997,380;22668,310;5704,851;8706,782;109,214;-62,180;-265,126
Router 5;;;;;;6187,613;1921,177;9872,919;41965,302;28344,071;-9,120
Router 6;;;;;;;10627,824;21544,878;6006,224;4871,209;-257,489
Router 7;;;;;;;;14377,664;1449,620;4929,405;4829,917
Router 8;;;;;;;;;15612,828;6231,879;-112,070
Router 9;;;;;;;;;;34619,788;-21,845
Router 10;;;;;;;;;;;5059,038
Router 11;;;;;;;;;;;
