;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19875,882;22114,236;19185,985;18417,789;5042,182;6965,754;14798,276;12284,951;91,801
Router 3;;;;505,717;26929,573;2591,675;143,742;1287,676;19521,576;15165,222;100,042
Router 4;;;;;883,466;22544,272;5941,294;8936,699;351,641;194,610;70,899
Router 5;;;;;;5873,813;1995,264;9787,052;41406,340;27743,702;143,427
Router 6;;;;;;;10665,416;21599,505;5585,557;4689,127;-46,913
Router 7;;;;;;;;14013,216;1515,994;4715,147;4683,721
Router 8;;;;;;;;;15389,756;6008,248;-188,945
Router 9;;;;;;;;;;33849,029;162,423
Router 10;;;;;;;;;;;4739,418
Router 11;;;;;;;;;;;
