;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11
Router 1;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 2;;;19566,781;21855,774;19085,403;18320,864;4923,600;6816,813;14677,223;12362,943;73,628
Router 3;;;;434,354;26654,133;2490,897;319,503;1452,909;19053,079;15061,094;58,269
Router 4;;;;;1014,622;22255,512;5883,781;8675,435;283,351;343,350;88,696
Router 5;;;;;;5891,922;1896,114;10065,631;41497,035;27927,319;41,828
Router 6;;;;;;;10528,425;21236,156;5586,275;4762,939;130,079
Router 7;;;;;;;;14057,915;1485,756;4905,947;4828,469
Router 8;;;;;;;;;15616,186;6160,209;2,194
Router 9;;;;;;;;;;34060,314;68,276
Router 10;;;;;;;;;;;4892,766
Router 11;;;;;;;;;;;
