;Router 1;Router 2;Router 3;Router 4;Router 5;Router 6;Router 7;Router 8;Router 9;Router 10;Router 11;Router 12;Router 13;Router 14;Router 15;Router 16;Router 17;Router 18;Router 19;Router 20;Router 21;Router 22
Router 1;;0,000;1916,428;1038,338;8,177;2984,957;-6,829;944,163;412,431;211,362;499,840;1920,568;0,033;789,423;-15,968;-18,286;8,004;253,639;14,871;3,108;0,000;0,000
Router 2;;;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000;0,000
Router 3;;;;3835,086;-5,857;1890,215;-85,207;9392,723;156,377;1719,209;1775,686;1477,721;180,547;647,856;4532,758;1553,711;98,357;217,444;2746,063;1557,220;0,000;0,000
Router 4;;;;;164,637;997,352;11895,343;8365,208;12273,025;20105,024;13229,683;2199,344;4039,424;7285,656;11515,356;5060,538;1627,341;1063,907;7692,694;4926,081;0,000;0,000
Router 5;;;;;;-10,271;3086,215;65,830;907,548;111,035;549,078;150,794;2231,624;862,499;2219,091;-9,812;74,334;591,961;1133,639;523,783;0,000;0,000
Router 6;;;;;;;1565,099;891,965;392,936;196,350;523,834;3415,347;1567,636;2223,344;771,738;428,351;135,648;1596,318;707,121;451,187;0,000;0,000
Router 7;;;;;;;;625,603;1414,055;735,114;2075,045;6142,392;17352,637;17188,901;12401,066;409,472;1685,861;1707,970;8129,580;967,371;0,000;0,000
Router 8;;;;;;;;;1020,795;2295,695;1866,633;556,080;120,505;469,960;5189,335;1824,173;183,926;-36,651;2784,508;1555,511;0,000;0,000
Router 9;;;;;;;;;;6742,036;1269,457;220,271;18,392;1367,970;5690,362;823,136;293,665;458,474;2678,821;815,245;0,000;0,000
Router 10;;;;;;;;;;;703,923;343,264;1,439;894,976;22185,454;8873,662;666,193;98,641;13288,491;7892,920;0,000;0,000
Router 11;;;;;;;;;;;;795,490;902,656;1021,277;104,998;21,729;27,250;-38,300;20,400;-33,224;0,000;0,000
Router 12;;;;;;;;;;;;;4006,426;11872,665;3982,188;-33,714;132,850;3235,476;2942,740;964,451;0,000;0,000
Router 13;;;;;;;;;;;;;;9299,269;12880,275;469,450;1691,021;30,279;8287,097;488,034;0,000;0,000
Router 14;;;;;;;;;;;;;;;9386,828;68,326;234,380;5955,103;6340,892;2526,114;0,000;0,000
Router 15;;;;;;;;;;;;;;;;1117,220;929,494;140,114;25300,025;279,926;0,000;0,000
Router 16;;;;;;;;;;;;;;;;;3,862;187,706;282,586;8748,177;0,000;0,000
Router 17;;;;;;;;;;;;;;;;;;-18,658;-26,158;-24,346;0,000;0,000
Router 18;;;;;;;;;;;;;;;;;;;121,936;2617,332;0,000;0,000
Router 19;;;;;;;;;;;;;;;;;;;;-65,762;0,000;0,000
Router 20;;;;;;;;;;;;;;;;;;;;;0,000;0,000
Router 21;;;;;;;;;;;;;;;;;;;;;;0,000
Router 22;;;;;;;;;;;;;;;;;;;;;;
